version 1, schema campaign_ai_personality_junctions_tables
Campaign_Personality_IDRef(string)	Personality(string)	Magnitude(float)
"barbary"	"BASIC_INCOME_PROPORTIONAL_SAVINGS_PER_TURN"	1
"barbary"	"BASIC_SPENDING_BIAS_CONSTRUCTION"	0.1
"barbary"	"BASIC_SPENDING_BIAS_CONSTRUCTION_SAVE_MONEY_ON_FAIL"	0
"barbary"	"BASIC_SPENDING_BIAS_DIPLOMATIC"	0
"barbary"	"BASIC_SPENDING_BIAS_DIPLOMATIC_SAVE_MONEY_ON_FAIL"	0
"barbary"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY"	0.3
"barbary"	"BASIC_SPENDING_BIAS_RECRUITMENT_ARMY_SAVE_MONEY_ON_FAIL"	0
"barbary"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY"	0.6
"barbary"	"BASIC_SPENDING_BIAS_RECRUITMENT_NAVY_SAVE_MONEY_ON_FAIL"	0
"barbary"	"NAVAL_UNIT_LIMIT"	4
"barbary"	"NAVAL_UNIT_LIMIT_OVERWRITE_ALLOWED"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE"	0.1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_ENEMY"	1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_FRIEND"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_NEUTRAL"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_MOBILE_OWNED_BY_SELF"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT"	0.1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_ENEMY"	1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_FRIEND"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_NEUTRAL"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_PORT_OWNED_BY_SELF"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION"	0.1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_ENEMY"	1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_FRIEND"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_NEUTRAL"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_REGION_OWNED_BY_SELF"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE"	0.7
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_ENEMY"	1
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_FRIEND"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_NEUTRAL"	0
"barbary"	"NAVY_LOCAL_DISTRIBUTION_IMPORTANCE_PCT_TRADE_ROUTE_OWNED_BY_SELF"	0
"barbary"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_GENERAL"	3
"barbary"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_NEIGHBOURS"	2
"barbary"	"NAVY_REGION_COAST_DEFENCE_PRIORITY_PORT"	1
"barbary"	"NAVY_TRANSPORT_MAX_PERCENTAGE"	0
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	10
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	50
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	1
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	10
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	150
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	150
"barbary"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	10
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	150
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	100
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	10
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	50
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	50
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	150
"caucasus"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	50
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_AGRICULTURE"	100
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ARMY"	150
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ENLIGHTENMENT"	200
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_METAL_INDUSTRY"	100
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_NAVY"	20
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_ORDNANCE"	150
"usa"	"RESEARCH_TECHNOLOGY_THREAD_BIAS_TEXTILE_INDUSTRY"	100
