version 1, schema message_event_strings_tables
Event_IDRef(string)	Region_IDRef(string)	Message(string)	Message_Image(string)	Message_Type(string)	unknown1(boolean)	unknown2(boolean)	Message_Icon(string)	unknown3(string)
"abolition_slavery"	"european"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"abolition_slavery"	"middle_east"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"admiral_appointed_from_ranks"	"european"	"ad_appointed_1"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_from_ranks"	"middle_east"	"ad_appointed_1"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"admiral_appointed_political"	"european"	"ad_appointed_2"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_political"	"middle_east"	"ad_appointed_2"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"agent_dies_natural_causes"	"european"	"ag_natural_causes_1"	"small funeral-eu.tga"	"standard"	false	true	"gravestone.tga"	"small funeral-eu.tga"
"agent_dies_suspicious"	"european"	"ag_suspicious_1"	"pre_assassin_eu.tga"	"standard"	false	true	"gravestone.tga"	"pre_assassin_eu.tga"
"agent_killed_with_army"	"european"	"agent_killed_with_army"	"afterbatle eu.tga"	"standard"	false	false	"character.tga"	"afterbatle eu.tga"
"agent_killed_with_army"	"middle_east"	"agent_killed_with_army"	"afterbatle ottoman.tga"	"standard"	false	false	"character.tga"	"afterbatle ottoman.tga"
"agent_killed_with_army"	"tribal_playable"	"agent_killed_with_army"	"nat_disaster.tga"	"standard"	false	false	"nat_character.tga"	"nat_disaster.tga"
"agent_killed_with_army_infiltrated"	"european"	"agent_killed_with_army_infiltrated"	"afterbatle eu.tga"	"standard"	false	false	"character.tga"	"afterbatle eu.tga"
"agent_killed_with_army_infiltrated"	"middle_east"	"agent_killed_with_army_infiltrated"	"afterbatle ottoman.tga"	"standard"	false	false	"character.tga"	"afterbatle ottoman.tga"
"agent_killed_with_army_infiltrated"	"tribal_playable"	"agent_killed_with_army_infiltrated"	"nat_disaster.tga"	"standard"	false	false	"nat_character.tga"	"nat_disaster.tga"
"agent_killed_with_navy"	"european"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"character.tga"	"fleet dest.tga"
"agent_killed_with_navy"	"middle_east"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"character.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"european"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"character.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"middle_east"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"character.tga"	"fleet dest.tga"
"agent_recruited"	"european"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agent_recruited"	"middle_east"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agricultural_tech_advance"	"european"	"tech_agricultural_1"	"agriculture_eu.tga"	"technology_advances"	false	true	"tech.tga"	"agriculture_eu.tga"
"alliance_broken"	"european"	"alliance_broken_1"	"diplomacyneg_eu.tga"	"standard"	false	true	"news.tga"	"diplomacyneg_eu.tga"
"alliance_broken"	"tribal_playable"	"alliance_broken_1"	"nat_diplomacy.tga"	"standard"	false	true	"nat_news.tga"	"nat_diplomacy.tga"
"alliance_declared"	"european"	"alliance_declared_1"	"diplomacypos_eu.tga"	"standard"	false	false	"news.tga"	"diplomacypos_eu.tga"
"ally_attacked"	"european"	"battle_rout_1"	"biggest-army.tga.tga"	"ally_attacked"	true	true	"news.tga"	"biggest-army.tga.tga"
"battlemap_allied_admiral_killed"	"european"	"battle_ad_killed_3"	"admiral-eu.tga"	"standard"	false	false	"battle_death.tga"	"admiral-eu.tga"
"battlemap_allied_admiral_killed"	"middle_east"	"battle_ad_killed_3"	"admiral ottoman.tga"	"standard"	false	false	"battle_death.tga"	"admiral ottoman.tga"
"battlemap_allied_general_killed"	"european"	"battle_ad_killed_1"	"char killed2.tga"	"standard"	false	false	"battle_death.tga"	"char killed2.tga"
"battlemap_allied_general_killed"	"middle_east"	"battle_ad_killed_1"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death.tga"	"char killed-ottoman2.tga"
"battlemap_allied_general_killed"	"tribal_playable"	"battle_ad_killed_1"	"nat_char_killed.tga"	"standard"	false	false	"nat_burial.tga"	"nat_char_killed.tga"
"battlemap_building_captured"	"european"	"battle_building_captured_1"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured_allies"	"european"	"battle_building_captured_2"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured_enemy"	"european"	"battle_building_captured_3"	"captured.tga"	"standard"	false	false	"battle_building_enemy.tga"	"captured.tga"
"battlemap_enemy_admiral_killed"	"european"	"battle_ad_killed_2"	"admiral-eu.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral-eu.tga"
"battlemap_enemy_admiral_killed"	"middle_east"	"battle_ad_killed_2"	"admiral ottoman.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral ottoman.tga"
"battlemap_enemy_general_killed"	"european"	"battle_gen_killed_2"	"char killed2.tga"	"standard"	false	false	"battle_death_enemy.tga"	"char killed2.tga"
"battlemap_enemy_general_killed"	"middle_east"	"battle_gen_killed_2"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death_enemy.tga"	"char killed-ottoman2.tga"
"battlemap_enemy_general_killed"	"tribal_playable"	"battle_gen_killed_2"	"nat_char_killed.tga"	"standard"	false	false	"nat_burial.tga"	"nat_char_killed.tga"
"battlemap_reinforcements_arrive"	"european"	"battle_reinforcements_1"	"pre-battle-eu.tga"	"standard"	false	false	"battle_reinforcements.tga"	"pre-battle-eu.tga"
"battlemap_reinforcements_arrive"	"indian"	"battle_reinforcements_1"	"pre-battle-indina.tga"	"standard"	false	false	"battle_reinforcements.tga"	"pre-battle-indina.tga"
"battlemap_reinforcements_arrive"	"middle_east"	"battle_reinforcements_1"	"pre-battle-ott.tga"	"standard"	false	false	"battle_reinforcements.tga"	"pre-battle-ott.tga"
"battlemap_reinforcements_arrive"	"tribal_playable"	"battle_reinforcements_1"	"nat_biggest_army.tga"	"standard"	false	false	"nat_army.tga"	"nat_biggest_army.tga"
"battlemap_reinforcements_delayed"	"european"	"battle_reinforcements_2"	"pre-battle-eu.tga"	"standard"	false	false	"battle_reinforcements_delayed.tga"	"pre-battle-eu.tga"
"battlemap_reinforcements_delayed"	"indian"	"battle_reinforcements_2"	"pre-battle-indina.tga"	"standard"	false	false	"battle_reinforcements_delayed.tga"	"pre-battle-indina.tga"
"battlemap_reinforcements_delayed"	"middle_east"	"battle_reinforcements_2"	"pre-battle-ott.tga"	"standard"	false	false	"battle_reinforcements_delayed.tga"	"pre-battle-ott.tga"
"battlemap_reinforcements_delayed"	"tribal_playable"	"battle_reinforcements_2"	"nat_biggest_army.tga"	"standard"	false	false	"nat_army.tga"	"nat_biggest_army.tga"
"battlemap_unit_routs"	"european"	"battle_rout_1"	"unit_icon.tga"	"unit_routs"	false	false	"battle_routing.tga"	"unit_icon.tga"
"battlemap_your_admiral_killed"	"european"	"battle_ad_killed_3"	"admiral-eu.tga"	"standard"	false	false	"battle_death.tga"	"admiral-eu.tga"
"battlemap_your_admiral_killed"	"middle_east"	"battle_ad_killed_3"	"admiral ottoman.tga"	"standard"	false	false	"battle_death.tga"	"admiral ottoman.tga"
"battlemap_your_general_killed"	"european"	"battle_gen_killed_3"	"char killed2.tga"	"standard"	false	false	"battle_death.tga"	"char killed2.tga"
"battlemap_your_general_killed"	"middle_east"	"battle_gen_killed_3"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death.tga"	"char killed-ottoman2.tga"
"battlemap_your_general_killed"	"tribal_playable"	"natives_battlemap_your_general_killed"	"nat_char_killed.tga"	"standard"	false	false	"nat_burial.tga"	"nat_char_killed.tga"
"building_constructed"	"european"	"building_constructed_1"	"captured.tga"	"building_constructed"	false	true	"building.tga"	"building_constructed"
"building_constructed"	"tribal_playable"	"natives_building_constructed"	"nat_new_city.tga"	"building_constructed"	false	true	"nat_building.tga"	"nat_new_city.tga"
"building_repaired"	"european"	"building_constructed_2"	"captured.tga"	"building_constructed"	false	false	"building.tga"	"building_repaired"
"campaign_lost"	"european"	"campaign_lost_1"	"faction_dest_eu.tga"	"standard"	true	true	"news.tga"	"faction_dest_eu.tga"
"campaign_lost"	"middle_east"	"campaign_lost_1"	"faction_dest_ot.tga"	"standard"	true	true	"news.tga"	"faction_dest_ot.tga"
"campaign_lost"	"tribal_playable"	"campaign_lost_1"	"nat_faction_dest.tga"	"standard"	true	true	"nat_news.tga"	"nat_faction_dest.tga"
"campaign_lost_your_faction_destroyed"	"european"	"faction_destroyed_2"	"afterbatle eu.tga"	"standard"	false	true	"news.tga"	"afterbatle eu.tga"
"campaign_won"	"european"	"campaign_won_1"	"faction_win_eu.tga"	"standard"	true	true	"news.tga"	"faction_win_eu.tga"
"campaign_won"	"middle_east"	"campaign_won_1"	"faction_win_ot.tga"	"standard"	true	true	"news.tga"	"faction_win_ot.tga"
"campaign_won"	"tribal_playable"	"campaign_won_1"	"nat_faction_win.tga"	"standard"	true	true	"nat_news.tga"	"nat_faction_win.tga"
"campmap_your_admiral_killed"	"european"	"battle_ad_killed_3"	"admiral-eu.tga"	"standard"	false	false	"gravestone.tga"	"admiral-eu.tga"
"campmap_your_admiral_killed"	"middle_east"	"battle_ad_killed_3"	"admiral ottoman.tga"	"standard"	false	false	"gravestone.tga"	"admiral ottoman.tga"
"campmap_your_general_killed"	"european"	"battle_gen_killed_3"	"char killed2.tga"	"standard"	false	false	"gravestone.tga"	"char killed2.tga"
"campmap_your_general_killed"	"middle_east"	"battle_gen_killed_3"	"char killed-ottoman2.tga"	"standard"	false	false	"gravestone.tga"	"char killed-ottoman2.tga"
"campmap_your_general_killed"	"tribal_playable"	"natives_campmap_your_general_killed"	"nat_char_killed.tga"	"standard"	false	false	"nat_burial.tga"	"nat_char_killed.tga"
"ceasefire_declared"	"european"	"ceasefire_1"	"diplomacypos_eu.tga"	"standard"	false	true	"news.tga"	"diplomacypos_eu.tga"
"ceasefire_declared"	"tribal_playable"	"ceasefire_1"	"nat_diplomacy.tga"	"standard"	false	true	"nat_news.tga"	"nat_diplomacy.tga"
"character_ancillary_gained"	"european"	"ancillary_1"	"globe-4.tga"	"standard"	false	false	"character.tga"	"globe-4.tga"
"character_ancillary_gained"	"middle_east"	"ancillary_1"	"globe-4.tga"	"standard"	false	false	"character.tga"	"globe-4.tga"
"character_ancillary_gained"	"tribal_playable"	"ancillary_1"	"nat_trait.tga"	"standard"	false	false	"nat_character.tga"	"nat_trait.tga"
"character_dies_disaster"	"european"	"disaster_6"	"small funeral-eu.tga"	"standard"	false	false	"gravestone.tga"	"small funeral-eu.tga"
"character_dies_duel"	"european"	"duel_1"	"dueL-after.tga"	"standard"	false	false	"gravestone.tga"	"dueL-after.tga"
"character_dies_natural_causes"	"european"	"ch_natural_causes_1"	"small funeral-eu.tga"	"standard"	false	false	"gravestone.tga"	"small funeral-eu.tga"
"character_dies_natural_causes"	"middle_east"	"ch_natural_causes_1"	"small funeral-ot.tga"	"standard"	false	false	"gravestone.tga"	"small funeral-ot.tga"
"character_dies_natural_causes"	"tribal_playable"	"natives_character_dies_natural_causes"	"nat_burial_small.tga"	"standard"	false	false	"nat_burial.tga"	"nat_burial_small.tga"
"character_dies_suspicious"	"european"	"ch_suspicious_1"	"pre_assassin_eu.tga"	"standard"	false	true	"gravestone.tga"	"pre_assassin_eu.tga"
"character_dies_suspicious"	"middle_east"	"ch_suspicious_1"	"pre_assassin_ot.tga"	"standard"	false	true	"gravestone.tga"	"pre_assassin_ot.tga"
