version 1, schema names_forts_tables
Names_group_ID(string)	Fort_Name(string)	unknown3(string)
"names_danish"	"Fort Absalon"	"-1439481209"
"names_danish"	"Fort Amalienborg"	"958297694"
"names_danish"	"Fort Arresødal"	"840050701"
"names_danish"	"Fort Borgeby"	"931658684"
"names_danish"	"Fort Dronninglund"	"-1620264886"
"names_danish"	"Fort Egeløkke"	"-601473144"
"names_danish"	"Fort Frederiksborg"	"-735125245"
"names_danish"	"Fort Gråsten"	"1238194921"
"names_danish"	"Fort Hvidkilde"	"1711689974"
"names_danish"	"Fort Kalø"	"-1957085377"
"names_danish"	"Fort Lykå"	"-2109556716"
"names_dutch"	"Fort Almelo"	"2015122309"
"names_dutch"	"Fort Amerongen"	"-1740362654"
"names_dutch"	"Fort Ammersoyen"	"-1302603461"
"names_dutch"	"Fort Assumburg"	"1192243552"
"names_dutch"	"Fort Belgica"	"0"
"names_dutch"	"Fort Bergh"	"-2110460447"
"names_dutch"	"Fort Blauwkapel"	"0"
"names_dutch"	"Fort Coevorden"	"961538807"
"names_dutch"	"Fort de Gagel"	"0"
"names_dutch"	"Fort de Haar"	"2135082493"
"names_dutch"	"Fort de Kock"	"0"
"names_dutch"	"Fort d'Erp"	"182859628"
"names_dutch"	"Fort Everdingen"	"0"
"names_dutch"	"Fort Heeswijk"	"-1428284550"
"names_dutch"	"Fort Hinderdam"	"0"
"names_dutch"	"Fort Honswijk"	"0"
"names_dutch"	"Fort Kijkuit"	"0"
"names_dutch"	"Fort Loevestein"	"1162356143"
"names_dutch"	"Fort Mheer"	"-1841663885"
"names_dutch"	"Fort Nieuwersluis"	"0"
"names_dutch"	"Fort Nijenrode"	"1393366584"
"names_dutch"	"Fort Pampus"	"0"
"names_dutch"	"Fort Ronduit"	"0"
"names_dutch"	"Fort Spion"	"0"
"names_dutch"	"Fort Steurgat"	"0"
"names_dutch"	"Fort Uitermeer"	"0"
"names_dutch"	"Fort Valkenburg"	"-1505900762"
"names_dutch"	"Fort van Breda"	"1145435790"
"names_dutch"	"Fort van der Capellen"	"0"
"names_dutch"	"Fort van der Crabben"	"-784123943"
"names_dutch"	"Fort Vredeburg"	"0"
"names_english"	"Fort Albany"	"1577445526"
"names_english"	"Fort Amherst"	"0"
"names_english"	"Fort Anne"	"0"
"names_english"	"Fort Austin"	"0"
"names_english"	"Fort Battleford"	"0"
"names_english"	"Fort Belan"	"0"
"names_english"	"Fort Blockhouse"	"0"
"names_english"	"Fort Borstal"	"0"
"names_english"	"Fort Bovisand"	"0"
"names_english"	"Fort Bridgewood"	"0"
"names_english"	"Fort Brockhurst"	"0"
"names_english"	"Fort Carlton"	"0"
"names_english"	"Fort Cartwright"	"0"
"names_english"	"Fort Charles"	"922867223"
"names_english"	"Fort Churchill"	"1854504450"
"names_english"	"Fort Clarence"	"0"
"names_english"	"Fort Darnet"	"0"
"names_english"	"Fort Edward"	"0"
"names_english"	"Fort Elson"	"0"
"names_english"	"Fort Erie"	"0"
"names_english"	"Fort Frederick"	"0"
"names_english"	"Fort Garry"	"0"
"names_english"	"Fort George"	"-1536472052"
"names_english"	"Fort Gilkicker"	"0"
"names_english"	"Fort Grange"	"0"
"names_english"	"Fort Greville"	"0"
"names_english"	"Fort Hoo"	"0"
"names_english"	"Fort Hudson"	"-1541395455"
"names_english"	"Fort Lawrence"	"0"
"names_english"	"Fort Luton"	"0"
"names_english"	"Fort Marlborough"	"-337579429"
"names_english"	"Fort Monckton"	"0"
"names_english"	"Fort Nelson"	"1909889204"
