version 1, schema building_effects_junction_tables
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"pNavy1_shipyard"	"naval_recruitment_points"	1
"pNavy2_dockyard"	"happy_industrialisation_lower"	-1
"pNavy2_dockyard"	"naval_recruitment_points"	2
"pNavy3_steam_drydock"	"happy_industrialisation_lower"	-2
"pNavy3_steam_drydock"	"naval_recruitment_points"	3
"pNavyTutorial1_shipyard"	"naval_recruitment_points"	1
"pTrade1_trading_port"	"export_capacity_port"	30
"pTrade1_trading_port"	"gdp_port"	100
"pTrade1_trading_port"	"naval_recruitment_points"	1
"pTrade1_trading_port"	"trade_routes_mod_max_sea"	3
"pTrade1_trading_port"	"tw_growth_port"	10
"pTrade2_commercial_port"	"export_capacity_port"	60
"pTrade2_commercial_port"	"gdp_port"	200
"pTrade2_commercial_port"	"happy_industrialisation_lower"	-1
"pTrade2_commercial_port"	"naval_recruitment_points"	1
"pTrade2_commercial_port"	"trade_routes_mod_max_sea"	4
"pTrade2_commercial_port"	"tw_growth_port"	20
"pTrade3_trading_company"	"export_capacity_port"	90
"pTrade3_trading_company"	"gdp_port"	400
"pTrade3_trading_company"	"happy_industrialisation_lower"	-2
"pTrade3_trading_company"	"naval_recruitment_points"	2
"pTrade3_trading_company"	"trade_routes_mod_max_sea"	5
"pTrade3_trading_company"	"tw_growth_port"	40
"pTradeTutorial1_trading_port"	"export_capacity_port"	30
"pTradeTutorial1_trading_port"	"gdp_port"	100
"pTradeTutorial1_trading_port"	"naval_recruitment_points"	1
"pTradeTutorial1_trading_port"	"trade_routes_mod_max_sea"	3
"pTradeTutorial1_trading_port"	"tw_growth_port"	10
"rFarm1_farms"	"gdp_farm"	100
"rFarm2_clearances"	"gdp_farm"	200
"rFarm2_clearances"	"replenishment_percentage_bonus"	3
"rFarm3_great_estates"	"gdp_farm"	400
"rFarm3_great_estates"	"happy_industrialisation_lower"	-1
"rFarm3_great_estates"	"replenishment_percentage_bonus"	5
"rGold1_gold_mine"	"gdp_mine"	300
"rGold1_gold_mine"	"tw_growth_industry"	10
"rGold2_steam-pumped_gold_mine"	"gdp_mine"	600
"rGold2_steam-pumped_gold_mine"	"happy_industrialisation_lower"	-1
"rGold2_steam-pumped_gold_mine"	"tw_growth_industry"	20
"rGold3_industrial_gold_mining_complex"	"gdp_mine"	1200
"rGold3_industrial_gold_mining_complex"	"happy_industrialisation_lower"	-2
"rGold3_industrial_gold_mining_complex"	"tw_growth_industry"	40
"rHorse1_stables"	"gdp_farm"	50
"rHorse1_stables"	"recruitment_cost_mod_category_cavalry"	-3
"rHorse2_stud_farm"	"gdp_farm"	100
"rHorse2_stud_farm"	"recruitment_cost_mod_category_cavalry"	-6
"rHorse3_equestrian_estate"	"gdp_farm"	200
"rHorse3_equestrian_estate"	"recruitment_cost_mod_category_cavalry"	-9
"rIron1_iron_mine"	"gdp_mine"	100
"sCulture5_austria_theatrewien"	"recruitment_points"	1
"rIron1_iron_mine"	"recruitment_cost_mod_land_all"	-3
"rIron2_steam-pumped_iron_mine"	"gdp_mine"	200
"rIron2_steam-pumped_iron_mine"	"happy_industrialisation_lower"	-1
"rIron2_steam-pumped_iron_mine"	"recruitment_cost_mod_land_all"	-6
"rIron3_industrial_iron_mining_complex"	"gdp_mine"	400
"rIron3_industrial_iron_mining_complex"	"happy_industrialisation_lower"	-2
"rIron3_industrial_iron_mining_complex"	"recruitment_cost_mod_land_all"	-9
"rIronTutorial1_iron_mine"	"gdp_mine"	100
"rIronTutorial1_iron_mine"	"recruitment_cost_mod_land_all"	-5
"rIronTutorial2_steam-pumped_iron_mine"	"gdp_mine"	200
"rIronTutorial2_steam-pumped_iron_mine"	"happy_industrialisation_lower"	-1
"rIronTutorial2_steam-pumped_iron_mine"	"recruitment_cost_mod_land_all"	-10
"rIronTutorial3_industrial_iron_mining_complex"	"gdp_mine"	400
"rIronTutorial3_industrial_iron_mining_complex"	"happy_industrialisation_lower"	-2
"rIronTutorial3_industrial_iron_mining_complex"	"recruitment_cost_mod_land_all"	-15
"rTimber1_timber_logging_camp"	"building_cost_mod_all"	-10
"rTimber1_timber_logging_camp"	"gdp_industry"	75
"rTimber1_timber_logging_camp"	"recruitment_cost_mod_naval_all"	-3
"rTimber2_timber_lumber_mill"	"building_cost_mod_all"	-12
"rTimber2_timber_lumber_mill"	"gdp_industry"	150
"rTimber2_timber_lumber_mill"	"recruitment_cost_mod_naval_all"	-6
"rTimber3_steam_powered_sawmill"	"building_cost_mod_all"	-24
"rTimber3_steam_powered_sawmill"	"gdp_industry"	300
"rTimber3_steam_powered_sawmill"	"happy_industrialisation_lower"	-1
"rTimber3_steam_powered_sawmill"	"recruitment_cost_mod_naval_all"	-9
"rWine1_vineyards"	"happy_culture_lower"	1
"rWine1_vineyards"	"happy_culture_middle"	1
"rWine1_vineyards"	"happy_culture_upper"	1
"rWine1_vineyards"	"tw_growth_industry"	4
"rWine2_winery"	"happy_culture_lower"	2
"rWine2_winery"	"happy_culture_middle"	2
"rWine2_winery"	"happy_culture_upper"	2
"rWine2_winery"	"tw_growth_industry"	8
"rWine3_wine_estates"	"happy_culture_lower"	3
"rWine3_wine_estates"	"happy_culture_middle"	3
"rWine3_wine_estates"	"happy_culture_upper"	3
"rWine3_wine_estates"	"tw_growth_industry"	16
"sAdmin1_tax_office"	"agent_spawn_rate_basic_hidden"	1
"sAdmin1_tax_office"	"recruitment_points"	1
"sAdmin1_tax_office"	"repression_building"	1
"sAdmin1_tax_office"	"tax_bonus_building"	5
"sAdmin2_magistrate"	"agent_spawn_rate_basic_hidden"	2
"sAdmin2_magistrate"	"recruitment_points"	1
"sAdmin2_magistrate"	"repression_building"	2
"sAdmin2_magistrate"	"tax_bonus_building"	10
"sAdmin3_court_justice"	"agent_spawn_rate_basic_hidden"	3
"sAdmin3_court_justice"	"recruitment_points"	1
"sAdmin3_court_justice"	"repression_building"	3
"sAdmin3_court_justice"	"tax_bonus_building"	15
"sAdmin4_court_appeals"	"agent_spawn_rate_basic_hidden"	4
"sAdmin4_court_appeals"	"recruitment_points"	1
"sAdmin4_court_appeals"	"repression_building"	3
"sAdmin4_court_appeals"	"tax_bonus_building"	20
"sAdmin5_court_supreme"	"agent_spawn_rate_basic_hidden"	5
"sAdmin5_court_supreme"	"recruitment_points"	1
"sAdmin5_court_supreme"	"repression_building"	4
"sAdmin5_court_supreme"	"tax_bonus_building"	25
