version 1, schema ancillary_included_subcultures_tables, guid b6047b4b-ed8e-4903-8c2b-8ea100139da3
Ancillary_IDRef(string)	Subculture(string)
"s2_anc_bosh_hovercraft_eels"	"sc_japanese"
"s2_anc_pdlc_daimyo_civil_judge"	"sc_japanese"
"s2_anc_pdlc_daimyo_civil_secretary"	"sc_japanese"
"s2_anc_pdlc_daimyo_civil_servant"	"sc_japanese"
"s2_anc_pdlc_daimyo_governor"	"sc_japanese"
"s2_anc_pdlc_daimyo_little_tea_pot_1"	"sc_japanese"
"s2_anc_pdlc_daimyo_little_tea_pot_2"	"sc_japanese"
"s2_anc_pdlc_daimyo_little_tea_pot_3"	"sc_japanese"
"s2_anc_pdlc_daimyo_pet_tiger"	"sc_japanese"
"s2_anc_pdlc_daimyo_samurai_senior"	"sc_japanese"
"s2_anc_pdlc_daimyo_vassal"	"sc_japanese"
"s2_anc_pdlc_general_bow_practice"	"sc_japanese"
"s2_anc_pdlc_general_bow_target_long"	"sc_japanese"
"s2_anc_pdlc_general_bow_target_medium"	"sc_japanese"
"s2_anc_pdlc_general_bow_target_short"	"sc_japanese"
"s2_anc_pdlc_general_governor_zuryo"	"sc_japanese"
"s2_anc_pdlc_general_governor"	"sc_japanese"
"s2_anc_pdlc_general_mii_dera"	"sc_japanese"
"s2_anc_pdlc_general_monk_enryaky_ji"	"sc_japanese"
"s2_anc_pdlc_general_moon_carp"	"sc_japanese"
"s2_anc_pdlc_general_poet_chinese"	"sc_japanese"
"s2_anc_pdlc_general_poet_nihon"	"sc_japanese"
"s2_anc_pdlc_general_weapon_yoroi_toshi"	"sc_japanese"
"s2_anc_pdlc_monk_follower_itako"	"sc_japanese"
"s2_anc_pdlc_monk_follower_komuso"	"sc_japanese"
"s2_anc_pdlc_monk_follower_miko_spirit"	"sc_japanese"
"s2_anc_pdlc_monk_follower_miko_tea"	"sc_japanese"
"s2_anc_pdlc_monk_follower_ninja"	"sc_japanese"
"s2_anc_pdlc_monk_follower_noble"	"sc_japanese"
"s2_anc_pdlc_monk_follower_ronin"	"sc_japanese"
"s2_anc_pdlc_monk_follower_yamahoshi"	"sc_japanese"
"s2_anc_pdlc_monk_item_beads"	"sc_japanese"
"s2_anc_pdlc_monk_item_bowl"	"sc_japanese"
"s2_anc_pdlc_monk_item_cup"	"sc_japanese"
