names_name_names_englishJosiah	Josiah	false
names_name_names_englishChild	Child	false
names_name_names_frenchMartin	Martin	false
units_on_screen_name_12_lber_land_cannon_persian	12-lber Foot Artillery	false
units_on_screen_name_18_lber_land_cannon_persian	18-lber Foot Artillery	false
units_on_screen_name_24_lber_land_cannon_(demi_cannon)_caucasian	Demi-Cannons	false
units_on_screen_name_24_lber_land_cannon_(demi_cannon)_persian	Demi-Cannons	false
units_on_screen_name_24_lber_land_cannon_persian	24-lber Foot Artillery	false
units_on_screen_name_4_inch_mortar_persian	Mortars	false
units_on_screen_name_8_inch_mortar_persian	Large Mortars	false
units_on_screen_name_9_lber_land_cannon_(saker)_caucasian	9-lber Artillery	false
units_on_screen_name_9_lber_land_cannon_(saker)_persian	9-lber Artillery	false
units_on_screen_name_barbary_xebec	Barbary Xebec	false
units_on_screen_name_barbary_xebec_buffed	Barbary Xebec	false
units_on_screen_name_deli_scouts	Deli Scouts	false
units_on_screen_name_desert_warriors_garrison	Desert Warriors	false
units_on_screen_name_east_afghan_sherbacha	Afghan Sher-Bacha Gunners	false
units_on_screen_name_east_ethnic_hillmen_musketeers_afghan_garrison	Afghan Hillmen	false
units_on_screen_name_east_ethnic_hillmen_musketeers_caucasian	Caucasian Hillmen	false
units_on_screen_name_east_ethnic_hillmen_musketeers_caucasian_garrison	Caucasian Hillmen	false
units_on_screen_name_east_ethnic_hillmen_musketeers_jezail	Pashtun Jezail Gunner	false
units_on_screen_name_east_ethnic_musketeers_bargir_nerfed	Bargir Infantry	false
units_on_screen_name_east_ethnic_musketmen_isarelys	Sekban Musketeers	false
units_on_screen_name_east_ethnic_musketmen_islamic_musketeers	Chela Musketeers	false
units_on_screen_name_east_ethnic_musketmen_hindu_musketeers	Banduqchis	false
units_on_screen_name_east_ethnic_musketmen_jazayerchi	Jazāyerchis	false
units_on_screen_name_east_ethnic_musketmen_tofangchi	Tofangchis	false
units_on_screen_name_east_ethnic_musketmen_tufekci	Tüfekçis	false
units_on_screen_name_east_ethnic_musketmen_tufekci_garrison	Tüfekçis	false
units_on_screen_name_east_ethnic_swordsmen_caucasian	Caucasian Swordsmen	false
units_on_screen_name_east_ethnic_swordsmen_caucasian_garrison	Caucasian Swordsmen	false
units_on_screen_name_east_ethnic_swordsmen_fellahin	Fellahin Swordsmen	false
units_on_screen_name_east_ethnic_swordsmen_hindu_warriors	Mavala Warriors	false
units_on_screen_name_east_ethnic_swordsmen_islamic_swordsmen	Shamsherbaz	false
units_on_screen_name_east_ethnic_swordsmen_islamic_garrison	Shamsherbaz	false
units_on_screen_name_east_ethnic_swordsmen_khevsur	Khevsur Warriors	false
units_on_screen_name_east_ethnic_swordsmen_kurdish	Kurdish Swordsmen	false
units_on_screen_name_east_ethnic_warriors_barbary_pirates_with_grenades	Barbary Pirates	false
units_on_screen_name_east_ethnic_warriors_barbary_pirates_with_grenades_garrison	Barbary Pirates	false
units_on_screen_name_east_guard_cavalry_qurchi	Qurchis	false
units_on_screen_name_east_guard_cavalry_silahdar	Silahdars	false
units_on_screen_name_east_heavy_cavalry_mirza	Mirza Cavalry	false
units_on_screen_name_east_heavy_cavalry_savar	Savārs	false
units_on_screen_name_east_heavy_cavalry_sowar	Sowars	false
units_on_screen_name_east_irregular_cavalry_circassian	Circassian Horsemen	false
units_on_screen_name_east_lancers	Tribal Lancers	false
units_on_screen_name_east_lancers_berber	Berber Lancers	false
units_on_screen_name_east_lancers_deli	Deli Lancers	false
units_on_screen_name_east_lancers_oglans	Oğlans	false
units_on_screen_name_east_light_cavalry_berber	Berber Cavalry	false
units_on_screen_name_east_light_cavalry_jigits	Jigits	false
units_on_screen_name_east_light_cavalry_kazakh	Kazakh Light Cavalry	false
units_on_screen_name_east_light_cavalry_nogai	Nogai Light Cavalry	false
units_on_screen_name_east_missile_cavalry_gholam	Gholam Cavalry	false
units_on_screen_name_east_missile_cavalry_mirza	Mirza Horse Archers	false
units_on_screen_name_east_pikemen_gholam	Gholam Pikemen	false
units_on_screen_name_east_pikemen_sadrosho	Sadrosho Pikemen	false
units_on_screen_name_east_sikh_infantry_musketeers_nerfed	Sikh Musketeers	false
units_on_screen_name_east_sipahi_cavalry_colonial	Sowars	false
units_on_screen_name_east_camel_gunners_zamburaks	Zamburak Camel Gunners	false
units_on_screen_name_euro_line_infantry_russia_suvorov	Line Infantry	false
units_on_screen_name_euro_line_infantry_russia_trained	Line Infantry	false
units_on_screen_name_galleon_nerfed	Galleon	false
units_on_screen_name_glekhebi	Glekhebi	false
units_on_screen_name_gorodskiye_streltsy_musket	Gorodskiye Streltsy	false
units_on_screen_name_grab	Grab	false
units_on_screen_name_janissaries_anatolian	Anatolian Janissaries	false
units_on_screen_name_janissaries_anatolian_kupa	Anatolian Janissaries	false
units_on_screen_name_light_gallivat	Light Gallivat	false
units_on_screen_name_mameluks	Mamluks	false
units_on_screen_name_mameluks_buffed	Mamluks	false
units_on_screen_name_medium_gallivat	Gallivat	false
units_on_screen_name_pal	Pal	false
units_on_screen_name_simple_xebec	Xebec	false
units_on_screen_name_pirates_garrison	Buccaneers	false
units_on_screen_name_pirates_with_grenades	Buccaneers	false
units_on_screen_name_steppe_cavalry_tatars_crimean_garrison	Tatars	false
