version 1, schema units_to_gov_type_permissions_tables
Unit_IDRef(string)	Government_IDRef(string)	unknown1(string)	Status(string)
"cossack_cavalry"	"gov_absolute_monarchy"	"1"	"enabled"
"cossack_cavalry"	"gov_constitutional_monarchy"	"31"	"non_reinforceable"
"cossack_cavalry"	"gov_republic"	"32"	"non_reinforceable"
"cossack_cavalry_hetman"	"gov_absolute_monarchy"	"60"	"enabled"
"cossack_cavalry_hetman"	"gov_constitutional_monarchy"	"61"	"non_reinforceable"
"cossack_cavalry_hetman"	"gov_republic"	"62"	"non_reinforceable"
"cossack_infantry"	"gov_absolute_monarchy"	"2"	"enabled"
"cossack_infantry"	"gov_constitutional_monarchy"	"33"	"non_reinforceable"
"cossack_infantry"	"gov_republic"	"34"	"non_reinforceable"
"elite_garde_a_cheval"	"gov_absolute_monarchy"	"90"	"enabled"
"elite_garde_a_cheval"	"gov_constitutional_monarchy"	"91"	"enabled"
"elite_garde_a_cheval"	"gov_republic"	"92"	"destroyed"
"elite_garde_du_corp"	"gov_absolute_monarchy"	"99"	"enabled"
"elite_garde_du_corp"	"gov_constitutional_monarchy"	"100"	"enabled"
"elite_garde_du_corp"	"gov_republic"	"101"	"destroyed"
"elite_horse_guards"	"gov_absolute_monarchy"	"84"	"enabled"
"elite_horse_guards"	"gov_constitutional_monarchy"	"85"	"enabled"
"elite_horse_guards"	"gov_republic"	"86"	"destroyed"
"elite_siemenovski_foot_guards"	"gov_absolute_monarchy"	"93"	"enabled"
"elite_siemenovski_foot_guards"	"gov_constitutional_monarchy"	"94"	"enabled"
"elite_siemenovski_foot_guards"	"gov_republic"	"95"	"destroyed"
"elite_swiss_guard"	"gov_absolute_monarchy"	"87"	"enabled"
"elite_swiss_guard"	"gov_constitutional_monarchy"	"88"	"enabled"
"elite_swiss_guard"	"gov_republic"	"89"	"destroyed"
"elite_walloon_guards"	"gov_absolute_monarchy"	"96"	"enabled"
"elite_walloon_guards"	"gov_constitutional_monarchy"	"97"	"enabled"
"elite_walloon_guards"	"gov_republic"	"98"	"destroyed"
"euro_polish_winged_hussars"	"gov_absolute_monarchy"	"3"	"enabled"
"euro_polish_winged_hussars"	"gov_constitutional_monarchy"	"4"	"enabled"
"euro_polish_winged_hussars"	"gov_republic"	"35"	"non_reinforceable"
"euro_republican_conscript_infantry"	"gov_absolute_monarchy"	"36"	"destroyed"
"euro_republican_conscript_infantry"	"gov_constitutional_monarchy"	"37"	"destroyed"
"euro_republican_conscript_infantry"	"gov_republic"	"5"	"enabled"
"euro_republican_guard"	"gov_absolute_monarchy"	"38"	"destroyed"
"euro_republican_guard"	"gov_constitutional_monarchy"	"39"	"destroyed"
"euro_republican_guard"	"gov_republic"	"6"	"enabled"
"garde_du_corps"	"gov_absolute_monarchy"	"7"	"enabled"
"garde_du_corps"	"gov_constitutional_monarchy"	"8"	"enabled"
"garde_du_corps"	"gov_republic"	"40"	"destroyed"
"gorodskiye_streltsy"	"gov_absolute_monarchy"	"11"	"enabled"
"gorodskiye_streltsy"	"gov_constitutional_monarchy"	"12"	"enabled"
"gorodskiye_streltsy"	"gov_republic"	"42"	"non_reinforceable"
"guard_infantry"	"gov_absolute_monarchy"	"13"	"enabled"
"guard_infantry"	"gov_constitutional_monarchy"	"14"	"enabled"
"guard_infantry"	"gov_republic"	"43"	"converted_to"
"household_cavalry"	"gov_absolute_monarchy"	"15"	"enabled"
"household_cavalry"	"gov_constitutional_monarchy"	"16"	"enabled"
"household_cavalry"	"gov_republic"	"44"	"destroyed"
"life_guards"	"gov_absolute_monarchy"	"19"	"enabled"
"life_guards"	"gov_constitutional_monarchy"	"20"	"enabled"
"life_guards"	"gov_republic"	"46"	"destroyed"
"maison_du_roi"	"gov_absolute_monarchy"	"23"	"enabled"
"maison_du_roi"	"gov_constitutional_monarchy"	"24"	"enabled"
"maison_du_roi"	"gov_republic"	"48"	"converted_to"
"mameluks"	"gov_absolute_monarchy"	"25"	"enabled"
"mameluks"	"gov_constitutional_monarchy"	"49"	"non_reinforceable"
"mameluks"	"gov_republic"	"50"	"destroyed"
"netherlands_horse_guards"	"gov_absolute_monarchy"	"70"	"enabled"
"netherlands_horse_guards"	"gov_constitutional_monarchy"	"71"	"enabled"
"netherlands_horse_guards"	"gov_republic"	"63"	"destroyed"
"prussian_garde_du_corp"	"gov_absolute_monarchy"	"102"	"enabled"
"prussian_garde_du_corp"	"gov_constitutional_monarchy"	"103"	"enabled"
"prussian_garde_du_corp"	"gov_republic"	"64"	"destroyed"
"prussian_life_guard"	"gov_absolute_monarchy"	"80"	"enabled"
"prussian_life_guard"	"gov_constitutional_monarchy"	"81"	"enabled"
"prussian_life_guard"	"gov_republic"	"65"	"converted_to"
"revolutionary_guard"	"gov_absolute_monarchy"	"53"	"destroyed"
"revolutionary_guard"	"gov_constitutional_monarchy"	"54"	"destroyed"
"revolutionary_infantry"	"gov_absolute_monarchy"	"51"	"destroyed"
"revolutionary_infantry"	"gov_constitutional_monarchy"	"52"	"converted_to"
"revolutionary_infantry"	"gov_republic"	"26"	"enabled"
"spanish_guardias_de_corp"	"gov_absolute_monarchy"	"76"	"enabled"
