version 6, schema unit_stats_land_tables
Unit(string)	Size(int)	_x0023__x0020_Horses(int)	_x0023__x0020_Artillery(int)	Officer(string)	Drummer(optstring)	Standard_x0020_Bearer(optstring)	Soldier_x0020_Model(string)	Man_entity_x0020_-_x0020_links_x0020_to_x0020_battle_entities_x0020_table(string)	Man_x0020_Animations_x0020_Table(string)	Warscape_Equipment_Theme_IDRef(string)	Armor_Value(int)	Armor_Audio(string)	Man_x0020_Health(int)	Mount_x0020_Model(optstring)	Cavalry_x0020_Battle_x0020_Entity(optstring)	Mount_x0020_Animations_x0020_Table(optstring)	Mount_x0020_Armour_x0020_Value(string)	Mount_x0020_Health(string)	Carriage_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Train_x0020_Battle_x0020_Entity(optstring)	Ammo_x0020_Caisson_x0020_Model(optstring)	Artillery_1(optstring)	Has_Artillery_2(boolean)	Gun(optstring)	Primary_x0020_Missile_x0020_Weapon(optstring)	Accuracy(int)	Reloading_x0020_Skill(int)	Primary_x0020_Missile_x0020_Attack(string)	Firing_x0020_Mechanism(string)	Projectile(optstring)	Ammo(int)	Skeleton_x0020_Missile(optstring)	Melee_x0020_Weapon_x0020_Type(string)	Melee_x0020_Attack_x0020_Skill(int)	Charge_x0020_Bonus(int)	Defense_x0020_Skill(int)	Shield_x0020_Bonus(int)	Skeleton_x0020_Melee(string)	Pistols(string)	Unit_x0020_Drill_x0020_Set(string)	Training(string)	Morale(int)	Deployed_x0020_Ranks(int)	File_x0020_Spacing(float)	Rank_x0020_Spacing(float)	File_x0020_Spacing_x0020_Loose_x0020_Formation(float)	Rank_x0020_Spacing_x0020_Loose_x0020_Formation(float)	File_x0020_Spacing_x0020_Dismounted(float)	Rank_x0020_Spacing_x0020_Dismounted(float)	Base_x0020_Density(float)	Anti_Cavalry_Bonus(int)	Can_x0020_Throw_x0020_Grenades(boolean)	Can_x0020_Skirmish(boolean)	Can_x0020_Guard(boolean)	Can_x0020_Dismount(boolean)	Can_x0020_Place_x0020_Stakes(boolean)	Is_x0020_Slow_x0020_Moving(boolean)	Can_x0020_Rally_x0020_Comrades_x0020__x0023_Has_x0020_No_x0020_In-Game_x0020_Effect_x0023_(boolean)	Can_x0020_Hide_x0020_In_x0020_Woodland(boolean)	Can_Hide_in_Light_Scrub(boolean)	Can_Hide_in_Long_Grass(boolean)	Can_Hide_in_Buildings(boolean)	Can_Hide_When_Walking(boolean)	Can_Hide_While_Firing(boolean)	Can_Fire_from_Horseback(boolean)	Tree_x0020_Spotting_x0020_Distance(float)	Scrub_x0020_Spotting_x0020_Distance(float)	Long_x0020_Grass_x0020_Spotting_x0020_Distance(float)	Paths_x0020_Seldom_x0020_Trod(boolean)	Garrison_x0020_Police_x0020_Bonus(boolean)	Discipined(boolean)	Impetuous(boolean)	Scares_x0020_Horses(boolean)	Scares_x0020_Enemies(boolean)	Inspires_x0020_Allies(boolean)	Good_x0020_Stamina(boolean)	Can_x0020_Use_x0020_Rope_x0020_Ladders(boolean)	Heat_x0020_Resistant(boolean)	Cold_x0020_Resistant(boolean)	Can_x0020_Do_x0020_Formed_x0020_Attack(boolean)	Can_x0020_Use_x0020_Pike_x0020_Wall(boolean)	Can_x0020_Use_x0020_Pike_x0020_Square(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving_x0020__x0023_Is_x0020_Immune_x0020_to_x0020_Attrition_x0020_in_x0020_Napoleon(boolean)	Can_x0020_Shoot_x0020_While_x0020_Moving(boolean)	Flutist(optstring)	Limber_Destructed_Model(optstring)	Limber_Destruction_Model(optstring)	Guerilla_Deployment(boolean)
"Art_Foot_British_Experimental_Howitzer"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"rider_sabre"	"generic_gun"	2	"leather"	1	"horse_artillery_mixed_brown"	"horse_medium"	"mount_horse"	"0"	"0"	"gun_train_2_horse"	"ammo_caisson_small"	"limber_model_Britain"	"Howitzer_5_Britain"	true	"howitzer_experimental_Britain"	nil	45	25	"0"	"matchlock"	nil	30	"cannon_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	12	16	16	1.5	3	7	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	"Ammo_Caisson_Britain_destructed"	"Ammo_Caisson_Britain_destruction"	false
"Art_Foot_French_12_lber"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"rider_sabre"	"generic_gun"	2	"leather"	1	"horse_artillery_mixed_brown"	"horse_medium"	"mount_horse"	"0"	"0"	"gun_train_2_horse"	"ammo_caisson_small"	"limber_model_France"	"Field_Cannon_12lb_France"	true	"cannon_12_pounder_France"	nil	50	40	"0"	"matchlock"	nil	30	"cannon_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	12	16	16	1.5	3	7	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	"Ammo_Caisson_France_destructed"	"Ammo_Caisson_France_destruction"	false
"Art_Foot_French_6_In_Howitzer"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"rider_sabre"	"generic_gun"	2	"leather"	1	"horse_artillery_mixed_brown"	"horse_medium"	"mount_horse"	"0"	"0"	"gun_train_2_horse"	"ammo_caisson_small"	"limber_model_France"	"howitzer_6_France"	true	"howitzer_6_In_France"	nil	50	30	"0"	"matchlock"	nil	30	"cannon_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	12	16	16	1.5	3	7	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	"Ammo_Caisson_France_destructed"	"Ammo_Caisson_France_destruction"	false
"Art_Foot_French_6_lber"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"rider_sabre"	"generic_gun"	2	"leather"	1	"horse_artillery_mixed_brown"	"horse_medium"	"mount_horse"	"0"	"0"	"gun_train_2_horse"	"ammo_caisson_small"	"limber_model_France"	"Field_Cannon_6lb_France"	true	"cannon_6_pounder_France"	nil	70	40	"0"	"matchlock"	nil	30	"cannon_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	12	16	16	1.5	3	7	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	"Ammo_Caisson_France_destructed"	"Ammo_Caisson_France_destruction"	false
"Art_Foot_French_8_lber"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"rider_sabre"	"generic_gun"	2	"leather"	1	"horse_artillery_mixed_brown"	"horse_medium"	"mount_horse"	"0"	"0"	"gun_train_2_horse"	"ammo_caisson_small"	"limber_model_France"	"Field_Cannon_8lb_France"	true	"cannon_8_pounder_France"	nil	60	40	"0"	"matchlock"	nil	30	"cannon_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	12	16	16	1.5	3	7	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	"Ammo_Caisson_France_destructed"	"Ammo_Caisson_France_destruction"	false
"Art_Fix_Austrian_Rocket_Troop"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"man_sword_slash"	"generic_gun"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	"rocket"	false	"rockets_fixed"	nil	20	10	"0"	"none"	nil	10	"rocket_carriage_crew"	"sword"	2	3	1	0	"foot_sword"	"0"	"drill_set_artillery"	"trained"	3	1	5	5	10	10	1.5	3	7	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	nil	nil	false
"Art_Fix_British_Rocket_Troop"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"man_sword_slash"	"generic_gun"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	"rocket"	false	"rockets_fixed"	nil	25	10	"0"	"none"	nil	10	"rocket_carriage_crew"	"sword"	2	3	2	0	"foot_sword"	"0"	"drill_set_artillery"	"trained"	3	1	5	5	10	10	1.5	3	7	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	nil	nil	false
"Art_Fix_French_Rocket_Troop"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"man_sword_slash"	"generic_gun"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	"rocket"	false	"rockets_fixed"	nil	30	15	"0"	"none"	nil	10	"rocket_carriage_crew"	"sword"	2	3	2	0	"foot_sword"	"0"	"drill_set_artillery"	"trained"	3	1	5	5	10	10	1.5	3	7	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	nil	nil	false
"Art_Fix_Ottoman_Bombardment_Mortars"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"man_sword_slash"	"generic_gun"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	"Ott_mortar"	true	"ott_mortar"	nil	10	5	"0"	"matchlock"	nil	30	"mortar_crew"	"sword"	2	3	2	0	"one_handed"	"0"	"drill_set_artillery"	"trained"	3	1	8	8	16	16	1.5	3	7	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	nil	nil	nil	false
"Art_Fix_Prussian_Rocket_Troop"	24	0	4	"euro_officer"	nil	nil	"euroline"	"infantry_euro_medium"	"man_sword_slash"	"generic_gun"	2	"leather"	1	nil	nil	nil	"0"	"0"	nil	nil	nil	"rocket"	false	"rockets_fixed"	nil	15	5	"0"	"none"	nil	10	"rocket_carriage_crew"	"sword"	2	3	2	0	"foot_sword"	"0"	"drill_set_artillery"	"trained"	3	1	5	5	10	10	1.5	3	7	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50	75	100	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	nil	nil	nil	false
