version 1, schema effect_bonus_value_unit_category_junction_tables
Trait_effect(string)	Bonus_ID(string)	unit_category(string)
"Command_Land_Artillery_Troops"	"land_command"	"artillery"
"Command_Land_Cavalry_Troops"	"land_command"	"cavalry"
"Command_Land_Infantry_Troops"	"land_command"	"infantry"
"Command_Sea_Frigates"	"sea_command"	"naval_frigate"
"Command_Sea_Line_ships"	"sea_command"	"naval_line_of_battle"
"mod_infantry_movement_campaign"	"movement_mod"	"infantry"
"mod_infantry_training_battle"	"training_mod"	"infantry"
"mod_ship_movement_battle"	"movement_mod"	"naval_line_of_battle"
"mod_ship_movement_campaign"	"movement_mod"	"naval_line_of_battle"
"Movement_Points_All"	"movement_mod"	"artillery"
"Movement_Points_All"	"movement_mod"	"cavalry"
"Movement_Points_All"	"movement_mod"	"dragoons"
"Movement_Points_All"	"movement_mod"	"elephants"
"Movement_Points_All"	"movement_mod"	"infantry"
"Movement_Points_All"	"movement_mod"	"naval_auxiliary"
"Movement_Points_All"	"movement_mod"	"naval_frigate"
"Movement_Points_All"	"movement_mod"	"naval_galley"
"Movement_Points_All"	"movement_mod"	"naval_invasion_fleet"
"Movement_Points_All"	"movement_mod"	"naval_line_of_battle"
"Movement_Points_All"	"movement_mod"	"naval_merchant"
"Movement_Points_All"	"movement_mod"	"naval_specialist"
"Movement_Points_All_Land"	"movement_mod"	"artillery"
"Movement_Points_All_Land"	"movement_mod"	"cavalry"
"Movement_Points_All_Land"	"movement_mod"	"dragoons"
"Movement_Points_All_Land"	"movement_mod"	"elephants"
"Movement_Points_All_Land"	"movement_mod"	"infantry"
"recruitment_cost_mod_category_artillery"	"cost_mod"	"artillery"
"recruitment_cost_mod_category_cavalry"	"cost_mod"	"cavalry"
"recruitment_cost_mod_category_dragoons"	"cost_mod"	"dragoons"
"recruitment_cost_mod_category_elephants"	"cost_mod"	"elephants"
"recruitment_cost_mod_category_infantry"	"cost_mod"	"infantry"
"recruitment_cost_mod_category_naval_auxiliary"	"cost_mod"	"naval_auxiliary"
"recruitment_cost_mod_category_naval_frigate"	"cost_mod"	"naval_frigate"
"recruitment_cost_mod_category_naval_galley"	"cost_mod"	"naval_galley"
"recruitment_cost_mod_category_naval_invasion_fleet"	"cost_mod"	"naval_invasion_fleet"
"recruitment_cost_mod_category_naval_line_of_battle"	"cost_mod"	"naval_line_of_battle"
"recruitment_cost_mod_category_naval_merchant"	"cost_mod"	"naval_merchant"
"recruitment_cost_mod_category_naval_specialist"	"cost_mod"	"naval_specialist"
"upkeep_cost_mod_category_artillery"	"upkeep_mod"	"artillery"
"upkeep_cost_mod_category_cavalry"	"upkeep_mod"	"cavalry"
"upkeep_cost_mod_category_dragoons"	"upkeep_mod"	"dragoons"
"upkeep_cost_mod_category_elephants"	"upkeep_mod"	"elephants"
"upkeep_cost_mod_category_infantry"	"upkeep_mod"	"infantry"
"upkeep_cost_mod_category_naval_auxiliary"	"upkeep_mod"	"naval_auxiliary"
"upkeep_cost_mod_category_naval_frigate"	"upkeep_mod"	"naval_frigate"
"upkeep_cost_mod_category_naval_galley"	"upkeep_mod"	"naval_galley"
"upkeep_cost_mod_category_naval_invasion_fleet"	"upkeep_mod"	"naval_invasion_fleet"
"upkeep_cost_mod_category_naval_line_of_battle"	"upkeep_mod"	"naval_line_of_battle"
"upkeep_cost_mod_category_naval_merchant"	"upkeep_mod"	"naval_merchant"
"upkeep_cost_mod_category_naval_specialist"	"upkeep_mod"	"naval_specialist"
