version 4, schema incidents_tables, guid ca4c01f4-94c1-4966-9bdc-7e4d58e19a60
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(boolean)
false	"bos_intro_4a_incident_military"	"bos_message_conflict_positive_active.tga"	"bos_army.tga"	true
false	"bos_intro_4b_incident_civil"	"bos_message_modernisation_positive_active.tga"	"bos_agriculture.tga"	true
true	"bos_intro_5_carry_on_imperial"	"bos_message_allegiance_imperial_positive_active.tga"	"bos_generic.TGA"	true
true	"bos_intro_5_carry_on_shogun"	"bos_message_allegiance_shogun_positive_active.tga"	"bos_generic.TGA"	true
false	"c_ambitious_traders_FIRST_able_sailors"	"message_dilemmas_active.tga"	"Dilemma_Ship.tga"	false
false	"c_ambitious_traders_FIRST_lucrative_shipping"	"message_dilemmas_active.tga"	"Dilemma_Ship.tga"	false
false	"c_ambitious_traders_SECOND_prosperity"	"message_dilemmas_active.tga"	"Dilemma_Merchants.tga"	false
false	"c_ambitious_traders_SECOND_thriving_markets"	"message_dilemmas_active.tga"	"Dilemma_Merchants.tga"	false
false	"c_auxiliary_supplies_FIRST_call_to_arms"	"message_dilemmas_active.tga"	"Dilemma_Ashigaru.tga"	false
false	"c_auxiliary_supplies_SECOND_master_smithies"	"message_dilemmas_active.tga"	"Dilemma_Samurai.tga"	false
false	"c_auxiliary_supplies_SECOND_merchant_discontent"	"message_dilemmas_active.tga"	"Dilemma_Disaffected.tga"	false
false	"c_better_agent_metsuke_FIRST_shogunal_deputy"	"message_dilemmas_active.tga"	"Dilemma_Shogun.tga"	false
false	"c_better_agent_missionary_FIRST_nanban_ambassador"	"message_dilemmas_active.tga"	"Dilemma_Nanban.tga"	false
false	"c_bos_emperor_foreign_medic_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_emperor_foreign_medic_FIRST_sonno_joi"	"bos_message_rebellion_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_gaijin_trouble_FIRST_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_gaijin_trouble_SECOND_anti_western_riots"	"bos_message_rebellion_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_gaijin_trouble_SECOND_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_icarus_affair_FIRST_anti_western_riots"	"bos_message_rebellion_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_icarus_affair_FIRST_disaffected_populace"	"bos_message_modernisation_negative_active.tga"	"bos_generic.TGA"	false
false	"c_bos_icarus_affair_FIRST_foreign_boost"	"bos_message_trade_positive_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_icarus_affair_FIRST_grant_royal_marines"	"bos_message_army_positive_active.tga"	"bos_army.tga"	false
false	"c_bos_icarus_affair_SECOND_foreign_setback"	"bos_message_trade_negative_active.tga"	"bos_westerner.TGA"	false
false	"c_bos_icarus_affair_SECOND_inspired_endeavours"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_koyosha_modern_FIRST_inspired_endeavours"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	false
false	"c_bos_koyosha_modern_FIRST_peer_respect"	"bos_message_diplomacy_positive_active.tga"	"bos_generic.TGA"	false
false	"c_bos_koyosha_modern_FIRST_rebellion"	"bos_message_rebellion_negative_active.tga"	"bos_army_battle.TGA"	false
false	"c_bos_koyosha_modern_FIRST_samurai_discontent"	"bos_message_rebellion_negative_active.tga"	"bos_generic.TGA"	false
