version 2, schema projectiles_explosions_tables, guid 28746bd5-da35-4c6a-9680-f217a82ca75c
Projectile_Explosion_IDRef(string)	Timer_type(string)	Explosive_x0020_concussion_x0020_type(string)	Concussive_x0020_blast_x0020_area(float)	Effect_duration(float)	unknown5(float)	unknown6(float)	Fragment_reference_x0020__x0023__Projectile_ID(optstring)	Num_of_projectiles_x0020__x0023__Shrapnel(int)	Particle_effects(optstring)	unknown10(float)	unknown11(float)	unknown13(optstring)
"boshin_armstrong_gun_shell"	"percussive"	"shockwave"	4	0	10	16	"shell_fragment"	4	"explode_flash_grenade"	0	1	"explode_flash_grenade"
"boshin_bombardment_large"	"percussive"	"shockwave"	12	0	10	8	"boshin_common_shell_fragment_large"	30	"Cannon_common_air_explosion_lrg"	1	12	"Cannon_common_air_explosion_lrg"
"boshin_bombardment_medium"	"percussive"	"shockwave"	12	0	10	8	"grenade_fragment"	25	"explode_flash_grenade"	1	10	"explode_flash_grenade"
"boshin_bombardment_small"	"percussive"	"shockwave"	12	0	10	8	"grenade_fragment"	5	"explode_flash_grenade"	0	0	"explode_flash_grenade"
"boshin_common_shell_extra_large"	"fuse_shell"	"shockwave"	14	0	5	10	"boshin_common_shell_fragment_extra_large"	30	"Cannon_common_air_explosion_lrg"	1	30	"Cannon_common_air_explosion_lrg"
"boshin_common_shell_kotetsu"	"fuse_shell"	"shockwave"	14	0	5	10	"boshin_common_shell_fragment_extra_large"	35	"Cannon_common_air_explosion_lrg"	1	20	"Cannon_common_air_explosion_lrg"
"boshin_common_shell_large"	"fuse_shell"	"shockwave"	12	0	5	8	"boshin_common_shell_fragment_large"	15	"Cannon_common_air_explosion_lrg"	1	30	"Cannon_common_air_explosion_lrg"
"boshin_common_shell_medium"	"fuse_shell"	"shockwave"	10	0	5	6	"boshin_common_shell_fragment_medium"	10	"Cannon_common_air_explosion_lrg"	1	30	"Cannon_common_air_explosion_lrg"
"boshin_common_shell_small"	"fuse_shell"	"shockwave"	8	0	5	4	"boshin_common_shell_fragment_small"	10	"Cannon_common_air_explosion_lrg"	1	30	"Cannon_common_air_explosion_lrg"
"boshin_naval_torpedo"	"percussive"	"shockwave"	25	0	10	100	"boshin_naval_torpedo_fragment"	25	"Mine_Explosion"	0	0	nil
"boshin_parrot_gun_shell"	"percussive"	"shockwave"	4	0	10	16	"shell_fragment"	4	"explode_flash_grenade"	0	1	"explode_flash_grenade"
"boshin_segment_shell_extra_large"	"fuse"	"shockwave"	15	0	5	10	"boshin_segment_shell_fragment_extra_large"	6	"Cannon_segment_air_explosion_lrg"	0	25	"Cannon_segment_air_explosion_lrg"
"boshin_segment_shell_kotetsu"	"fuse"	"shockwave"	20	0	10	10	"boshin_segment_shell_fragment_extra_large"	6	"Cannon_segment_air_explosion_lrg"	0	25	"Cannon_segment_air_explosion_lrg"
"boshin_segment_shell_large"	"fuse"	"shockwave"	12	0	5	8	"boshin_segment_shell_fragment_large"	4	"Cannon_segment_air_explosion_lrg"	0	25	"Cannon_segment_air_explosion_lrg"
"boshin_segment_shell_medium"	"fuse"	"shockwave"	10	0	5	6	"boshin_segment_shell_fragment_medium"	3	"Cannon_segment_air_explosion_lrg"	0	25	"Cannon_segment_air_explosion_lrg"
"boshin_segment_shell_small"	"fuse"	"shockwave"	5	0	5	4	"boshin_segment_shell_fragment_small"	3	"Cannon_segment_air_explosion_lrg"	0	25	"Cannon_segment_air_explosion_lrg"
"boshin_shrapnel_shell"	"fuse"	"shockwave"	5	0	10	16	"shrapnel"	60	"Cannon_common_air_explosion_lrg"	60	0	nil
"cannon_blast"	"percussive"	"shockwave"	1	0	5	1	"grenade_fragment"	5	"explode_flash_grenade"	0	0	nil
"grenade"	"fuse_grenade"	"shockwave"	0	0	5	0	"grenade_fragment"	3	"explode_grenade"	0	1	nil
"grenade_blinding"	"percussive"	"blinding_shockwave"	15	0	20	0.0004999999655410647	"shogun_fire_bomb_fragment"	1	"explode_flash_grenade"	0	1	"explode_flash_grenade"
"grenade_improved"	"fuse_grenade"	"shockwave"	0	0	5	0	"grenade_fragment"	3	"explode_grenade"	0	0	nil
"hand_mortar"	"percussive"	"shockwave"	2	0	5	1	"grenade_fragment"	4	"explode_grenade"	0	1	"explode_frag_sml"
"naval_mine"	"fuse_shrapnel"	"shockwave"	20	0	3	25	"naval_mine_explosion_fragment"	20	"Mine_Explosion"	0	0	nil
"ship_magazine"	"fuse"	"shockwave"	70	0	10	100	"ship_explosion_fragment"	50	"ShipExplosion"	0	0	nil
"ship_magazine_bos_osaka_hist_battle_bridge"	"fuse"	"shockwave"	50	0	10	0	"ship_explosion_fragment_visual"	10	"ShipExplosion"	0	0	nil
"ship_magazine_bos_osaka_hist_battle_tower"	"fuse"	"shockwave"	50	0	10	0	"ship_explosion_fragment_visual"	10	"ShipExplosion"	0	0	nil
"ship_magazine_visual"	"fuse"	"shockwave"	70	0	10	0	"ship_explosion_fragment_visual"	10	"ShipExplosion"	0	0	nil
"shogun_fire_bomb"	"percussive"	"shockwave"	2	0	10	1	"shogun_fire_bomb_fragment"	4	"explode_grenade"	0	1	"explode_frag_sml"
"shogun_fire_bomb_naval"	"percussive"	"shockwave"	3	0	10	6	"shogun_fire_bomb_fragment"	4	"explode_grenade"	0	1	nil
"shogun_fire_stone"	"percussive"	"shockwave"	5	0	10	8	"shrapnel"	20	"explode_frag_lrg"	0	2	"explode_frag_lrg"
"shogun_rocket"	"percussive"	"shockwave"	3	0	20	3	"shell_fragment"	0	"explode_frag_med"	0	2	"explode_frag_med"
