version 1, schema trait_attribute_effects_tables
Trait_Level_IDRef(string)	Agent_Attribute_IDRef(string)	Magnitude(int)
"C_Admiral_Attack_Bad_3"	"command_sea"	-1
"C_Admiral_Attack_Good_5"	"command_sea"	1
"C_Admiral_Bad_1"	"command_sea"	-1
"C_Admiral_Bad_2"	"command_sea"	-2
"C_Admiral_Bad_3"	"command_sea"	-3
"C_Admiral_Bad_4"	"command_sea"	-4
"C_Admiral_Bad_5"	"command_sea"	-5
"C_Admiral_Blockade_Runner_3"	"command_sea"	1
"C_Admiral_Blockader_Good_3"	"command_sea"	1
"C_Admiral_Born_Sailor_1"	"command_sea"	1
"C_Admiral_Born_Sailor_2"	"command_sea"	2
"C_Admiral_Born_Sailor_3"	"command_sea"	3
"C_Admiral_Brave_2"	"command_sea"	1
"C_Admiral_Brave_3"	"command_sea"	1
"C_Admiral_Brave_4"	"command_sea"	1
"C_Admiral_Brave_5"	"command_sea"	-1
"C_Admiral_British_Drakes_Drum_1"	"command_sea"	1
"C_Admiral_British_Drakes_Drum_2"	"command_sea"	2
"C_Admiral_British_Drakes_Drum_3"	"command_sea"	2
"C_Admiral_Coward_4"	"command_sea"	-1
"C_Admiral_Defender_Good_4"	"command_sea"	1
"C_Admiral_Drunkard_3"	"command_sea"	-1
"C_Admiral_Drunkard_4"	"command_sea"	-1
"C_Admiral_Good_1"	"command_sea"	1
"C_Admiral_Good_2"	"command_sea"	2
"C_Admiral_Good_3"	"command_sea"	3
"C_Admiral_Good_4"	"command_sea"	4
"C_Admiral_Good_5"	"command_sea"	5
"C_Admiral_Lampooned_3"	"command_sea"	-1
"C_Admiral_Mad_3"	"command_sea"	-1
"C_Admiral_Martinet_1"	"command_sea"	1
"C_Admiral_Martinet_2"	"command_sea"	1
"C_Admiral_Martinet_3"	"command_sea"	1
"C_Admiral_Press_Hero_3"	"command_sea"	-1
"C_Admiral_Slacker_1"	"command_sea"	-1
"C_Admiral_Slacker_2"	"command_sea"	-1
"C_Admiral_Slacker_3"	"command_sea"	-1
"C_Admiral_Sobriety_3"	"command_sea"	1
"C_Admiral_Spanish_National_Pride_2"	"command_sea"	1
"C_Admiral_Spanish_National_Pride_3"	"command_sea"	1
"C_General_Attacker_Bad_3"	"command_land"	-1
"C_General_Attacker_Good_4"	"command_land"	1
"C_General_Attacker_Good_5"	"command_land"	2
"C_General_Bad_1"	"command_land"	-1
"C_General_Bad_2"	"command_land"	-2
"C_General_Bad_3"	"command_land"	-3
"C_General_Bad_4"	"command_land"	-4
"C_General_Bad_5"	"command_land"	-5
"C_General_Bloody_3"	"command_land"	-1
"C_General_Born_Soldier_1"	"command_land"	1
"C_General_Born_Soldier_2"	"command_land"	2
"C_General_Born_Soldier_3"	"command_land"	3
"C_General_Brave_5"	"command_land"	-1
"C_General_Coward_4"	"command_land"	-1
"C_General_Drunkard_3"	"command_land"	-1
"C_General_Drunkard_4"	"command_land"	-2
"C_General_Good_Field_Commander_1"	"command_land"	1
"C_General_Good_Field_Commander_2"	"command_land"	2
"C_General_Good_Field_Commander_3"	"command_land"	3
"C_General_Good_Field_Commander_4"	"command_land"	4
"C_General_Good_Field_Commander_5"	"command_land"	5
"C_General_Lampooned_3"	"command_land"	-1
"C_General_Mad_3"	"command_land"	-1
"C_General_Martinet_3"	"command_land"	1
"C_General_Press_Hero_3"	"command_land"	-1
"C_General_Russian_Vodka_3"	"command_land"	1
"C_General_Siege_Attack_Good_4"	"command_land"	1
"C_General_Siege_Defend_Good_4"	"command_land"	1
"C_General_Slacker_3"	"command_land"	-1
"C_Gent_Academic_Honours_1"	"research"	1
"C_Gent_Academic_Honours_2"	"research"	2
"C_Gent_Academic_Honours_3"	"research"	3
"C_Gent_Academic_Honours_4"	"research"	4
"C_Gent_Duelling_Pistol_1"	"duelling_pistols"	1
"C_Gent_Duelling_Pistol_2"	"duelling_pistols"	2
"C_Gent_Duelling_Pistol_3"	"duelling_pistols"	3
"C_Gent_Duelling_Sword_1"	"duelling_swords"	1
"C_Gent_Duelling_Sword_2"	"duelling_swords"	2
"C_Gent_Duelling_Sword_3"	"duelling_swords"	3
"C_Gent_Research_Agriculture_4"	"research"	1
"C_Gent_Research_Civil_4"	"research"	1
"C_Gent_Research_Economics_4"	"research"	1
"C_Gent_Research_Industry_4"	"research"	1
"C_Gent_Research_Military_4"	"research"	1
"C_Gent_Research_Navy_4"	"research"	1
"C_Gent_Research_Philosophy_4"	"research"	1
"C_Gent_Science_Club_2"	"research"	1
"C_Gent_Science_Club_3"	"research"	1
"C_Honourable_Service_1"	"management"	1
"C_Honourable_Service_2"	"management"	1
"C_Honourable_Service_3"	"management"	2
"C_Honourable_Service_4"	"management"	2
"C_Honourable_Service_5"	"management"	-1
"C_Leader_Agent_99_2"	"management"	-1
"C_Leader_Dullard_1"	"management"	-1
"C_Leader_Dullard_2"	"management"	-1
"C_Leader_Dullard_3"	"management"	-2
"C_Leader_Favourites_1"	"management"	-1
"C_Leader_Huntin_Shootin_Fishin_1"	"management"	-1
"C_Leader_Huntin_Shootin_Fishin_2"	"management"	-1
"C_Leader_Huntin_Shootin_Fishin_3"	"management"	-2
"C_Leader_Inbred_2"	"management"	-1
"C_Leader_Inbred_3"	"management"	-2
"C_Leader_Insane_3"	"management"	-3
"C_Leader_Merit_1"	"management"	1
"C_Leader_Natural_King_1"	"management"	1
"C_Leader_Natural_King_2"	"management"	-1
"C_Leader_Natural_President_1"	"management"	1
"C_Leader_Natural_President_2"	"management"	1
"C_Leader_Witty_1"	"management"	1
"C_Leader_Witty_2"	"management"	1
"C_Minister_Corrupt_3"	"management"	-1
"C_Minister_Entertainer_1"	"management"	1
"C_Minister_Good_Entertainment_3"	"management"	-1
"C_Minister_Industrialist_3"	"management"	1
"C_Minister_Physiocrat_1"	"management"	1
"C_Minister_Physiocrat_2"	"management"	1
"C_Minister_Upright_3"	"management"	1
"C_Napoleon_Emperor_Of_The_French_1"	"command_land"	1
"C_Napoleon_Emperor_Of_The_French_1"	"management"	1
"C_Napoleon_King_Of_Italy_1"	"command_land"	1
"C_Napoleon_Protector_Of_The_Rhine"	"command_land"	1
"C_Rake_Assassin_Good_1"	"subterfuge"	1
"C_Rake_Assassin_Good_2"	"subterfuge"	2
"C_Rake_Assassin_Good_3"	"subterfuge"	3
"C_Rake_Assassin_Good_4"	"subterfuge"	4
"C_Rake_Assassin_Good_5"	"subterfuge"	5
"C_Rake_Born_Bounder_1"	"duelling_swords"	1
"C_Rake_Born_Bounder_2"	"duelling_swords"	2
"C_Rake_Born_Bounder_3"	"duelling_pistols"	1
"C_Rake_Born_Bounder_3"	"duelling_swords"	3
"C_Rake_Counter_Spy_1"	"subterfuge"	1
"C_Rake_Counter_Spy_2"	"subterfuge"	2
"C_Rake_Counter_Spy_3"	"subterfuge"	3
"C_Rake_Im_A_Laydee_1"	"subterfuge"	1
"C_Rake_Im_A_Laydee_2"	"subterfuge"	2
"C_Rake_Naughty_Club_1"	"research"	-1
"C_Rake_Naughty_Club_2"	"research"	-2
"C_Rake_Naughty_Club_3"	"research"	-2
"C_Rake_Sabot_Good_1"	"subterfuge"	1
"C_Rake_Sabot_Good_2"	"subterfuge"	2
"C_Rake_Sabot_Good_3"	"subterfuge"	3
"C_Rake_Sabot_Good_4"	"subterfuge"	4
"C_Rake_Sabot_Good_5"	"subterfuge"	5
