version 1, schema gun_types_tables
Gun_ID(string)	Battle_x0020_Entity(string)	GunID(string)	Animation_table(string)	unknown3(string)	Model_Gun_x0020_Destroyed(string)	Animation_Gun_x0020_Destruction(string)	Animation_Gun(string)
"cannon_12_pounder"	"artillery_medium"	"Field_Cannon_12lb"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_12lb"	"Field_Cannon_12lb_destruction"	"Land_Cannon"
"cannon_12_pounder_Austria"	"artillery_medium"	"Field_Cannon_12lb_Austria"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Austria_12lb"	"Field_Cannon_12lb_Austria_destruction"	"Land_Cannon"
"cannon_12_pounder_France"	"artillery_medium"	"Field_Cannon_12lb_France"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_France_12lb"	"Field_Cannon_12lb_France_destruction"	"Land_Cannon"
"cannon_12_pounder_Prussia"	"artillery_medium"	"Field_Cannon_12lb_Prussia"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Prussia_12lb"	"Field_Cannon_12lb_Prussia_destruction"	"Land_Cannon"
"cannon_12_pounder_Russia"	"artillery_medium"	"Field_Cannon_12lb_Russia"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Russia_12lb"	"Field_Cannon_12lb_Russia_destruction"	"Land_Cannon"
"cannon_18_pounder"	"artillery_medium"	"field_cannon_18lb"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_18lb"	"field_cannon_18lb_destruction"	"Land_Cannon"
"cannon_6_pounder"	"artillery_light"	"Field_Cannon_6lb"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_6lb"	"Field_Cannon_6lb_destruction"	"Land_Cannon"
"cannon_6_pounder_Austria"	"artillery_light"	"Field_Cannon_6lb_Austria"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Austria_6lb"	"Field_Cannon_6lb_Austria_destruction"	"Land_Cannon"
"cannon_6_pounder_Britain"	"artillery_light"	"Field_Cannon_6lb_Britain"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Britain_6lb"	"Field_Cannon_6lb_Britain_destruction"	"Land_Cannon"
"cannon_6_pounder_France"	"artillery_light"	"Field_Cannon_6lb_France"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_France_6lb"	"Field_Cannon_6lb_France_destruction"	"Land_Cannon"
"cannon_6_pounder_Prussia"	"artillery_light"	"Field_Cannon_6lb_Prussia"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Prussia_6lb"	"Field_Cannon_6lb_Prussia_destruction"	"Land_Cannon"
"cannon_6_pounder_Russia"	"artillery_light"	"Field_Cannon_6lb_Russia"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Russia_6lb"	"Field_Cannon_6lb_Russia_destruction"	"Land_Cannon"
"cannon_8_pounder"	"artillery_medium"	"Field_Cannon_8lb"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_8lb"	"Field_Cannon_8lb_Destruction"	"Land_Cannon"
"cannon_8_pounder_France"	"artillery_medium"	"Field_Cannon_8lb_France"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_France_8lb"	"Field_Cannon_8lb_France_Destruction"	"Land_Cannon"
"cannon_9_pounder"	"artillery_medium"	"Field_Cannon_9lb"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_9lb"	"Field_Cannon_9lb_destruction"	"Land_Cannon"
"cannon_9_pounder_Britain"	"artillery_medium"	"Field_Cannon_9lb_Britain"	"engine_cannon"	"generic_gun"	"field_cannon_destroyed_model_Britain_9lb"	"Field_Cannon_9lb_Britain_destruction"	"Land_Cannon"
"fort_12_pounder"	"artillery_fixed"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Building_Cannon"
"fort_18_pounder"	"artillery_fixed"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Building_Cannon"
"fort_24_pounder"	"artillery_fixed"	"Naval_Cannon_24lb"	"engine_naval_cannon"	"generic_gun"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Building_Cannon"
