version 3, schema campaign_ground_types_tables, guid 26e46bce-f360-4e5d-9589-7dbd1834e13b
Ground_ID(string)	unknown1(float)	unknown2(boolean)	unknown4(boolean)	unknown5(boolean)	unknown6(boolean)
"Marsh_cold_att"	0.4	false	false	true	false
"Plains_cold_att"	0.65	false	false	true	false
"Swamp_cold_att"	0.2	false	false	true	false
"Tundra_cold_att"	0.55	false	false	true	false
"dense_forest"	0	false	false	false	false
"desert"	0.55	false	true	false	false
"grassland"	0.65	false	false	false	false
"grassland_cold_att"	0.65	false	false	true	false
"hills"	0.5	false	false	false	false
"hills_cold_att"	0.5	false	false	true	false
"hilly_light_forest"	0.4	true	false	true	false
"hilly_light_forest_cold_att"	0.4	true	false	true	false
"jungle"	0	false	false	false	false
"light_forest"	0.5	true	false	true	false
"light_forest_cold_att"	0.5	true	false	true	false
"marsh"	0.4	false	false	false	false
"plains"	0.65	false	false	true	false
"sea_coast"	1	false	false	false	false
"sea_ocean"	0.4	false	false	false	true
"swamp"	0.2	false	false	false	false
"tundra"	0.55	false	false	false	false
