version 1, schema battle_bridge_subculture_jcts_tables
Subculture(string)	Basic_bridge(string)	Refined_bridge(string)
"sc_european_america"	"american_bridge_basic"	"american_bridge_basic"
"sc_european_east"	"east_euro_stone_bridge"	"east_euro_stone_bridge"
"sc_european_north"	"north_euro_stone_bridge"	"north_euro_stone_bridge"
"sc_european_south"	"south_euro_stone_bridge"	"south_euro_stone_bridge"
"sc_european_west"	"west_euro_stone_bridge"	"west_euro_stone_bridge"
"sc_indian_hindu"	"indian_stone_bridge"	"indian_stone_bridge"
"sc_indian_islamic"	"indian_stone_bridge"	"indian_stone_bridge"
"sc_indian_sikh"	"indian_stone_bridge"	"indian_stone_bridge"
"sc_mideast_islamic"	"ottoman_stone_bridge"	"ottoman_stone_bridge"
"sc_tribal_american"	"american_bridge_basic"	"american_bridge_refined"
"sc_tribal_playable"	"american_bridge_basic"	"american_bridge_refined"
"sc_tribal_steppe"	"american_bridge_basic"	"american_bridge_refined"
