version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"egy_adam_duncan"	true	"m"	"admiral"	"britain"	1751	1804	"British Admiral"
"egy_aristide_thouars"	false	"m"	"admiral"	"egy_french_republic"	1780	1798	"n"
"egy_auguste_marmont"	false	"m"	"General"	"egy_french_republic"	1794	1852	"n"
"egy_brent_spencer"	false	"m"	"General"	"britain"	1780	1828	"n"
"egy_charles_lasalle"	false	"m"	"General"	"egy_french_republic"	1762	1819	"n"
"egy_eugene_beauharnais"	false	"m"	"General"	"egy_french_republic"	1795	1809	"n"
"egy_eugenios_voulgaris"	false	"m"	"gentleman"	"egy_ottomans"	1736	1800	"n"
"egy_francois_aigalliers"	true	"m"	"admiral"	"france"	1773	1798	"sea2"
"egy_gaspard_monge"	false	"m"	"gentleman"	"france"	1766	1818	""
"egy_geraud_duroc"	false	"m"	"General"	"egy_french_republic"	1792	1813	"n"
"egy_jean_bessieres"	false	"m"	"General"	"egy_french_republic"	1788	1813	"n"
"egy_jean_denon"	false	"m"	"gentleman"	"egy_french_republic"	1767	1825	"m"
"egy_jean_lannes"	false	"m"	"General"	"egy_french_republic"	1789	1809	"n"
"egy_jean_rapp"	false	"m"	"General"	"egy_french_republic"	1791	1821	"m"
"egy_jean_reyier"	false	"m"	"General"	"egy_french_republic"	1791	1814	"n"
"egy_joachim_murat"	false	"m"	"General"	"egy_french_republic"	1787	1817	"n"
"egy_kor_pasha"	false	"m"	"minister"	"egy_ottomans"	1756	1818	"n"
"egy_louis_almeras"	false	"m"	"General"	"egy_french_republic"	1788	1828	"n"
"egy_louis_davout"	false	"m"	"General"	"egy_french_republic"	1790	1823	"n"
"egy_louis_hilliers"	false	"m"	"General"	"egy_french_republic"	1784	1813	"n"
"egy_mehmet_ali"	false	"m"	"General"	"egy_ottomans"	1789	1849	"n"
"egy_pierre_choderlos"	false	"m"	"gentleman"	"france"	1761	1803	"liaisons dangereuses"
"egy_ralph_abercromby"	false	"m"	"General"	"egy_britain"	1754	1801	"m"
"egy_thomas_foley"	true	"m"	"admiral"	"britain"	1777	1833	"Need eur equivalent"
"eur_abraham_gottlob_werner"	false	"m"	"gentleman"	"prussia"	1769	1817	"geologist"
"eur_adam_balla"	false	"m"	"General"	"russia"	1784	1812	"n"
"eur_adam_bistrom"	false	"m"	"General"	"russia"	1794	1828	"n"
"eur_adolphus_frederick"	false	"m"	"General"	"britain"	1794	1850	"n"
