version 1, schema units_to_exclusive_faction_permissions_tables
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"6th_rate"	"afghanistan"	false
"6th_rate"	"india_settler_rebels"	false
"6th_rate"	"khanate_khiva"	false
"6th_rate"	"maratha_rebels"	false
"6th_rate"	"maratha"	false
"6th_rate"	"mughal_rebels"	false
"6th_rate"	"mughal"	false
"6th_rate"	"mysore"	false
"6th_rate"	"persian_rebels"	false
"6th_rate"	"punjab"	false
"6th_rate"	"safavids"	false
"6th_rate"	"sikh_rebels"	false
"brig"	"afghanistan"	false
"brig"	"india_settler_rebels"	false
"brig"	"khanate_khiva"	false
"brig"	"maratha_rebels"	false
"brig"	"maratha"	false
"brig"	"mughal_rebels"	false
"brig"	"mughal"	false
"brig"	"mysore"	false
"brig"	"persian_rebels"	false
"brig"	"punjab"	false
"brig"	"safavids"	false
"brig"	"sikh_rebels"	false
"grab"	"pirates"	true
"light_gallivat"	"pirates"	true
"medium_gallivat"	"pirates"	true
"sloop"	"afghanistan"	false
"sloop"	"india_settler_rebels"	false
"sloop"	"khanate_khiva"	false
"sloop"	"maratha_rebels"	false
"sloop"	"maratha"	false
"sloop"	"mughal_rebels"	false
"sloop"	"mughal"	false
"sloop"	"mysore"	false
"sloop"	"persian_rebels"	false
"sloop"	"punjab"	false
"sloop"	"safavids"	false
"sloop"	"sikh_rebels"	false
