version 2, schema avatar_ancillaries_descriptions_tables, guid de0ef68a-d3bb-447f-bf6e-6ca1039f1e03
unknown1(string)	unknown2(int)
"mp_anc_bad_omen"	1
"mp_anc_bandit_horse_thieves"	1
"mp_anc_blade_master"	1
"mp_anc_blessed_kote_armoured_sleeves"	1
"mp_anc_blind_bow_sensei"	1
"mp_anc_camp_sickness"	1
"mp_anc_cavalry_officer"	1
"mp_anc_cold_snap"	1
"mp_anc_damp_powder"	1
"mp_anc_drill_square"	1
"mp_anc_european_gunsmith"	1
"mp_anc_european_horse_trader"	1
"mp_anc_expert_gun_instructor"	1
"mp_anc_famous_armoury"	1
"mp_anc_forage_parties"	1
"mp_anc_garden_of_convalescence"	1
"mp_anc_geisha_poisoner"	1
"mp_anc_genpei_benkei"	1
"mp_anc_genpei_enryakuji_fugitive"	1
"mp_anc_genpei_enryakuji_fugitive"	2
"mp_anc_genpei_honourable_attendant"	1
"mp_anc_genpei_ichirai_hoshi"	1
"mp_anc_genpei_ichirai_hoshi"	2
"mp_anc_genpei_junsatsushi_inspector"	1
"mp_anc_genpei_junsatsushi_inspector"	2
"mp_anc_genpei_monomi_spy"	1
"mp_anc_genpei_monomi_spy"	2
"mp_anc_genpei_monomi_spy"	3
"mp_anc_genpei_monomi_spy"	4
"mp_anc_genpei_nasu_no_yoichi"	1
"mp_anc_genpei_nasu_no_yoichi"	2
"mp_anc_genpei_nasu_no_yoichi"	3
"mp_anc_genpei_nasu_no_yoichi"	4
"mp_anc_genpei_shirabyoshi_dancer"	1
"mp_anc_genpei_shirabyoshi_dancer"	2
"mp_anc_genpei_sou_monk"	1
"mp_anc_genpei_sou_monk"	2
"mp_anc_genpei_tajima_arrow_cutter"	1
"mp_anc_gokamon_bodyguard"	1
"mp_anc_gosha_odosama_samurai_priest"	1
"mp_anc_hero_worshipping_boy"	1
"mp_anc_huntsmen"	1
"mp_anc_indefatigable"	1
"mp_anc_infantry_officer"	1
"mp_anc_inspiring_orator"	1
"mp_anc_kacchu_mochi_armour_bearer"	1
"mp_anc_katana_of_the_pure_land"	1
"mp_anc_lightweiught_gunjingura_war_saddle"	1
"mp_anc_livestock_pestilence"	1
"mp_anc_lotus_sect_adherent"	1
"mp_anc_loyal_fudai_shu_retainers"	1
"mp_anc_mark_of_fantacism"	1
"mp_anc_metsuke_inspector"	1
"mp_anc_military_storehouse"	1
"mp_anc_mochiyari_gumi_spear_bearer"	1
"mp_anc_mouldy_feed_stocks"	1
"mp_anc_mounted_scout"	1
"mp_anc_ninja_jonin"	1
"mp_anc_open_basketwork_quivers"	1
"mp_anc_ox_carts"	1
"mp_anc_portable_shrine"	1
"mp_anc_practice_grounds"	1
"mp_anc_productive_rice_paddy"	1
"mp_anc_rennyos_teachings"	1
"mp_anc_rennyos_teachings"	2
"mp_anc_rennyos_teachings"	3
"mp_anc_rennyos_teachings"	4
"mp_anc_sage_advisor"	1
"mp_anc_sake_peddler"	1
"mp_anc_scroll_of_inspirational_verse"	1
"mp_anc_shinobi_informer"	1
"mp_anc_shoguns_emissary"	1
"mp_anc_short_sighted_inspector"	1
"mp_anc_skilled_weaponsmith"	1
"mp_anc_spoiled_rations"	1
"mp_anc_steppe_horse_stud"	1
"mp_anc_sticky_fingered_storemaster"	1
"mp_anc_straw_practice_dummy"	1
"mp_anc_stricken_unholy_forge"	1
"mp_anc_supply_wagon"	1
"mp_anc_surgeon"	1
"mp_anc_target_range"	1
"mp_anc_tetsu_bishi_caltrops"	1
"mp_anc_trading_post"	1
"mp_anc_uma_i_horse_doctor"	1
"mp_anc_uma_jirushi_nobori_standard_bearer"	1
"mp_anc_unbalanced_spears"	1
"mp_anc_untrained_fugu_cook"	1
"mp_anc_water_carrier"	1
"mp_anc_wavering_faith"	1
"mp_anc_way_of_the_ikko_ikki"	1
"mp_anc_way_of_the_ikko_ikki"	2
"mp_anc_way_of_the_ikko_ikki"	3
"mp_anc_wizened_monk"	1
"mp_anc_wooden_practice_spears"	1
"mp_anc_world_weary"	1
"mp_anc_world_weary"	2
"mp_anc_world_weary"	3
"mp_anc_yabusami_master"	1
"mp_anc_yagyu_sword_instructor"	1
"mp_anc_yamabushi_guide"	1
"mp_anc_yamabushi_guide"	2
"mp_anc_yari_master"	1
"mp_anc_yumi_officer"	1
"mp_anc_zen_like_silence"	1
"mp_anc_zori_tori_sandal_bearer"	1
"mp_bosh_anc_artillery_officers_handbook"	1
"mp_bosh_anc_bandit_horse_thieves"	1
"mp_bosh_anc_blade_master"	1
"mp_bosh_anc_blind_bow_sensei"	1
"mp_bosh_anc_british_naval_engineer"	1
"mp_bosh_anc_cold_snap"	1
"mp_bosh_anc_crack_frigate_crew"	1
"mp_bosh_anc_crack_frigate_crew"	2
"mp_bosh_anc_dreyse_needle_gun"	1
"mp_bosh_anc_eager_lieutenant"	1
"mp_bosh_anc_elite_ironclad_crew"	1
"mp_bosh_anc_elite_ironclad_crew"	2
"mp_bosh_anc_enfield_musketoon"	1
"mp_bosh_anc_european_horse_trader"	1
"mp_bosh_anc_experienced_gunboat_crew"	1
"mp_bosh_anc_experienced_gunboat_crew"	2
"mp_bosh_anc_famous_armoury"	1
"mp_bosh_anc_fighting_captain"	1
"mp_bosh_anc_flogging_officer"	1
"mp_bosh_anc_forage_parties"	1
"mp_bosh_anc_foul_bottom"	1
"mp_bosh_anc_french_naval_engineer"	1
"mp_bosh_anc_garden_of_convalescence"	1
"mp_bosh_anc_green_corvette_crew"	1
"mp_bosh_anc_green_corvette_crew"	2
"mp_bosh_anc_groom"	1
"mp_bosh_anc_gun_crew_drill"	1
"mp_bosh_anc_hero_worshipping_boy"	1
"mp_bosh_anc_improved_breech_mechanism"	1
"mp_bosh_anc_improved_gun_sights"	1
"mp_bosh_anc_incorrect_calibration"	1
"mp_bosh_anc_inexperienced_gunboat_crew"	1
"mp_bosh_anc_inexperienced_gunboat_crew"	2
"mp_bosh_anc_kacchu_mochi_armour_bearer"	1
"mp_bosh_anc_light_infantry_officer"	1
"mp_bosh_anc_livestock_pestilence"	1
"mp_bosh_anc_military_storehouse"	1
"mp_bosh_anc_minie_muzzle_loading_rifle"	1
"mp_bosh_anc_mochiyari_gumi_spear_bearer"	1
"mp_bosh_anc_modern_supply_corps"	1
"mp_bosh_anc_monomi_spy"	1
"mp_bosh_anc_monomi_spy"	2
"mp_bosh_anc_monomi_spy"	3
"mp_bosh_anc_monomi_spy"	4
"mp_bosh_anc_mouldy_feedstocks"	1
"mp_bosh_anc_mounted_scout"	1
"mp_bosh_anc_muzzle_loading_carbine"	1
"mp_bosh_anc_muzzle_loading_muskets"	1
"mp_bosh_anc_myopic_captain"	1
"mp_bosh_anc_open_basketwork_quivers"	1
