version 1, schema campaign_character_anims_junctions_tables, guid cceac9a2-0e97-4527-9d64-f6930b217fcc
unknown1(string)	Character(string)	unknown2(string)	Anim_filepath(string)	unknown3(string)	unknown4(optstring)	unknown5(optstring)	unknown6(float)
"2135698343"	"default_ship"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\SHIP\\Ship_Idle_Sail_Down.anim"	"idle"	nil	nil	1
"2135698347"	"default_ship"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\SHIP\\Ship_Idle_Sail_Down.anim"	"idle"	nil	nil	1
"2135698353"	"default_ship"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\SHIP\\Ship_Idle_Sail_Down.anim"	"idle"	nil	nil	1
"2135700453"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_IDLE_1.anim"	"idle"	nil	nil	1
"2135700457"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_IDLE_2.anim"	"idle"	nil	nil	1
"2135700467"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_IDLE_3.anim"	"idle"	nil	nil	1
"2135700472"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_IDLE_4.anim"	"idle"	nil	nil	1
"2135700479"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_IDLE_5.anim"	"idle"	nil	nil	1
"2135700487"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\OUT_OF_AP\\SHO_GEN_OUT_OF_AP_IDLE_1.anim"	"idle"	nil	nil	1
"2135700488"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\OUT_OF_AP\\SHO_GEN_OUT_OF_AP_IDLE_2.anim"	"idle"	nil	nil	1
"2135700489"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\OUT_OF_AP\\SHO_GEN_OUT_OF_AP_IDLE_3.anim"	"idle"	nil	nil	1
"2135700492"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\OUT_OF_AP\\SHO_GEN_OUT_OF_AP_IDLE_4.anim"	"idle"	nil	nil	1
"2135700502"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_1.anim"	"idle"	nil	nil	1
"2135700511"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_2.anim"	"idle"	nil	nil	1
"2135700521"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_3.anim"	"idle"	nil	nil	1
"2135700523"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_1.anim"	"idle"	nil	nil	1
"2135700524"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_2.anim"	"idle"	nil	nil	1
"2135700530"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\BESIEGE\\SHO_GEN_BESIEGE_SETTLEMENT_3.anim"	"idle"	nil	nil	1
"2135700532"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STEALTH\\SHO_GEN_STEALTH_IDLE_1.anim"	"idle"	nil	nil	1
"2135700536"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STEALTH\\SHO_GEN_STEALTH_IDLE_2.anim"	"idle"	nil	nil	1
"2135700546"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STEALTH\\SHO_GEN_STEALTH_IDLE_3.anim"	"idle"	nil	nil	1
"2135700548"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STEALTH\\SHO_GEN_STEALTH_IDLE_4.anim"	"idle"	nil	nil	1
"2135700556"	"general"	"battle_attacker"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STATUS\\SHO_GEN_ATTACKER_BATTLE_IDLE.anim"	"idle"	nil	nil	1
"2135700562"	"general"	"battle_defender"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STATUS\\SHO_GEN_DEFENDER_BATTLE_IDLE.anim"	"idle"	nil	nil	1
"2135700565"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STAND\\SHO_GEN_STAND_SELECTED.anim"	"to_selected"	nil	nil	1
"2135700569"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\OUT_OF_AP\\SHO_GEN_OUT_OF_AP_SELECTED.anim"	"to_selected"	nil	nil	1
"2135700570"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\IDLE\\STEALTH\\SHO_GEN_STEALTH_SELECTED.anim"	"to_selected"	nil	nil	1
"2135700577"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STAND_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
"2135700579"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STAND_TO_STEALTH.anim"	"status_transition"	nil	"stealthy"	1
"2135700589"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STAND_TO_BESIEGE.anim"	"status_transition"	nil	"siege"	1
"2135700595"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STAND_TO_BESIEGE.anim"	"status_transition"	nil	"attack_trade"	1
"2135700603"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_OUT_OF_AP_TO_STAND.anim"	"status_transition"	nil	"normal"	1
"2135700609"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_OUT_OF_AP_TO_STEALTH.anim"	"status_transition"	nil	"stealthy"	1
"2135700615"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_OUT_OF_AP_TO_BESIEGE.anim"	"status_transition"	nil	"siege"	1
"2135700622"	"general"	"normal_out_of_ap"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_OUT_OF_AP_TO_BESIEGE.anim"	"status_transition"	nil	"attack_trade"	1
"2135700629"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STEALTH_TO_STAND.anim"	"status_transition"	nil	"normal"	1
"2135700636"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STEALTH_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
"2135700638"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STEALTH_TO_BESIEGE.anim"	"status_transition"	nil	"siege"	1
"2135700642"	"general"	"stealthy"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_STEALTH_TO_BESIEGE.anim"	"status_transition"	nil	"attack_trade"	1
"2135700651"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_STAND.anim"	"status_transition"	nil	"normal"	1
"2135700657"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
"2135700659"	"general"	"siege"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_STEALTH.anim"	"status_transition"	nil	"stealthy"	1
"2135700669"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_STAND.anim"	"status_transition"	nil	"normal"	1
"2135700673"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_OUT_OF_AP.anim"	"status_transition"	nil	"normal_out_of_ap"	1
"2135700683"	"general"	"attack_trade"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\TRANSITION\\SHO_GEN_BESIEGE_TO_STEALTH.anim"	"status_transition"	nil	"stealthy"	1
"2135700686"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\SHO_GEN_GENERIC_DEATH.anim"	"action"	"generic_death"	nil	1
"2135700688"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\ASSASSINATION\\SHO_GEN_DIED_FROM_ASSASSINATION.anim"	"action"	"died_from_assassination"	nil	1
"2135700693"	"general"	"normal"	"Animations\\SHOGUN_ANIMATION\\CAMPAIGN\\MEN\\GENERAL\\ACTION\\BATTLE\\SHO_GEN_ATTACK_BATTLE.anim"	"action"	"battle_attack"	nil	1
