version 1, schema agent_to_agent_attributes_tables, guid 218b41b7-d353-411a-820d-a85ef615e6e5
Attribute_IDRef(string)	Agent_IDRef(string)	default_value(int)	visible(boolean)
"command_land"	"General"	1	true
"command_land"	"bandit"	1	true
"command_land"	"colonel"	0	false
"command_land"	"pirate"	0	false
"command_sea"	"admiral"	2	true
"command_sea"	"captain"	0	false
"command_sea"	"pirate"	1	true
"cunning"	"gempei_inspector"	1	true
"cunning"	"metsuke"	1	true
"duelling_pistols"	"gentleman"	2	true
"duelling_pistols"	"rake"	0	false
"duelling_swords"	"gentleman"	2	true
"duelling_swords"	"rake"	0	false
"management"	"minister"	2	true
"morale_land"	"General"	1	false
"movement_points_land"	"General"	1	false
"research"	"Eastern_Scholar"	2	true
"research"	"gentleman"	2	true
"subterfuge"	"assassin"	2	true
"subterfuge"	"bandit"	0	false
"subterfuge"	"geisha"	3	true
"subterfuge"	"gempei_dancer"	1	true
"subterfuge"	"gempei_spy"	1	true
"subterfuge"	"ninja"	1	true
"subterfuge"	"pirate"	1	false
"subterfuge"	"rake"	2	true
"zeal"	"Protestant_Missionary"	1	true
"zeal"	"catholic_missionary"	1	true
"zeal"	"gempei_monk"	1	true
"zeal"	"ikko_monk"	2	true
"zeal"	"indian_missionary"	1	true
"zeal"	"middle_east_missionary"	1	true
"zeal"	"missionary"	1	true
"zeal"	"monk"	1	true
"zeal"	"orthodox_missionary"	1	true
