version 1, schema effect_bonus_value_commodity_junction_tables, guid 48b3bdce-decc-4e11-8c17-85d2d9559f5f
effect_id(string)	affect_this_bonus(string)	Resource_category(string)
"commodity_prod_bos_coal"	"production"	"res_bos_coal"
"commodity_prod_bos_copper"	"production"	"res_bos_copper"
"commodity_prod_bos_cotton"	"production"	"res_bos_cotton"
"commodity_prod_bos_iron"	"production"	"res_bos_iron"
"commodity_prod_bos_machines"	"production"	"res_bos_machines"
"commodity_prod_bos_silk"	"production"	"res_bos_silk"
"commodity_prod_bos_tea"	"production"	"res_bos_tea"
"commodity_prod_sho_cotton"	"production"	"res_sho_cotton"
"commodity_prod_sho_crafts"	"production"	"res_sho_crafts"
"commodity_prod_sho_horses"	"production"	"res_sho_horses"
"commodity_prod_sho_iron"	"production"	"res_sho_iron"
"commodity_prod_sho_silk"	"production"	"res_sho_silk"
"commodity_prod_sho_spice"	"production"	"res_sho_medicine"
"commodity_prod_sho_stone"	"production"	"res_sho_stone"
"commodity_prod_sho_wood"	"production"	"res_sho_wood"
