version 1, schema campaign_map_slots_tables
Campaign_Map_Slot_ID(string)	Region(string)	Slot(string)	Unknown1(blob:5)
"caribbean:bahamas:andros"	"bahamas"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:cuba:central"	"cuba"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:curacao:aruba"	"curacao"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:florida:south"	"florida"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:guatemala:honduras"	"guatemala"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:hispaniola:central"	"hispaniola"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:hispaniola:east"	"hispaniola"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:jamaica:west"	"jamaica"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:leeward_islands:dominica"	"leeward_islands"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:lower_louisiana:coast"	"lower_louisiana"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:new_andalusia:barinas"	"new_andalusia"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:new_spain:veracruz"	"new_spain"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:panama:costa_rica"	"panama"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:panama:south-central"	"panama"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:trinidad_tobago:south"	"trinidad_tobago"	"caribbean"	"\x00\x00\x00\x00\x00"
"caribbean:windward_islands:st_vincent"	"windward_islands"	"caribbean"	"\x00\x00\x00\x00\x00"
"corn:acadia:nova_scotia"	"acadia"	"corn"	"\x00\x00\x00\x00\x00"
"corn:algonquin_territory:lake"	"algonquin_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:carolinas:coast"	"carolinas"	"corn"	"\x00\x00\x00\x00\x00"
"corn:carolinas:east"	"carolinas"	"corn"	"\x00\x00\x00\x00\x00"
"corn:cherokee_territory:natives_only"	"cherokee_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:cherokee_territory:north"	"cherokee_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:cuba:west"	"cuba"	"corn"	"\x00\x00\x00\x00\x00"
"corn:florida:north"	"florida"	"corn"	"\x00\x00\x00\x00\x00"
"corn:great_plains:central"	"great_plains"	"corn"	"\x00\x00\x00\x00\x00"
"corn:guatemala:west"	"guatemala"	"corn"	"\x00\x00\x00\x00\x00"
"corn:hispaniola:west"	"hispaniola"	"corn"	"\x00\x00\x00\x00\x00"
"corn:iroquois_territory:lake"	"iroquois_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:kaintuck_territory:north"	"kaintuck_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:lower_louisiana:river"	"lower_louisiana"	"corn"	"\x00\x00\x00\x00\x00"
"corn:michigan_territory:north"	"michigan_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:michigan_territory:south"	"michigan_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_algonquin_territory:lake"	"natives_algonquin_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_apache_territory:mesa"	"natives_apache_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_black_hills:central"	"natives_black_hills"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_cheyenne_territory:one"	"natives_cheyenne_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_chickasaw_territory:north"	"natives_chickasaw_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_chihuahua:rio_grande"	"natives_chihuahua"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_michigan_territory:north"	"natives_michigan_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_michigan_territory:south"	"natives_michigan_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_ohio_territory:central"	"natives_ohio_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_ruperts_land:south"	"natives_ruperts_land"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_sioux_territory:main"	"natives_sioux_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_u_louisiana:south"	"natives_u_louisiana"	"corn"	"\x00\x00\x00\x00\x00"
"corn:natives_wichita_territory:main"	"natives_wichita_territory"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_andalusia:coast"	"new_andalusia"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_england:cape_cod"	"new_england"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_france:south_river"	"new_france"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_grenada:tunja"	"new_grenada"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_spain:monterey"	"new_spain"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_spain:south_central"	"new_spain"	"corn"	"\x00\x00\x00\x00\x00"
"corn:new_york:long_island"	"new_york"	"corn"	"\x00\x00\x00\x00\x00"
"corn:ontario:south"	"ontario"	"corn"	"\x00\x00\x00\x00\x00"
"corn:ruperts_land:south"	"ruperts_land"	"corn"	"\x00\x00\x00\x00\x00"
"corn:tejas:south"	"tejas"	"corn"	"\x00\x00\x00\x00\x00"
"corn:upper_louisiana:south"	"upper_louisiana"	"corn"	"\x00\x00\x00\x00\x00"
"corn:virginia:north"	"virginia"	"corn"	"\x00\x00\x00\x00\x00"
"cuba:cuba:central"	"cuba"	"cuba"	"\x00\x00\x00\x00\x00"
"cuba:cuba:havana"	"cuba"	"cuba"	"\x00\x00\x00\x00\x00"
"cuba:hispaniola:haiti"	"hispaniola"	"cuba"	"\x00\x00\x00\x00\x00"
"egypt:egypt:luxor"	"egypt"	"egypt"	"\x00\x00\x00\x00\x00"
"egypt:mesopotamia:kirkuk"	"mesopotamia"	"egypt"	"\x00\x00\x00\x00\x00"
"egypt:syria:north"	"syria"	"egypt"	"\x00\x00\x00\x00\x00"
"fur:algonquin_territory:almostisland"	"algonquin_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:arkhangelsk:central"	"arkhangelsk"	"fur"	"\x00\x00\x00\x00\x00"
"fur:arkhangelsk:far_north"	"arkhangelsk"	"fur"	"\x00\x00\x00\x00\x00"
"fur:bashkira:urals"	"bashkira"	"fur"	"\x00\x00\x00\x00\x00"
"fur:finland:east"	"finland"	"fur"	"\x00\x00\x00\x00\x00"
"fur:georgia:dusheti"	"georgia"	"fur"	"\x00\x00\x00\x00\x00"
"fur:great_plains:lake_manitoba"	"great_plains"	"fur"	"\x00\x00\x00\x00\x00"
"fur:huron_territory:north"	"huron_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:iroquois_territory:st_lawrence"	"iroquois_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:karelia:south"	"karelia"	"fur"	"\x00\x00\x00\x00\x00"
"fur:labrador:coastcentral"	"labrador"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_algonquin_territory:almostisland"	"natives_algonquin_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_black_hills:lake_manitoba"	"natives_black_hills"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_huron_territory:north"	"natives_huron_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_labrador:coastcentral"	"natives_labrador"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_nw_territory:east"	"natives_nw_territory"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_ruperts_land:albany_river"	"natives_ruperts_land"	"fur"	"\x00\x00\x00\x00\x00"
"fur:natives_ruperts_land:east"	"natives_ruperts_land"	"fur"	"\x00\x00\x00\x00\x00"
"fur:new_england:south"	"new_england"	"fur"	"\x00\x00\x00\x00\x00"
"fur:new_france:central"	"new_france"	"fur"	"\x00\x00\x00\x00\x00"
"fur:new_york:north"	"new_york"	"fur"	"\x00\x00\x00\x00\x00"
"fur:newfoundland:central"	"newfoundland"	"fur"	"\x00\x00\x00\x00\x00"
"fur:northwest_territories:east"	"northwest_territories"	"fur"	"\x00\x00\x00\x00\x00"
"fur:ontario:ottawa_r"	"ontario"	"fur"	"\x00\x00\x00\x00\x00"
"fur:ruperts_land:albany_river"	"ruperts_land"	"fur"	"\x00\x00\x00\x00\x00"
"fur:ruperts_land:east"	"ruperts_land"	"fur"	"\x00\x00\x00\x00\x00"
"fur:sweden:east"	"sweden"	"fur"	"\x00\x00\x00\x00\x00"
"fur:tatariya:kazan"	"tatariya"	"fur"	"\x00\x00\x00\x00\x00"
"gems:carnatica:south"	"carnatica"	"gems"	"\x00\x00\x00\x00\x00"
"gems:ceylon:central"	"ceylon"	"gems"	"\x00\x00\x00\x00\x00"
"gems:dutch_guyana:west"	"dutch_guyana"	"gems"	"\x00\x00\x00\x00\x00"
"gems:mysore:east"	"mysore"	"gems"	"\x00\x00\x00\x00\x00"
"gems:new_andalusia:el_dorado"	"new_andalusia"	"gems"	"\x00\x00\x00\x00\x00"
"gold:austria:rauris"	"austria"	"gold"	"\x00\x00\x00\x00\x00"
"gold:dutch_guyana:central"	"dutch_guyana"	"gold"	"\x00\x00\x00\x00\x00"
"gold:french_guyana:south"	"french_guyana"	"gold"	"\x00\x00\x00\x00\x00"
"gold:huron_territory:west"	"huron_territory"	"gold"	"\x00\x00\x00\x00\x00"
"gold:mysore:bangalore"	"mysore"	"gold"	"\x00\x00\x00\x00\x00"
"gold:natives_cheyenne_territory:rockies"	"natives_cheyenne_territory"	"gold"	"\x00\x00\x00\x00\x00"
"gold:natives_huron_territory:west"	"natives_huron_territory"	"gold"	"\x00\x00\x00\x00\x00"
"gold:new_grenada:medellin"	"new_grenada"	"gold"	"\x00\x00\x00\x00\x00"
"gold:new_grenada:south"	"new_grenada"	"gold"	"\x00\x00\x00\x00\x00"
"gold:new_spain:west"	"new_spain"	"gold"	"\x00\x00\x00\x00\x00"
"gold:punjab:central"	"punjab"	"gold"	"\x00\x00\x00\x00\x00"
"india_highlands:ahmadnagar:centraleast"	"ahmadnagar"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:bengal:northeast"	"bengal"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:berar:southwest"	"berar"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:bijapur:east"	"bijapur"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:carnatica:south"	"carnatica"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:ceylon:southwest"	"ceylon"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:gujarat:southeast"	"gujarat"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:hindustan:north"	"hindustan"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:hyderabad:north"	"hyderabad"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:malabar:east"	"malabar"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:malwa:west"	"malwa"	"india_highlands"	"\x00\x00\x00\x00\x00"
"india_highlands:mysore:central"	"mysore"	"india_highlands"	"\x00\x00\x00\x00\x00"
