version 1, schema campaign_character_anim_set_agent_junctions_tables, guid 179faceb-cdfa-44cb-816c-5c5a411f4095
some(string)	Character_Animation_Set_IDRef(string)	Agent_IDRef(optstring)	unknown1(optstring)
"102"	"default_ship"	"captain"	"japanese"
"105"	"monk"	"ikko_monk"	"japanese"
"111"	"ninja"	"gempei_spy"	"japanese"
"117"	"monk"	"gempei_monk"	"japanese"
"121"	"metsuke"	"gempei_inspector"	"japanese"
"129"	"geisha"	"gempei_dancer"	"japanese"
"132"	"geisha"	"boshin_geisha"	"japanese"
"140"	"metsuke"	"boshin_ishinshishi"	"japanese"
"15"	"default_ship"	"pirate"	nil
"150"	"ninja"	"boshin_shinobi"	"japanese"
"155"	"metsuke"	"boshin_shinsengumi"	"japanese"
"158"	"boshin_veteran"	"boshin_veteran"	"japanese"
"2"	"default_ship"	"admiral"	nil
"5"	"default_ship"	"captain"	nil
"62"	"default_ship"	"admiral"	"japanese"
"64"	"geisha"	"geisha"	"japanese"
"65"	"general"	"General"	"japanese"
"71"	"metsuke"	"metsuke"	"japanese"
"79"	"missionary"	"missionary"	"japanese"
"80"	"monk"	"monk"	"japanese"
"84"	"ninja"	"ninja"	"japanese"
"92"	"general"	"colonel"	"japanese"
