version 1, schema wind_levels_tables, guid d0ca964b-0b94-4d3b-885c-ee9fd97cd846
Wind_IDRef(string)	Level(string)	Westerly_x0020_intensity(float)	Northern_x0020_intensity(float)	unknown5(int)
"calm_westerly"	"wind_level_0"	3	0	0
"gale_northern"	"wind_level_3"	0	12	8
"light_northern"	"wind_level_0"	0	3	5
"light_westerly"	"wind_level_1"	6	0	1
"moderate_northern"	"wind_level_1"	0	6	6
"moderate_westerly"	"wind_level_2"	9	0	2
"storm_northern"	"wind_level_4"	0	12	9
"storm_westerly"	"wind_level_4"	12	0	4
"strong_northern"	"wind_level_2"	0	9	7
"strong_westerly"	"wind_level_3"	12	0	3
