version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/kasuga/stern_02_dm3.rigid_model_v2"	"1_1"	"kasuga_stern_02_dm3"
""	"RigidModels/Naval/kasuga/stern_02_dm2.rigid_model_v2"	"1_1"	"kasuga_stern_02_dm2"
""	"RigidModels/Naval/kasuga/stern_02_dm1.rigid_model_v2"	"1_1"	"kasuga_stern_02_dm1"
""	"RigidModels/Naval/kasuga/stern_01_dm3.rigid_model_v2"	"1_1"	"kasuga_stern_01_dm3"
""	"RigidModels/Naval/kasuga/stern_01_dm2.rigid_model_v2"	"1_1"	"kasuga_stern_01_dm2"
""	"RigidModels/Naval/kasuga/stern_01_dm1.rigid_model_v2"	"1_1"	"kasuga_stern_01_dm1"
""	"RigidModels/Naval/kasuga/starb_03_dm3.rigid_model_v2"	"1_1"	"kasuga_starb_03_dm3"
""	"RigidModels/Naval/kasuga/starb_03_dm2.rigid_model_v2"	"1_1"	"kasuga_starb_03_dm2"
""	"RigidModels/Naval/kasuga/starb_03_dm1.rigid_model_v2"	"1_1"	"kasuga_starb_03_dm1"
""	"RigidModels/Naval/kasuga/starb_02_dm3.rigid_model_v2"	"1_1"	"kasuga_starb_02_dm3"
""	"RigidModels/Naval/kasuga/starb_02_dm2.rigid_model_v2"	"1_1"	"kasuga_starb_02_dm2"
""	"RigidModels/Naval/kasuga/starb_02_dm1.rigid_model_v2"	"1_1"	"kasuga_starb_02_dm1"
""	"RigidModels/Naval/kasuga/starb_01_dm3.rigid_model_v2"	"1_1"	"kasuga_starb_01_dm3"
""	"RigidModels/Naval/kasuga/starb_01_dm2.rigid_model_v2"	"1_1"	"kasuga_starb_01_dm2"
""	"RigidModels/Naval/kasuga/starb_01_dm1.rigid_model_v2"	"1_1"	"kasuga_starb_01_dm1"
""	"RigidModels/Naval/kasuga/port_03_dm3.rigid_model_v2"	"1_1"	"kasuga_port_03_dm3"
""	"RigidModels/Naval/kasuga/port_03_dm2.rigid_model_v2"	"1_1"	"kasuga_port_03_dm2"
""	"RigidModels/Naval/kasuga/port_03_dm1.rigid_model_v2"	"1_1"	"kasuga_port_03_dm1"
""	"RigidModels/Naval/kasuga/port_02_dm3.rigid_model_v2"	"1_1"	"kasuga_port_02_dm3"
""	"RigidModels/Naval/kasuga/port_02_dm2.rigid_model_v2"	"1_1"	"kasuga_port_02_dm2"
""	"RigidModels/Naval/kasuga/port_02_dm1.rigid_model_v2"	"1_1"	"kasuga_port_02_dm1"
""	"RigidModels/Naval/kasuga/port_01_dm3.rigid_model_v2"	"1_1"	"kasuga_port_01_dm3"
""	"RigidModels/Naval/kasuga/port_01_dm2.rigid_model_v2"	"1_1"	"kasuga_port_01_dm2"
""	"RigidModels/Naval/kasuga/port_01_dm1.rigid_model_v2"	"1_1"	"kasuga_port_01_dm1"
