version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/kaiten/stern_02_dm3.rigid_model_v2"	"1_1"	"kaiten_stern_02_dm3"
""	"RigidModels/Naval/kaiten/stern_02_dm2.rigid_model_v2"	"1_1"	"kaiten_stern_02_dm2"
""	"RigidModels/Naval/kaiten/stern_02_dm1.rigid_model_v2"	"1_1"	"kaiten_stern_02_dm1"
""	"RigidModels/Naval/kaiten/stern_01_dm3.rigid_model_v2"	"1_1"	"kaiten_stern_01_dm3"
""	"RigidModels/Naval/kaiten/stern_01_dm2.rigid_model_v2"	"1_1"	"kaiten_stern_01_dm2"
""	"RigidModels/Naval/kaiten/stern_01_dm1.rigid_model_v2"	"1_1"	"kaiten_stern_01_dm1"
""	"RigidModels/Naval/kaiten/starb_05_dm3.rigid_model_v2"	"1_1"	"kaiten_starb_05_dm3"
""	"RigidModels/Naval/kaiten/starb_05_dm2.rigid_model_v2"	"1_1"	"kaiten_starb_05_dm2"
""	"RigidModels/Naval/kaiten/starb_05_dm1.rigid_model_v2"	"1_1"	"kaiten_starb_05_dm1"
""	"RigidModels/Naval/kaiten/starb_04_dm3.rigid_model_v2"	"1_1"	"kaiten_starb_04_dm3"
""	"RigidModels/Naval/kaiten/starb_04_dm2.rigid_model_v2"	"1_1"	"kaiten_starb_04_dm2"
""	"RigidModels/Naval/kaiten/starb_04_dm1.rigid_model_v2"	"1_1"	"kaiten_starb_04_dm1"
""	"RigidModels/Naval/kaiten/starb_03_dm3.rigid_model_v2"	"1_1"	"kaiten_starb_03_dm3"
""	"RigidModels/Naval/kaiten/starb_03_dm2.rigid_model_v2"	"1_1"	"kaiten_starb_03_dm2"
""	"RigidModels/Naval/kaiten/starb_03_dm1.rigid_model_v2"	"1_1"	"kaiten_starb_03_dm1"
""	"RigidModels/Naval/kaiten/starb_02_dm3.rigid_model_v2"	"1_1"	"kaiten_starb_02_dm3"
""	"RigidModels/Naval/kaiten/starb_02_dm2.rigid_model_v2"	"1_1"	"kaiten_starb_02_dm2"
""	"RigidModels/Naval/kaiten/starb_02_dm1.rigid_model_v2"	"1_1"	"kaiten_starb_02_dm1"
""	"RigidModels/Naval/kaiten/starb_01_dm3.rigid_model_v2"	"1_1"	"kaiten_starb_01_dm3"
""	"RigidModels/Naval/kaiten/starb_01_dm2.rigid_model_v2"	"1_1"	"kaiten_starb_01_dm2"
""	"RigidModels/Naval/kaiten/starb_01_dm1.rigid_model_v2"	"1_1"	"kaiten_starb_01_dm1"
""	"RigidModels/Naval/kaiten/port_05_dm3.rigid_model_v2"	"1_1"	"kaiten_port_05_dm3"
""	"RigidModels/Naval/kaiten/port_05_dm2.rigid_model_v2"	"1_1"	"kaiten_port_05_dm2"
""	"RigidModels/Naval/kaiten/port_05_dm1.rigid_model_v2"	"1_1"	"kaiten_port_05_dm1"
""	"RigidModels/Naval/kaiten/port_04_dm3.rigid_model_v2"	"1_1"	"kaiten_port_04_dm3"
""	"RigidModels/Naval/kaiten/port_04_dm2.rigid_model_v2"	"1_1"	"kaiten_port_04_dm2"
""	"RigidModels/Naval/kaiten/port_04_dm1.rigid_model_v2"	"1_1"	"kaiten_port_04_dm1"
""	"RigidModels/Naval/kaiten/port_03_dm3.rigid_model_v2"	"1_1"	"kaiten_port_03_dm3"
""	"RigidModels/Naval/kaiten/port_03_dm2.rigid_model_v2"	"1_1"	"kaiten_port_03_dm2"
