version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/chiyodagata/stern_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_stern_02_dm3"
""	"RigidModels/Naval/chiyodagata/stern_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_stern_02_dm2"
""	"RigidModels/Naval/chiyodagata/stern_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_stern_02_dm1"
""	"RigidModels/Naval/chiyodagata/stern_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_stern_01_dm3"
""	"RigidModels/Naval/chiyodagata/stern_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_stern_01_dm2"
""	"RigidModels/Naval/chiyodagata/stern_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_stern_01_dm1"
""	"RigidModels/Naval/chiyodagata/starb_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_starb_03_dm3"
""	"RigidModels/Naval/chiyodagata/starb_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_starb_03_dm2"
""	"RigidModels/Naval/chiyodagata/starb_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_starb_03_dm1"
""	"RigidModels/Naval/chiyodagata/starb_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_starb_02_dm3"
""	"RigidModels/Naval/chiyodagata/starb_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_starb_02_dm2"
""	"RigidModels/Naval/chiyodagata/starb_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_starb_02_dm1"
""	"RigidModels/Naval/chiyodagata/starb_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_starb_01_dm3"
""	"RigidModels/Naval/chiyodagata/starb_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_starb_01_dm2"
""	"RigidModels/Naval/chiyodagata/starb_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_starb_01_dm1"
""	"RigidModels/Naval/chiyodagata/port_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_port_03_dm3"
""	"RigidModels/Naval/chiyodagata/port_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_port_03_dm2"
""	"RigidModels/Naval/chiyodagata/port_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_port_03_dm1"
""	"RigidModels/Naval/chiyodagata/port_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_port_02_dm3"
""	"RigidModels/Naval/chiyodagata/port_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_port_02_dm2"
""	"RigidModels/Naval/chiyodagata/port_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_port_02_dm1"
""	"RigidModels/Naval/chiyodagata/port_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_port_01_dm3"
""	"RigidModels/Naval/chiyodagata/port_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_port_01_dm2"
""	"RigidModels/Naval/chiyodagata/port_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_port_01_dm1"
""	"RigidModels/Naval/chiyodagata/misc_03_dm3.rigid_model_v2"	"1_1"	"chiyodagata_misc_03_dm3"
""	"RigidModels/Naval/chiyodagata/misc_03_dm2.rigid_model_v2"	"1_1"	"chiyodagata_misc_03_dm2"
""	"RigidModels/Naval/chiyodagata/misc_03_dm1.rigid_model_v2"	"1_1"	"chiyodagata_misc_03_dm1"
""	"RigidModels/Naval/chiyodagata/misc_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_misc_02_dm3"
""	"RigidModels/Naval/chiyodagata/misc_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_misc_02_dm2"
""	"RigidModels/Naval/chiyodagata/misc_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_misc_02_dm1"
""	"RigidModels/Naval/chiyodagata/misc_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_misc_01_dm3"
""	"RigidModels/Naval/chiyodagata/misc_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_misc_01_dm2"
""	"RigidModels/Naval/chiyodagata/misc_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_misc_01_dm1"
""	"RigidModels/Naval/chiyodagata/mast_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_mast_02_dm2"
""	"RigidModels/Naval/chiyodagata/mast_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_mast_02_dm1"
""	"RigidModels/Naval/chiyodagata/mast_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_mast_01_dm2"
""	"RigidModels/Naval/chiyodagata/mast_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_mast_01_dm1"
""	"RigidModels/Naval/chiyodagata/bow_02_dm3.rigid_model_v2"	"1_1"	"chiyodagata_bow_02_dm3"
""	"RigidModels/Naval/chiyodagata/bow_02_dm2.rigid_model_v2"	"1_1"	"chiyodagata_bow_02_dm2"
""	"RigidModels/Naval/chiyodagata/bow_02_dm1.rigid_model_v2"	"1_1"	"chiyodagata_bow_02_dm1"
""	"RigidModels/Naval/chiyodagata/bow_01_dm3.rigid_model_v2"	"1_1"	"chiyodagata_bow_01_dm3"
""	"RigidModels/Naval/chiyodagata/bow_01_dm2.rigid_model_v2"	"1_1"	"chiyodagata_bow_01_dm2"
""	"RigidModels/Naval/chiyodagata/bow_01_dm1.rigid_model_v2"	"1_1"	"chiyodagata_bow_01_dm1"
