version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
""	"RigidModels/Naval/kaiyo_maru/stern_02_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_02_dm3"
""	"RigidModels/Naval/kaiyo_maru/stern_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/stern_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/stern_01_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_01_dm3"
""	"RigidModels/Naval/kaiyo_maru/stern_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/stern_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_stern_01_dm1"
""	"RigidModels/Naval/kaiyo_maru/starb_04_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_04_dm3"
""	"RigidModels/Naval/kaiyo_maru/starb_04_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_04_dm2"
""	"RigidModels/Naval/kaiyo_maru/starb_04_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_04_dm1"
""	"RigidModels/Naval/kaiyo_maru/starb_03_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_03_dm3"
""	"RigidModels/Naval/kaiyo_maru/starb_03_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_03_dm2"
""	"RigidModels/Naval/kaiyo_maru/starb_03_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_03_dm1"
""	"RigidModels/Naval/kaiyo_maru/starb_02_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_02_dm3"
""	"RigidModels/Naval/kaiyo_maru/starb_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/starb_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/starb_01_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_01_dm3"
""	"RigidModels/Naval/kaiyo_maru/starb_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/starb_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_starb_01_dm1"
""	"RigidModels/Naval/kaiyo_maru/port_04_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_port_04_dm3"
""	"RigidModels/Naval/kaiyo_maru/port_04_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_port_04_dm2"
""	"RigidModels/Naval/kaiyo_maru/port_04_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_port_04_dm1"
""	"RigidModels/Naval/kaiyo_maru/port_03_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_port_03_dm3"
""	"RigidModels/Naval/kaiyo_maru/port_03_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_port_03_dm2"
""	"RigidModels/Naval/kaiyo_maru/port_03_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_port_03_dm1"
""	"RigidModels/Naval/kaiyo_maru/port_02_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_port_02_dm3"
""	"RigidModels/Naval/kaiyo_maru/port_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_port_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/port_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_port_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/port_01_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_port_01_dm3"
""	"RigidModels/Naval/kaiyo_maru/port_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_port_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/port_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_port_01_dm1"
""	"RigidModels/Naval/kaiyo_maru/misc_03_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_03_dm3"
""	"RigidModels/Naval/kaiyo_maru/misc_03_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_03_dm2"
""	"RigidModels/Naval/kaiyo_maru/misc_03_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_03_dm1"
""	"RigidModels/Naval/kaiyo_maru/misc_02_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_02_dm3"
""	"RigidModels/Naval/kaiyo_maru/misc_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/misc_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/misc_01_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_01_dm3"
""	"RigidModels/Naval/kaiyo_maru/misc_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/misc_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_misc_01_dm1"
""	"RigidModels/Naval/kaiyo_maru/mast_03_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_03_dm2"
""	"RigidModels/Naval/kaiyo_maru/mast_03_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_03_dm1"
""	"RigidModels/Naval/kaiyo_maru/mast_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/mast_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/mast_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/mast_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_mast_01_dm1"
""	"RigidModels/Naval/kaiyo_maru/bow_02_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_02_dm3"
""	"RigidModels/Naval/kaiyo_maru/bow_02_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_02_dm2"
""	"RigidModels/Naval/kaiyo_maru/bow_02_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_02_dm1"
""	"RigidModels/Naval/kaiyo_maru/bow_01_dm3.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_01_dm3"
""	"RigidModels/Naval/kaiyo_maru/bow_01_dm2.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_01_dm2"
""	"RigidModels/Naval/kaiyo_maru/bow_01_dm1.rigid_model_v2"	"1_1"	"kaiyo_maru_bow_01_dm1"
