version 1, schema battle_sky_types_tables
Sky_Type_ID(string)	Season(string)	Weather_IDRef(string)	Time_of_day(string)	Area(optstring)	Environment(string)	unknown1(boolean)	unknown2(boolean)
"am_desert_day_cloudy_0_summer"	"season_summer"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_cloudy_0.environment"	false	false
"am_desert_day_cloudy_0_winter"	"season_winter"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_cloudy_0.environment"	false	false
"am_desert_day_dry_1_summer"	"season_summer"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_1.environment"	false	false
"am_desert_day_dry_1_winter"	"season_winter"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_1.environment"	false	false
"am_desert_day_dry_2_summer"	"season_summer"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_2.environment"	false	false
"am_desert_day_dry_2_winter"	"season_winter"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_2.environment"	false	false
"am_desert_day_dry_3_summer"	"season_summer"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_3.environment"	false	false
"am_desert_day_dry_3_winter"	"season_winter"	"dry"	"afternoon"	"lc_am_desert"	"summer\\desert\\day_clear_3.environment"	false	false
"am_desert_day_storm_1_summer"	"season_summer"	"light_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm.environment"	false	false
"am_desert_day_storm_1_winter"	"season_winter"	"light_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm.environment"	false	false
"am_desert_day_storm_2_summer"	"season_summer"	"heavy_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm_2.environment"	false	false
"am_desert_day_storm_2_winter"	"season_winter"	"heavy_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm_2.environment"	false	false
"am_desert_day_storm_3_summer"	"season_summer"	"torrential_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm_3.environment"	false	false
"am_desert_day_storm_3_winter"	"season_winter"	"torrential_dust"	"afternoon"	"lc_am_desert"	"summer\\desert\\dust_storm_3.environment"	false	false
"am_desert_evening_cloudy_1_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_1.environment"	false	false
"am_desert_evening_cloudy_1_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_1.environment"	false	false
"am_desert_evening_cloudy_2_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_2.environment"	false	false
"am_desert_evening_cloudy_2_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_2.environment"	false	false
"am_desert_evening_cloudy_3_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_3.environment"	false	false
"am_desert_evening_cloudy_3_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_cloudy_3.environment"	false	false
"am_desert_evening_dry_1_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_1.environment"	false	false
"am_desert_evening_dry_1_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_1.environment"	false	false
"am_desert_evening_dry_2_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_2.environment"	false	false
"am_desert_evening_dry_2_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_2.environment"	false	false
"am_desert_evening_dry_3_summer"	"season_summer"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_3.environment"	false	false
"am_desert_evening_dry_3_winter"	"season_winter"	"dry"	"evening"	"lc_am_desert"	"summer\\desert\\evening_clear_3.environment"	false	false
