version 1, schema movie_event_strings_tables
Event_message(string)	culture_ID(string)	Video(string)	Value(string)
"duel_gent_versus_gent_pistol_critical_failure"	"european"	"Pistol_GVG_RGK_00.bik"	"4"
"duel_gent_versus_gent_pistol_critical_success"	"european"	"Pistol_GVG_GGK_00.bik"	"5"
"duel_gent_versus_gent_pistol_failure"	"european"	"Pistol_GVG_RGI_00.bik"	"6"
"duel_gent_versus_gent_pistol_success"	"european"	"Pistol_GVG_GGI_00.bik"	"7"
"duel_gent_versus_gent_sword_critical_failure"	"european"	"Sword_GVG_RGK_00.bik"	"8"
"duel_gent_versus_gent_sword_critical_success"	"european"	"Sword_GVG_GGK_00.bik"	"9"
"duel_gent_versus_gent_sword_failure"	"european"	"Sword_GVG_RGI_00.bik"	"10"
"duel_gent_versus_gent_sword_success"	"european"	"Sword_GVG_GGI_00.bik"	"11"
"duel_gent_versus_rake_pistol_gent_injured"	"european"	"Pistol_RVG_GI_00.bik"	"12"
"duel_gent_versus_rake_pistol_gent_killed"	"european"	"Pistol_RVG_GK_00.bik"	"13"
"duel_gent_versus_rake_pistol_rake_injured"	"european"	"Pistol_RVG_RI_00.bik"	"14"
"duel_gent_versus_rake_pistol_rake_killed"	"european"	"Pistol_RVG_RK_00.bik"	"15"
"duel_gent_versus_rake_sword_gent_injured"	"european"	"Sword_RVG_GI_00.bik"	"16"
"duel_gent_versus_rake_sword_gent_killed"	"european"	"Sword_RVG_GK_00.bik"	"17"
"duel_gent_versus_rake_sword_rake_injured"	"european"	"sword_RVG_RI_00.bik"	"18"
"duel_gent_versus_rake_sword_rake_killed"	"european"	"Sword_RVG_RK_00.bik"	"19"
"game_lost"	"indian"	"indian_lose_battle_maratha.bik"	"21"
"game_lost_austria"	"european"	"EUR_Lose_AUS.bik"	"22"
"game_lost_britain"	"european"	"EUR_Lose_UK.bik"	"23"
"game_lost_france"	"european"	"EUR_Lose_FR.bik"	"24"
"game_lost_holland"	"european"	"EUR_Lose_HOL.bik"	"25"
"game_lost_maratha"	"indian"	"Indian_Lose_maratha.bik"	"56"
"game_lost_mughal"	"indian"	"Indian_Lose_Mughal.bik"	"57"
"game_lost_ottoman"	"middle_east"	"Ottoman_Lose_battle.bik"	"55"
"game_lost_poland"	"european"	"EUR_Lose_POL.bik"	"26"
"game_lost_prussia"	"european"	"EUR_Lose_PR.bik"	"27"
"game_lost_russia"	"european"	"EUR_Lose_RUS.bik"	"28"
"game_lost_spain"	"european"	"EUR_Lose_SP.bik"	"29"
"game_lost_sweden"	"european"	"EUR_Lose_SWE.bik"	"30"
"game_lost_united_states"	"european"	"EUR_Lose_US.bik"	"31"
"game_victory_absolute_monachy"	"european"	"EUR_MON_VIC.bik"	"32"
"game_victory_absolute_monachy"	"indian"	"IND_MON_VIC.bik"	"33"
"game_victory_absolute_monachy"	"middle_east"	"OTT_MON_VIC.bik"	"34"
"game_victory_constitutional_monachy"	"european"	"EUR_CON_VIC.bik"	"35"
"game_victory_constitutional_monachy"	"indian"	"IND_CON_VIC.bik"	"36"
"game_victory_constitutional_monachy"	"middle_east"	"OTT_CON_VIC.bik"	"37"
"game_victory_republic"	"european"	"EUR_REP_VIC.bik"	"38"
"game_victory_republic"	"indian"	"IND_REP_VIC.bik"	"39"
"game_victory_republic"	"middle_east"	"OTT_REP_VIC.bik"	"40"
"gent_celebrating_gent"	"european"	"Social_gent_00.bik"	"59"
"gent_celebrating_rake"	"european"	"Social_rake_00.bik"	"60"
"gent_funeral"	"european"	"funeral_00.bik"	"61"
"gent_hospitalised"	"european"	"Hospital_00.bik"	"58"
"your_faction_revolution_monarchists_win_civil_war"	"european"	"EUR_Mon_Rev_Win.bik"	"41"
"your_faction_revolution_monarchists_win_civil_war"	"middle_east"	"OTT_IND_Mon_Rev_Win.bik"	"42"
"your_faction_revolution_monarchists_win_revolution"	"european"	"EUR_Mon_Rev_Win.bik"	"43"
"your_faction_revolution_monarchists_win_revolution"	"middle_east"	"OTT_IND_Mon_Rev_Win.bik"	"44"
"your_faction_revolution_monarchy_republican"	"european"	"EUR_Rep_Rev_Start.bik"	"45"
"your_faction_revolution_monarchy_republican"	"middle_east"	"OTT_IND_Rep_Rev_Start.bik"	"46"
"your_faction_revolution_monarchy_royalist"	"european"	"EUR_Mon_Rev_Start.bik"	"47"
"your_faction_revolution_monarchy_royalist"	"middle_east"	"OTT_IND_Mon_Rev_Start.bik"	"48"
"your_faction_revolution_republic_republican"	"european"	"EUR_Rep_Rev_Start.bik"	"49"
"your_faction_revolution_republic_republican"	"middle_east"	"OTT_IND_Rep_Rev_Start.bik"	"50"
"your_faction_revolution_republic_royalist"	"european"	"EUR_Mon_Rev_Start.bik"	"51"
"your_faction_revolution_republic_royalist"	"middle_east"	"OTT_IND_Mon_Rev_Start.bik"	"52"
"your_faction_revolution_republicans_win_all"	"european"	"EUR_Rep_Rev_Win.bik"	"53"
"your_faction_revolution_republicans_win_all"	"middle_east"	"OTT_IND_Rep_Rev_Win.bik"	"54"
"game_lost_natives"	"tribal_playable"	"native_lose.bik"	"62"
"game_victory_constitutional_monachy"	"tribal_playable"	"Native_win.bik"	"63"
"game_victory_republic"	"tribal_playable"	"Native_win.bik"	"64"
"game_victory_absolute_monachy"	"tribal_playable"	"Native_win.bik"	"65"
