version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"east_ethnic_musketmen_jazayerchi"	"chevaux_de_frise"
"east_ethnic_musketmen_jazayerchi"	"earthworks"
"east_ethnic_musketmen_jazayerchi"	"fire_and_advance"
"east_ethnic_musketmen_jazayerchi"	"rank_fire"
"janissaries_anatolian"	"chevaux_de_frise"
"janissaries_anatolian"	"earthworks"
"janissaries_anatolian"	"fire_and_advance"
"janissaries_anatolian"	"rank_fire"
"janissaries_anatolian_kupa"	"chevaux_de_frise"
"janissaries_anatolian_kupa"	"earthworks"
"janissaries_anatolian_kupa"	"fire_and_advance"
"janissaries_anatolian_kupa"	"rank_fire"
