version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"east_ethnic_musketeers_bargir"	"chevaux_de_frise"
"east_ethnic_musketeers_bargir"	"earthworks"
"east_ethnic_musketeers_bargir"	"fire_and_advance"
"east_ethnic_musketeers_bargir"	"rank_fire"
"east_ethnic_musketeers_bargir"	"square_formation"
"east_ethnic_musketeers_bargir_nerfed"	"chevaux_de_frise"
"east_ethnic_musketeers_bargir_nerfed"	"earthworks"
"east_ethnic_musketeers_bargir_nerfed"	"fire_and_advance"
"east_ethnic_musketeers_bargir_nerfed"	"rank_fire"
"east_ethnic_musketeers_bargir_nerfed"	"square_formation"
"east_ethnic_musketmen_mughal_musketeers"	"chevaux_de_frise"
"east_ethnic_musketmen_mughal_musketeers"	"earthworks"
"east_ethnic_musketmen_mughal_musketeers"	"fire_and_advance"
"east_ethnic_musketmen_mughal_musketeers"	"rank_fire"
"east_sikh_infantry_musketeers"	"chevaux_de_frise"
"east_sikh_infantry_musketeers"	"earthworks"
"east_sikh_infantry_musketeers"	"fire_and_advance"
"east_sikh_infantry_musketeers"	"rank_fire"
"east_sikh_infantry_musketeers"	"square_formation"
"janissaries_beylik_grenadiers"	"chevaux_de_frise"
"janissaries_beylik_grenadiers"	"earthworks"
"janissaries_beylik_grenadiers"	"improved_platoon_fire_grouped"
"janissaries_beylik_grenadiers"	"platoon_fire_grouped"
"janissaries_beylik_grenadiers"	"rank_fire"
"janissaries_beylik_musketeers"	"chevaux_de_frise"
"janissaries_beylik_musketeers"	"earthworks"
"janissaries_beylik_musketeers"	"fire_and_advance"
"janissaries_beylik_musketeers"	"rank_fire"
"janissaries_cemaat_grenadiers"	"chevaux_de_frise"
"janissaries_cemaat_grenadiers"	"earthworks"
"janissaries_cemaat_grenadiers"	"improved_platoon_fire_grouped"
"janissaries_cemaat_grenadiers"	"platoon_fire_grouped"
"janissaries_cemaat_grenadiers"	"rank_fire"
