version 1, schema cdir_unit_balance_group_qualities_tables, guid d7c13aca-d66f-492b-86eb-e88f435fcd9a
unknown1(string)	unknown2(string)	unknown3(string)	unknown4(int)
"boshin"	"artillery"	"artillery"	2000
"boshin"	"modern_cav"	"general"	0
"boshin"	"modern_cav"	"modern_cav"	500
"boshin"	"modern_elite_light"	"modern_elite_light"	500
"boshin"	"modern_line"	"modern_line"	600
"boshin"	"modern_navy"	"modern_ship"	500
"boshin"	"traditional_cav"	"general"	0
"boshin"	"traditional_cav"	"traditional_cav"	400
"boshin"	"traditional_melee"	"traditional_melee"	500
"boshin"	"traditional_missile"	"siege"	0
"boshin"	"traditional_missile"	"traditonal_missile"	300
"chosokabe"	"cavalry"	"cavalry_missile"	200
"chosokabe"	"cavalry"	"cavalry_spear"	400
"chosokabe"	"cavalry"	"cavalry_sword"	600
"chosokabe"	"cavalry"	"general"	0
"chosokabe"	"heavy_ship"	"heavy_ship"	600
"chosokabe"	"infantry_melee"	"infantry_heavy"	400
"chosokabe"	"infantry_melee"	"infantry_spear"	600
"chosokabe"	"infantry_melee"	"infantry_special"	200
"chosokabe"	"infantry_melee"	"infantry_sword"	600
"chosokabe"	"infantry_ranged_late"	"infantry_bow"	800
"chosokabe"	"infantry_ranged_late"	"infantry_matchlock"	200
"chosokabe"	"infantry_ranged_late"	"siege"	50
"chosokabe"	"infantry_ranged"	"infantry_bow"	800
"chosokabe"	"infantry_ranged"	"siege"	50
"chosokabe"	"light_ship_late"	"cannon_ship"	900
"chosokabe"	"light_ship_late"	"light_ship"	600
"chosokabe"	"light_ship_late"	"trade_ship"	50
"chosokabe"	"light_ship"	"light_ship"	900
"chosokabe"	"light_ship"	"trade_ship"	50
"chosokabe"	"medium_ship"	"medium_ship"	600
"date"	"cavalry"	"cavalry_missile"	200
"date"	"cavalry"	"cavalry_spear"	400
"date"	"cavalry"	"cavalry_sword"	600
"date"	"cavalry"	"general"	0
"date"	"heavy_ship"	"heavy_ship"	600
"date"	"infantry_melee"	"infantry_heavy"	400
"date"	"infantry_melee"	"infantry_spear"	600
"date"	"infantry_melee"	"infantry_special"	200
"date"	"infantry_melee"	"infantry_sword"	650
"date"	"infantry_ranged_late"	"infantry_bow"	600
"date"	"infantry_ranged_late"	"infantry_matchlock"	200
"date"	"infantry_ranged_late"	"siege"	50
"date"	"infantry_ranged"	"infantry_bow"	800
"date"	"infantry_ranged"	"siege"	50
"date"	"light_ship_late"	"cannon_ship"	900
"date"	"light_ship_late"	"light_ship"	600
"date"	"light_ship_late"	"trade_ship"	50
"date"	"light_ship"	"light_ship"	600
"date"	"light_ship"	"trade_ship"	50
"date"	"medium_ship"	"medium_ship"	600
"default"	"cavalry"	"cavalry_missile"	200
"default"	"cavalry"	"cavalry_spear"	400
"default"	"cavalry"	"cavalry_sword"	600
"default"	"cavalry"	"general"	0
"default"	"heavy_ship"	"heavy_ship"	600
"default"	"infantry_melee"	"infantry_heavy"	400
"default"	"infantry_melee"	"infantry_spear"	600
"default"	"infantry_melee"	"infantry_special"	200
"default"	"infantry_melee"	"infantry_sword"	600
"default"	"infantry_ranged_late"	"infantry_bow"	600
"default"	"infantry_ranged_late"	"infantry_matchlock"	200
"default"	"infantry_ranged_late"	"siege"	50
"default"	"infantry_ranged"	"infantry_bow"	800
"default"	"infantry_ranged"	"siege"	50
