version 3, schema advice_levels_tables
Key(string)	Thread_Name(string)	advice_thread_level(int)	points_needed(int)	game_area(string)	category(string)	sub_category(string)	max_repeat_count(int)	repeat_interval(int)	pause_battle(boolean)	priority_level(int)	high_verbosity_only(boolean)	locatable(boolean)	parameter(string)	on_display_script(optstring)	suppressible(boolean)	unknown15(boolean)	unknown16(boolean)	audio_clip(string)	unknown18(string)	unknown19(boolean)
"-2146050603"	"6119_Campaign_Tutorial_Advise_Ministers"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-2144518529"	"5237_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2142616193"	"3020_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2140377823"	"3120_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2140064507"	"1194_Campaign_Advice_UI_Help_Diplomacy_Thread"	1	1	"Campaign"	"UI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2134517828"	"0063_Battle_Advice_Enrage_The_Enemy_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-2130399566"	"4057_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2129806598"	"5000_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2128750829"	"5120_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2126980281"	"3196_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2120804883"	"1033_Campaign_Advice_UI_Review_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	true
"-2120431405"	"5217_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2120105756"	"6074_Campaign_Tutorial_Advise_Merge_Units"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-2117596656"	"0167_Battle_Advice_Sloop_Characteristics_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"naval_advisor"	true
"-2114504532"	"3029_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2105549713"	"6040_Campaign_Tutorial_Advise_Mission_Panel"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-2101003372"	"4070_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2095797098"	"1067_Campaign_Advice_Character_Selected_Thread"	1	1	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2095611480"	"4036_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2079758977"	"0087_Battle_Advice_Elephants_Amok_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-2074217292"	"0040_Battle_Advice_Defence_Against_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	false
"-2068417891"	"6067_Campaign_Tutorial_Advise_Browser_Panel"	1	1	"Campaign"	"Tutorial"	"Help"	1	0	false	0	false	false	"none"	""	false	false	false	"n"	"Berthier"	false
"-2064609509"	"4084_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2061792637"	"4065_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2047938396"	"5222_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2039862233"	"1040_Campaign_Advice_UI_Postbattle_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2033018457"	"1060_Campaign_Advice_Slot_Selected_Thread"	1	1	"Campaign"	"Slots"	"Vineyards"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	true
"-2029014381"	"3163_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2023390722"	"0109_Battle_Advice_Defences_Stakes_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-2018793501"	"0174_Battle_Advice_Razee_Characteristics_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	2	false	false	"none"	""	false	false	false	"n"	"naval_advisor"	true
"-2017583094"	"1019_Campaign_Advice_UI_Technology_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2017184177"	"5124_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2014914668"	"0026_Battle_Advice_Avoid_Flanking_Thread"	2	2	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-2007422063"	"0730_ep_3_victory_conditions"	1	1	"Campaign"	"Episodic"	"1"	1	1	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-2004663178"	"0025_Battle_Advice_Find_Weak_Spots_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-2004098759"	"3096_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2003184560"	"5074_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
"-2002946048"	"0044_Battle_Advice_Camels_Against_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"battle_advisor"	true
"-1999396619"	"1079c_Campaign_Advice_Right_Click_Details_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1997236953"	"0709_ep_1_construct_fishery_2"	1	1	"Campaign"	"Episodic"	"1"	5	3	false	0	false	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1995657968"	"1027_Campaign_Advice_UI_Lists_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	true	false	"none"	""	false	false	false	"n"	"campaign_advisor"	false
"-1993266800"	"5160_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"	"campaign_advisor"	false
