version 1, schema cai_agent_type_distribution_profile_junctions_tables, guid e25cf374-4c71-4c13-a074-ea2f01654039
unknown1(string)	unknown2(string)	unknown3(string)
"cai_at_bos_foreign_veteran"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_geisha"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_ishin_shishi"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_shinobi"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_shinsengumi"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_geisha"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_gw_dancer"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_gw_inspector"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_gw_monk"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_gw_ninja"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_metsuke"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_missionary"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_monk"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_ninja"	"agressive"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_foreign_veteran"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_bos_geisha"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_bos_ishin_shishi"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_bos_shinobi"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_bos_shinsengumi"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_geisha"	"cai_adp_standard"	"cai_adt_enemy_capital_centric"
"cai_at_gw_dancer"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_gw_inspector"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_gw_monk"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_gw_ninja"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_metsuke"	"cai_adp_standard"	"cai_adt_borders_enemy_biased"
"cai_at_missionary"	"cai_adp_standard"	"cai_adt_home_captial_centric"
"cai_at_monk"	"cai_adp_standard"	"cai_adt_home_captial_centric"
"cai_at_ninja"	"cai_adp_standard"	"cai_adt_enemy_capital_centric_presence_of_own_forces_biased"
"cai_at_bos_foreign_veteran"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_bos_geisha"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_bos_ishin_shishi"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_bos_shinobi"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_bos_shinsengumi"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_geisha"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_gw_dancer"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_gw_inspector"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_gw_monk"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_gw_ninja"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_metsuke"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_missionary"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_monk"	"defensive"	"cai_adt_home_captial_centric"
"cai_at_ninja"	"defensive"	"cai_adt_home_captial_centric"
