version 2, schema trade_nodes_tables, guid f23f4eeb-c0fa-4a4c-a590-d207e2951e99
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(string)
"eur_aegean_sea_01"	"res_coffee"	20	0.85	50	"eur_mediterranean"
"gem_annam"	"res_sho_medicine"	8	0.85	50	"placeholder_group"
"gem_china"	"res_gem_scrolls"	12	0.85	50	"placeholder_group"
"gem_hokkaido"	"res_gem_iron"	5	0.85	50	"placeholder_group"
"gem_indonesia"	"res_sho_medicine"	8	0.85	50	"placeholder_group"
"gem_jurchen"	"res_gem_wood"	5	0.85	50	"placeholder_group"
"gem_korea"	"res_gem_scrolls"	12	0.85	50	"placeholder_group"
"jap_annam"	"res_sho_medicine"	8	0.85	50	"placeholder_group"
"jap_china"	"res_sho_silk"	12	0.85	50	"placeholder_group"
"jap_hokkaido"	"res_sho_iron"	5	0.85	50	"placeholder_group"
"jap_indonesia"	"res_sho_medicine"	8	0.85	50	"placeholder_group"
"jap_jurchen"	"res_sho_horses"	5	0.85	50	"placeholder_group"
"jap_korea"	"res_sho_cotton"	12	0.85	50	"placeholder_group"
"jap_tut_china"	"res_sho_silk"	12	0.85	50	"placeholder_group"
