version 3, schema avatar_aesthetics_localised_source_lookups_tables, guid 531f935b-2c94-4f28-b91d-bd09b203338e
unknown1(string)	unknown2(optstring)
"achievement_achievement_without_honour"	"ACHIEVEMENT_C_WIN_EASY_CAMPAIGN"
"achievement_advanced_firearms"	"ACHIEVEMENT_C_RESEARCH_GUNPOWDER_TECH_FIRST"
"achievement_against_all_odds"	"ACHIEVEMENT_WIN_LEGENDARY_CAMPAIGN"
"achievement_agent_stealthy_blade"	"ACHIEVEMENT_C_MAX_LEVEL_NINJA"
"achievement_army_on_the_march"	"ACHIEVEMENT_B_WIN_25_LAND_BATTLES"
"achievement_balanced_attacker"	"ACHIEVEMENT_B_WIN_BATTLE_EVERY_TYPE_OF_UNIT"
"achievement_battlefield_dominance"	"ACHIEVEMENT_B_HOLD_ALL_KEY_BUILDINGS_2_MINS"
"achievement_belligerent_admiral"	"ACHIEVEMENT_C_SINK_CARAVEL_OR_NIHON_MARU"
"achievement_berserk_charge"	"ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED"
"achievement_bringer_of_death"	"ACHIEVEMENT_B_WIN_20_RANKED_BATTLES"
"achievement_carve_a_path"	"ACHIEVEMENT_A_CAPTURE_15_AVATAR_CAMPAIGN_REGIONS"
"achievement_castle_stormer"	"ACHIEVEMENT_B_WIN_10_ATTACKING_SIEGES"
"achievement_chosokabe_victory"	"ACHIEVEMENT_C_WIN_CHOSOKABE_CAMPAIGN"
"achievement_claw_of_the_tiger"	"ACHIEVEMENT_B_WIN_25_RANKED_BATTLES"
"achievement_commander_of_commoners"	"ACHIEVEMENT_B_4_ASHIGARU_UNITS_WHOLE_BATTLE"
"achievement_date_victory"	"ACHIEVEMENT_C_WIN_DATE_CAMPAIGN"
"achievement_dishonoured_foe"	"ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN_GIVING_OTHER_PLAYER_GOLD"
"achievement_divine_right"	"ACHIEVEMENT_C_BECOME_SHOGUN"
"achievement_dragon_of_japan"	"ACHIEVEMENT_B_WIN_100_RANKED_BATTLES"
"achievement_elusive_strikeforce"	"ACHIEVEMENT_B_ALL_UNITS_HIDDEN"
"achievement_eradicate_the_iga"	"ACHIEVEMENT_C_IGA_CLAN"
"achievement_eradicate_the_ikko_ikki"	"ACHIEVEMENT_C_WIPE_OUT_IKKO_IKKI"
"achievement_exceptional_warriors"	"ACHIEVEMENT_A_VETERAN_UNIT_LEVEL_5"
"achievement_experienced_taisho"	"ACHIEVEMENT_B_PLAY_10_BATTLES"
"achievement_famed_shogun"	"ACHIEVEMENT_C_WIN_HARD_CAMPAIGN"
"achievement_fear_no_horseman"	"ACHIEVEMENT_B_WIN_BATTLE_NO_SPEAR"
"achievement_fearsome_commander_of_men"	"ACHIEVEMENT_C_MAX_LEVEL_GENERAL"
"achievement_forged_in_the_hottest_flame"	"ACHIEVEMENT_B_WIN_MP_BATTLE"
"achievement_gathering_storm"	"ACHIEVEMENT_B_WIN_BATTLE_NO_CAVALRY"
"achievement_glittering_grand_cities"	"ACHIEVEMENT_C_RESEARCH_EPIC_ARCHITECTURE_FIRST"
"achievement_headhunter"	"ACHIEVEMENT_C_KILL_10000_ENEMY_SOLDIERS"
"achievement_heroic_warriors"	"ACHIEVEMENT_A_VETERAN_UNIT_LEVEL_10"
"achievement_hojo_victory"	"ACHIEVEMENT_C_WIN_CAMPAIGN_AS_HOJO"
"achievement_holder_of_kyushu"	"ACHIEVEMENT_C_CONTROL_KYUSHU"
"achievement_holder_of_shikoku"	"ACHIEVEMENT_C_CONTROL_SHIKOKU"
"achievement_inspiring_counterattack"	"ACHIEVEMENT_B_RALLY_5_UNITS"
