version 1, schema battle_type_faction_presets_tables
Faction_IDRef(string)	weighting_type(int)	id(int)
"austria"	26	400
"austria"	28	376
"austria"	89	412
"austria"	90	388
"austria"	143	352
"austria"	144	323
"austria"	149	364
"austria"	150	335
"britain"	26	401
"britain"	28	377
"britain"	89	413
"britain"	90	389
"britain"	143	353
"britain"	144	324
"britain"	149	365
"britain"	150	336
"france"	26	402
"france"	28	378
"france"	89	414
"france"	90	390
"france"	143	354
"france"	144	325
"france"	149	366
"france"	150	337
"maratha"	26	403
"maratha"	28	379
"maratha"	89	415
"maratha"	90	391
"maratha"	143	426
"maratha"	144	424
"maratha"	149	427
"maratha"	150	425
"netherlands"	26	404
"netherlands"	28	380
"netherlands"	89	416
"netherlands"	90	392
"netherlands"	143	356
"netherlands"	144	327
"netherlands"	149	368
"netherlands"	150	339
"ottomans"	26	405
"ottomans"	28	381
"ottomans"	89	417
"ottomans"	90	393
"ottomans"	143	357
"ottomans"	144	328
"ottomans"	149	369
"ottomans"	150	340
"pirates"	143	358
"pirates"	144	329
"pirates"	149	370
"pirates"	150	341
"poland_lithuania"	26	406
"poland_lithuania"	28	382
"poland_lithuania"	89	418
"poland_lithuania"	90	394
"poland_lithuania"	143	355
"poland_lithuania"	144	326
"poland_lithuania"	149	367
"poland_lithuania"	150	338
"prussia"	26	407
"prussia"	28	383
"prussia"	89	419
"prussia"	90	395
"prussia"	143	359
"prussia"	144	330
"prussia"	149	371
"prussia"	150	342
"russia"	26	408
"russia"	28	384
"russia"	89	420
"russia"	90	396
"russia"	143	360
"russia"	144	331
"russia"	149	372
"russia"	150	343
"spain"	26	409
"spain"	28	385
"spain"	89	421
"spain"	90	397
"spain"	143	361
"spain"	144	332
"spain"	149	373
"spain"	150	344
"sweden"	26	410
"sweden"	28	386
"sweden"	89	422
"sweden"	90	398
"sweden"	143	362
"sweden"	144	333
"sweden"	149	374
"sweden"	150	345
"united_states"	26	411
"united_states"	28	387
"united_states"	89	351
"united_states"	90	399
"united_states"	143	363
"united_states"	144	334
"united_states"	149	375
"united_states"	150	346
"cherokee_playable"	28	428
"huron_playable"	28	429
"iroquoi_playable"	28	430
"plains_playable"	28	431
"pueblo_playable"	28	432
"cherokee_playable"	90	433
"huron_playable"	90	434
"iroquoi_playable"	90	435
"plains_playable"	90	436
"pueblo_playable"	90	437
"cherokee_playable"	26	438
"huron_playable"	26	439
"iroquoi_playable"	26	440
"plains_playable"	26	441
"pueblo_playable"	26	442
"cherokee_playable"	89	443
"huron_playable"	89	444
"iroquoi_playable"	89	445
"plains_playable"	89	446
"pueblo_playable"	89	447
