version 1, schema campaign_ai_technology_path_junctions_tables, guid 99f0c6da-a9f1-456d-a916-9dd83b41e72c
class(string)	value(int)	tech(string)
"all_tier1"	20	"shogun_civil_core_todofuken"
"all_tier1"	10	"shogun_civil_core_way_of_chi"
"all_tier1"	20	"shogun_civil_core_zen"
"all_tier1"	30	"shogun_civil_loyalty_noh"
"all_tier1"	30	"shogun_civil_metsuke_secret_police"
"all_tier1"	30	"shogun_civil_province_equal_fields"
"all_tier1"	30	"shogun_civil_religion_essence_of_the_spirit"
"all_tier1"	30	"shogun_civil_religion_otomo_essence_of_the_spirit"
"all_tier1"	30	"shogun_military_bow_way_of_the_bow"
"all_tier1"	10	"shogun_military_core_bushido"
"all_tier1"	20	"shogun_military_core_strategy_of_attack"
"all_tier1"	20	"shogun_military_core_strategy_of_defence"
"all_tier1"	30	"shogun_military_naval_way_of_the_sea"
"all_tier1"	30	"shogun_military_spear_way_of_the_spear"
"all_tier1"	30	"shogun_military_sword_way_of_the_sword"
"all_tier2"	20	"shogun_civil_core_tax_reform"
"all_tier2"	20	"shogun_civil_core_tea_ceremony"
"all_tier2"	30	"shogun_civil_loyalty_sumo_tournament"
"all_tier2"	30	"shogun_civil_ninja_school_of_shinobi"
"all_tier2"	30	"shogun_civil_province_chonindo"
"all_tier2"	30	"shogun_civil_religion_religious_self_sufficiency"
"all_tier2"	30	"shogun_civil_religion_scholarship"
"all_tier2"	30	"shogun_military_bow_bow_expertise"
"all_tier2"	20	"shogun_military_core_form"
"all_tier2"	20	"shogun_military_core_heaven_and_earth"
"all_tier2"	30	"shogun_military_musket_attack_by_fire"
"all_tier2"	30	"shogun_military_naval_naval_expertise"
"all_tier2"	30	"shogun_military_spear_spear_expertise"
"all_tier2"	30	"shogun_military_sword_sword_expertise"
"all_tier3"	40	"shogun_civil_core_calligraphy"
"all_tier3"	60	"shogun_civil_core_epic_architecture"
"all_tier3"	40	"shogun_civil_core_traditional_building"
"all_tier3"	50	"shogun_civil_metsuke_sword_hunt"
"all_tier3"	50	"shogun_civil_ninja_ninjutsu_mastery"
"all_tier3"	50	"shogun_civil_province_kinza_mint"
"all_tier3"	50	"shogun_civil_religion_neo_confucianism"
"all_tier3"	50	"shogun_civil_religion_religious_propagation"
"all_tier3"	50	"shogun_military_bow_kyujutsu_mastery"
"all_tier3"	40	"shogun_military_core_horse_mastery"
"all_tier3"	60	"shogun_military_core_shih"
"all_tier3"	40	"shogun_military_core_the_five_elements"
"all_tier3"	50	"shogun_military_musket_teppo_mastery"
"all_tier3"	50	"shogun_military_naval_mastery_of_the_waves"
"all_tier3"	50	"shogun_military_spear_sojutsu_mastery"
"all_tier3"	50	"shogun_military_sword_kenjutsu_mastery"
"alltech_balanced"	60	"shogun_civil_core_calligraphy"
"alltech_balanced"	80	"shogun_civil_core_epic_architecture"
"alltech_balanced"	40	"shogun_civil_core_tax_reform"
"alltech_balanced"	40	"shogun_civil_core_tea_ceremony"
"alltech_balanced"	20	"shogun_civil_core_todofuken"
"alltech_balanced"	60	"shogun_civil_core_traditional_building"
"alltech_balanced"	10	"shogun_civil_core_way_of_chi"
"alltech_balanced"	20	"shogun_civil_core_zen"
"alltech_balanced"	30	"shogun_civil_loyalty_noh"
"alltech_balanced"	50	"shogun_civil_loyalty_sumo_tournament"
"alltech_balanced"	30	"shogun_civil_metsuke_secret_police"
"alltech_balanced"	70	"shogun_civil_metsuke_sword_hunt"
"alltech_balanced"	70	"shogun_civil_ninja_ninjutsu_mastery"
"alltech_balanced"	50	"shogun_civil_ninja_school_of_shinobi"
"alltech_balanced"	50	"shogun_civil_province_chonindo"
"alltech_balanced"	30	"shogun_civil_province_equal_fields"
"alltech_balanced"	70	"shogun_civil_province_kinza_mint"
"alltech_balanced"	30	"shogun_civil_religion_essence_of_the_spirit"
"alltech_balanced"	70	"shogun_civil_religion_neo_confucianism"
"alltech_balanced"	30	"shogun_civil_religion_otomo_essence_of_the_spirit"
"alltech_balanced"	70	"shogun_civil_religion_religious_propagation"
"alltech_balanced"	50	"shogun_civil_religion_religious_self_sufficiency"
"alltech_balanced"	50	"shogun_civil_religion_scholarship"
"alltech_balanced"	50	"shogun_military_bow_bow_expertise"
"alltech_balanced"	70	"shogun_military_bow_kyujutsu_mastery"
"alltech_balanced"	30	"shogun_military_bow_way_of_the_bow"
"alltech_balanced"	10	"shogun_military_core_bushido"
"alltech_balanced"	40	"shogun_military_core_form"
"alltech_balanced"	40	"shogun_military_core_heaven_and_earth"
"alltech_balanced"	60	"shogun_military_core_horse_mastery"
"alltech_balanced"	80	"shogun_military_core_shih"
"alltech_balanced"	20	"shogun_military_core_strategy_of_attack"
"alltech_balanced"	20	"shogun_military_core_strategy_of_defence"
"alltech_balanced"	60	"shogun_military_core_the_five_elements"
"alltech_balanced"	50	"shogun_military_musket_attack_by_fire"
"alltech_balanced"	70	"shogun_military_musket_teppo_mastery"
"alltech_balanced"	70	"shogun_military_naval_mastery_of_the_waves"
"alltech_balanced"	50	"shogun_military_naval_naval_expertise"
"alltech_balanced"	30	"shogun_military_naval_way_of_the_sea"
"alltech_balanced"	70	"shogun_military_spear_sojutsu_mastery"
"alltech_balanced"	50	"shogun_military_spear_spear_expertise"
"alltech_balanced"	30	"shogun_military_spear_way_of_the_spear"
"alltech_balanced"	70	"shogun_military_sword_kenjutsu_mastery"
"alltech_balanced"	50	"shogun_military_sword_sword_expertise"
"alltech_balanced"	30	"shogun_military_sword_way_of_the_sword"
"alltech_highest"	2430	"shogun_civil_core_calligraphy"
"alltech_highest"	21870	"shogun_civil_core_epic_architecture"
"alltech_highest"	270	"shogun_civil_core_tax_reform"
"alltech_highest"	270	"shogun_civil_core_tea_ceremony"
"alltech_highest"	30	"shogun_civil_core_todofuken"
"alltech_highest"	2430	"shogun_civil_core_traditional_building"
"alltech_highest"	10	"shogun_civil_core_way_of_chi"
"alltech_highest"	30	"shogun_civil_core_zen"
"alltech_highest"	90	"shogun_civil_loyalty_noh"
"alltech_highest"	810	"shogun_civil_loyalty_sumo_tournament"
"alltech_highest"	90	"shogun_civil_metsuke_secret_police"
"alltech_highest"	7290	"shogun_civil_metsuke_sword_hunt"
"alltech_highest"	7290	"shogun_civil_ninja_ninjutsu_mastery"
"alltech_highest"	810	"shogun_civil_ninja_school_of_shinobi"
