version 1, schema agent_voice_events_junctions_tables, guid ceaf20f3-5d18-4415-b034-60e538d484c0
agent_id(string)	voice(string)	event(string)
"General"	"campaign_voices_Raid_Slot_Samurai_General"	"CAMPAIGN_RAID_SLOT"
"General"	"campaign_voices_Death_Samurai_Army"	"campaign_voices_army_destroyed"
"General"	"campaign_voices_Death_Samurai_Army"	"campaign_voices_assassinated"
"General"	"campaign_voices_Attack_Army_Samurai_General"	"campaign_voices_attack_stronger"
"General"	"campaign_voices_Attack_Army_Samurai_General"	"campaign_voices_attack_weaker"
"General"	"campaign_voices_Attack_Army_Samurai_General"	"campaign_voices_attack"
"General"	"campaign_voices_level_up_general"	"campaign_voices_character_level_up"
"General"	"campaign_voices_Lay_Ambush_Samurai_General"	"campaign_voices_placed_ambush"
"General"	"campaign_voices_Retreat_Samurai_General"	"campaign_voices_retreat"
"General"	"campaign_voices_Besiege_Settlement_Samurai_General"	"campaign_voices_siege_begin"
"admiral"	"campaign_voices_Attack_Army_Samurai_Admiral"	"campaign_voices_attack_stronger"
"admiral"	"campaign_voices_Attack_Army_Samurai_Admiral"	"campaign_voices_attack_weaker"
"admiral"	"campaign_voices_Attack_Army_Samurai_Admiral"	"campaign_voices_attack"
"admiral"	"campaign_voices_Retreat_Samurai_Admiral"	"campaign_voices_retreat"
"captain"	"campaign_voices_Attack_Army_Samurai_Navy"	"campaign_voices_attack_stronger"
"captain"	"campaign_voices_Attack_Army_Samurai_Navy"	"campaign_voices_attack_weaker"
"captain"	"campaign_voices_Attack_Army_Samurai_Navy"	"campaign_voices_attack"
"captain"	"campaign_voices_Retreat_Samurai_Navy"	"campaign_voices_retreat"
"colonel"	"campaign_voices_Raid_Slot_Samurai_Army"	"CAMPAIGN_RAID_SLOT"
"colonel"	"campaign_voices_Attack_Army_Samurai_Army"	"campaign_voices_attack_stronger"
"colonel"	"campaign_voices_Attack_Army_Samurai_Army"	"campaign_voices_attack_weaker"
"colonel"	"campaign_voices_Attack_Army_Samurai_Army"	"campaign_voices_attack"
"colonel"	"campaign_voices_Lay_Ambush_Samurai_Army"	"campaign_voices_placed_ambush"
"colonel"	"campaign_voices_Retreat_Samurai_Army"	"campaign_voices_retreat"
"colonel"	"campaign_voices_Besiege_Settlement_Samurai_Army"	"campaign_voices_siege_begin"
"geisha"	"campaign_voices_Death_Geisha"	"campaign_voices_assassinated"
"geisha"	"campaign_voices_Assassination_Ordered_Geisha"	"campaign_voices_assassination"
"geisha"	"campaign_voices_level_up_geisha"	"campaign_voices_character_level_up"
"gempei_dancer"	"campaign_voices_Entertain_General_Ordered_Shirabyoshi"	"Campaign_Voices_Entertain_General_Ordered"
"gempei_dancer"	"campaign_voices_Entertain_Noble_Ordered_Shirabyoshi"	"Campaign_Voices_Entertain_Noble_Ordered"
"gempei_dancer"	"campaign_voices_Seduction_Ordered_Shirabyoshi"	"Campaign_Voices_Seduction_ordered"
"gempei_dancer"	"campaign_voices_level_up_Shirabyoshi"	"campaign_voices_character_level_up"
"gempei_inspector"	"campaign_voices_Oversee_Settlement_Ordered_Junsatsushi"	"CAMPAIGN_OVERSEE_SETTLEMENT"
