version 2, schema battlefield_buildings_tables
Battlefield_Building_ID(string)	Type(string)	Building_2(string)	Material(string)	Hit_points(int)	Fort_type(optstring)	Terrain(optstring)	unknown6(int)
"american_bridge_basic"	"bridge"	"american_bridge_basic"	"wood"	150	nil	nil	500
"american_bridge_refined"	"bridge"	"american_bridge_refined"	"wood"	250	nil	nil	500
"american_church"	"church"	"american_church"	"wood"	500	nil	nil	500
"american_fence"	"house"	"american_fence"	"wood"	15	nil	"terrain_shear"	500
"american_fenceend"	"house"	"american_fenceend"	"wood"	15	nil	"terrain_shear"	500
"american_gaet"	"house"	"american_gaet"	"wood"	15	nil	"terrain_shear"	500
"american_house01"	"house"	"american_house01"	"wood"	200	nil	nil	500
"american_house01b"	"house"	"american_house01b"	"wood"	200	nil	nil	500
"american_house02"	"house"	"american_house02"	"wood"	200	nil	nil	500
"american_house02b"	"house"	"american_house02b"	"wood"	200	nil	nil	500
"american_house03"	"house"	"american_house03"	"wood"	200	nil	nil	500
"american_house03b"	"house"	"american_house03b"	"wood"	200	nil	nil	500
"american_house04"	"house"	"american_house04"	"wood"	150	nil	nil	500
"american_house04b"	"house"	"american_house04b"	"wood"	150	nil	nil	500
"american_house05"	"house"	"american_house05"	"brick"	300	nil	nil	500
"american_house05b"	"house"	"american_house05b"	"brick"	300	nil	nil	500
"american_house06"	"house"	"american_house06"	"wood"	300	nil	nil	500
"american_house06b"	"house"	"american_house06b"	"wood"	300	nil	nil	500
"american_monument"	"incidental"	"american_monument"	"stone"	100	nil	nil	500
"american_ruin01"	"ruins"	"american_ruin01"	"stone"	500	nil	nil	500
"american_rural01"	"house"	"american_rural01"	"wood"	150	nil	nil	500
"american_rural01b"	"house"	"american_rural01b"	"wood"	150	nil	nil	500
"american_rural02"	"house"	"american_rural02"	"wood"	150	nil	nil	500
"american_rural02b"	"house"	"american_rural02b"	"wood"	150	nil	nil	500
"american_rural03"	"house"	"american_rural03"	"wood"	150	nil	nil	500
"american_rural03b"	"house"	"american_rural03b"	"wood"	150	nil	nil	500
"american_stile"	"house"	"american_stile"	"wood"	15	nil	"terrain_shear"	500
"boulder_collection_1"	"boulder"	"boulder_collection_1"	"stone"	15	nil	nil	500
"boulder_collection_2"	"boulder"	"boulder_collection_2"	"stone"	15	nil	nil	500
"boulder_collection_3"	"boulder"	"boulder_collection_3"	"stone"	15	nil	nil	500
"boulder_collection_4"	"boulder"	"boulder_collection_4"	"stone"	15	nil	nil	500
"boulder_collection_5"	"boulder"	"boulder_collection_5"	"stone"	15	nil	nil	500
"boulder_collection_6"	"boulder"	"boulder_collection_6"	"stone"	15	nil	nil	500
"boulder_collection_small_1"	"boulder"	"boulder_collection_small_1"	"stone"	15	nil	nil	500
"boulder_collection_small_2"	"boulder"	"boulder_collection_small_2"	"stone"	15	nil	nil	500
"boulder_collection_small_3"	"boulder"	"boulder_collection_small_3"	"stone"	15	nil	nil	500
"boulder_collection_small_4"	"boulder"	"boulder_collection_small_4"	"stone"	15	nil	nil	500
"boulder_collection_small_5"	"boulder"	"boulder_collection_small_5"	"stone"	15	nil	nil	500
"boulder_collection_small_6"	"boulder"	"boulder_collection_small_6"	"stone"	15	nil	nil	500
"east_euro_church"	"church"	"east_euro_church"	"brick"	600	nil	nil	500
"east_euro_house01"	"house"	"east_euro_house01"	"brick"	150	nil	nil	500
"east_euro_house01b"	"house"	"east_euro_house01b"	"brick"	150	nil	nil	500
"east_euro_house02"	"house"	"east_euro_house02"	"brick"	150	nil	nil	500
"east_euro_house02b"	"house"	"east_euro_house02b"	"brick"	150	nil	nil	500
"east_euro_house03"	"house"	"east_euro_house03"	"brick"	150	nil	nil	500
"east_euro_house03b"	"house"	"east_euro_house03b"	"brick"	150	nil	nil	500
"east_euro_house04"	"house"	"east_euro_house04"	"brick"	150	nil	nil	500
"east_euro_house04b"	"house"	"east_euro_house04b"	"brick"	150	nil	nil	500
"east_euro_house05"	"house"	"east_euro_house05"	"brick"	150	nil	nil	500
