version 1, schema gun_types_tables, guid e2ff46d8-a193-4973-8df8-9352e14ebcae
Gun_ID(string)	Battle_x0020_Entity(string)	GunID(string)	Animation_table(string)	unknown3(string)	Model_Gun_x0020_Destroyed(string)	Animation_Gun_x0020_Destruction(string)	Animation_Gun(string)
"boshin_armstrong_cannon"	"boshin_artillery_medium"	"armstrong_gun"	"boshin_engine_armstrong_cannon"	"shogun_katana"	"armstrong_gun_destroyed"	"armstrong_gun_destruction_anim"	"Boshin_Armstrong_Cannon"
"boshin_coastal_cannon_extra_large"	"boshin_naval_battery_extra_large"	"breech_cannon_naval_big"	"boshin_engine_coastal_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_coastal_cannon_large"	"boshin_naval_battery_large"	"breech_cannon_naval_big"	"boshin_engine_coastal_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_coastal_cannon_large_mp"	"boshin_naval_battery_medium_mp"	"breech_cannon_naval_big"	"boshin_engine_coastal_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_coastal_cannon_medium"	"boshin_naval_battery_medium"	"breech_cannon_naval_medium"	"boshin_engine_coastal_cannon_medium"	"shogun_katana"	"breech_cannon_naval_med_destroyed"	"breech_cannon_naval_med_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_coastal_cannon_medium_mp"	"boshin_naval_battery_medium_mp"	"breech_cannon_naval_medium"	"boshin_engine_coastal_cannon_medium"	"shogun_katana"	"breech_cannon_naval_med_destroyed"	"breech_cannon_naval_med_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_coastal_cannon_small"	"boshin_naval_battery_small"	"breech_cannon_naval_small"	"boshin_engine_coastal_cannon_small"	"shogun_katana"	"breech_cannon_naval_sml_destroyed"	"breech_cannon_naval_sml_destruction_anim"	"Boshin_Coastal_Cannon"
"boshin_gatling_gun"	"boshin_gatling_gun"	"gatling_gun"	"boshin_engine_gatling_gun"	"shogun_katana"	"gatling_gun_destroyed_model"	"gatling_gun_destruction_anim"	"Boshin_Gatling_Gun"
"boshin_naval_cannon_extra_large"	"boshin_naval_cannon_extra_large"	"breech_cannon_naval_big"	"boshin_engine_naval_breech_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_extra_large_mp"	"boshin_naval_cannon_extra_large"	"breech_cannon_naval_big"	"boshin_engine_naval_breech_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_kotetsu"	"boshin_naval_cannon_extra_large"	"breech_cannon_naval_small"	"boshin_engine_naval_breech_cannon_small"	"shogun_katana"	"breech_cannon_naval_sml_destroyed"	"breech_cannon_naval_sml_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_kotetsu_mp"	"boshin_naval_cannon_extra_large"	"breech_cannon_naval_small"	"boshin_engine_naval_breech_cannon_small"	"shogun_katana"	"breech_cannon_naval_sml_destroyed"	"breech_cannon_naval_sml_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_large"	"boshin_naval_cannon_large"	"breech_cannon_naval_big"	"boshin_engine_naval_breech_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_large_mp"	"boshin_naval_cannon_large"	"breech_cannon_naval_big"	"boshin_engine_naval_breech_cannon_large"	"shogun_katana"	"breech_cannon_naval_big_destroyed"	"breech_cannon_naval_big_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_medium"	"boshin_naval_cannon_medium"	"breech_cannon_naval_medium"	"boshin_engine_naval_breech_cannon_medium"	"shogun_katana"	"breech_cannon_naval_med_destroyed"	"breech_cannon_naval_med_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_medium_mp"	"boshin_naval_cannon_medium"	"breech_cannon_naval_medium"	"boshin_engine_naval_breech_cannon_medium"	"shogun_katana"	"breech_cannon_naval_med_destroyed"	"breech_cannon_naval_med_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_small"	"boshin_naval_cannon_small"	"breech_cannon_naval_small"	"boshin_engine_naval_breech_cannon_small"	"shogun_katana"	"breech_cannon_naval_sml_destroyed"	"breech_cannon_naval_sml_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_cannon_small_mp"	"boshin_naval_cannon_small"	"breech_cannon_naval_small"	"boshin_engine_naval_breech_cannon_small"	"shogun_katana"	"breech_cannon_naval_sml_destroyed"	"breech_cannon_naval_sml_destruction_anim"	"Boshin_Naval_Breech_Cannon"
"boshin_naval_gatling_gun"	"boshin_naval_gatling_gun"	"gatling_gun"	"boshin_engine_gatling_gun"	"shogun_katana"	"gatling_gun_destroyed_model"	"gatling_gun_destruction_anim"	"Boshin_Naval_Gatling_Gun"
"boshin_naval_torpedo_tube"	"boshin_naval_torpedo"	"torpedo_tube"	"boshin_engine_torpedo"	"shogun_cavalry_katana"	"torpedo_tube_destroyed"	"torpedo_tube_destruction_anim"	"Boshin_Torpedo_Tube"
"boshin_parrott_cannon"	"boshin_artillery_medium"	"parrott_gun"	"boshin_engine_parrott_cannon"	"shogun_katana"	"parrott_gun_destroyed_model"	"parrott_gun_destruction_anim"	"Boshin_Parrott_Cannon"
"boshin_shogun_tower_bow"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_starfort_wall_cannon"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_tower_bow"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_tower_gatling_gun"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_tower_matchlock"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_tower_rifle"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_tower_wall_gun"	"boshin_artillery_medium"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"boshin_wooden_cannon"	"artillery_breech_cannon"	"wooden_cannon"	"boshin_engine_wooden_cannon"	"shogun_katana"	"wooden_cannon_destroyed"	"wooden_cannon_destruction_anim"	"Boshin_Wooden_Cannon"
"napoleaon_land_cannon"	"boshin_artillery_medium"	"Field_Cannon_12lb"	"engine_cannon"	"shogun_katana"	"field_cannon_destroyed_model_12lb"	"Field_Cannon_12lb_destruction"	"Land_Cannon"
"shogun_european_cannon"	"artillery_breech_cannon"	"breech_cannon"	"shogun_engine_fixed_cannon"	"shogun_katana"	"breech_cannon_destroyed_model"	"breech_cannon_destruction_anim"	"Shogun_Fixed_Cannon"
"shogun_european_naval_cannon"	"naval_cannon"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"shogun_japanese_cannon"	"artillery_breech_cannon"	"Naval_Cannon_12lb"	"shogun_engine_fixed_cannon"	"shogun_katana"	"breech_cannon_destroyed_model"	"breech_cannon_destruction_anim"	"Shogun_Fixed_Cannon"
"shogun_japanese_naval_cannon"	"naval_cannon"	"Naval_Cannon_6lb"	"engine_naval_cannon"	"shogun_katana"	"Naval_Cannon_12lb_destroyed"	"Naval_Cannon_12lb_destruction"	"Naval_Deck_Cannon"
"shogun_mangonel"	"artillery_mangonel"	"mangonel"	"shogun_engine_mangonel"	"shogun_katana"	"mangonel_destruction_model"	"mangonel_destruction_anim"	"Shogun_Mangonel"
