version 1, schema warscape_animated_tables
Filename_x0020_WA_ID(string)	Path(string)	Category(string)
""	"RigidModels\\Buildings\\fort_stockade"	"animation"
"all_resource_mining_gems_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_gold_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_iron_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"all_resource_mining_silver_lvl1_blend"	"RigidModels/CampaignBuildings/Textures"	"campaign_building"
"All_upgrade_available_icon"	"RigidModels/CampaignBuildings/CampaignProps/Textures"	"campaign_building"
"american_bridge_basic_1middle_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_1middle_wide_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_2middle_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_2middle_wide_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_3middle_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_3middle_wide_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_basic_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_bridge_refined_piece02_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_church_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house01b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house02_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house02b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house03_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house03b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house04_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house04b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house05_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house05b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house06_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_house06b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_monument_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_ruin01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural01_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural01b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural02_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural02b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural03_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_rural03b_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_townhall_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_townhall_piece01_destruct02"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"american_warehouse_piece01_destruct01"	"RigidModels\\Buildings\\AAA_TEXTURES"	"animation"
"Ammo_Caisson_Austria_destruction"	"EngineModels/Textures_Austria"	"animation"
"Ammo_Caisson_Britain_destruction"	"EngineModels/Textures_Britain"	"animation"
"Ammo_Caisson_destruction"	"EngineModels/Textures"	"animation"
"Ammo_Caisson_France_destruction"	"EngineModels/Textures_France"	"animation"
"Ammo_Caisson_Prussia_destruction"	"EngineModels/Textures_Prussia"	"animation"
"Ammo_Caisson_Russia_destruction"	"EngineModels/Textures_Russia"	"animation"
"barbary_pirates"	"unitmodels/textures/barbary_pirates"	"animation"
"camel_base"	"UnitModels/camel/Textures/camel_base"	"animation"
"campaign_blucher"	"unitmodels\\textures\\campaign_general_blucher"	"animation"
"campaign_eu_trade_ship"	"RigidModels\\CampaignTradeRoutes"	"campaign_animation"
"campaign_eu_tradecart"	"RigidModels\\CampaignTradeRoutes"	"campaign_animation"
"Campaign_euro_admiral"	"unitmodels/textures/Campaign_euro_admiral"	"animation"
"campaign_euro_captain1"	"UnitModels/Textures/campaign_euro_captain1"	"animation"
"campaign_euro_captain2"	"UnitModels/Textures/campaign_euro_captain2"	"animation"
"Campaign_Euro_Catholic_Priest"	"unitmodels/textures/Campaign_Euro_Catholic_Priest"	"animation"
"campaign_euro_colonel"	"unitmodels/textures/campaign_euro_colonel"	"animation"
"campaign_euro_general1"	"UnitModels/Textures/campaign_euro_general1"	"animation"
"campaign_euro_general2"	"UnitModels/Textures/campaign_euro_general2"	"animation"
"campaign_euro_general2_austria"	"UnitModels/Textures/campaign_euro_captain1"	"animation"
"campaign_euro_general2_austrian_rebels"	"UnitModels/Textures/campaign_euro_captain1"	"animation"
"campaign_euro_general2_belgium"	"UnitModels/Textures/campaign_euro_general1"	"animation"
"campaign_euro_general2_britain"	"UnitModels/Textures/campaign_euro_general1"	"animation"
"campaign_euro_general2_british_rebels"	"UnitModels/Textures/campaign_euro_general1"	"animation"
"campaign_euro_general2_catalonia"	"UnitModels/Textures/campaign_euro_captain1"	"animation"
"campaign_euro_general2_cossack_rebels"	"UnitModels/Textures/campaign_euro_captain2"	"animation"
"campaign_euro_general2_courland"	"UnitModels/Textures/campaign_euro_captain1"	"animation"
