version 1, schema _kv_morale_ext_tables
key(string)	unknown2(int)	unknown3(int)	unknown4(int)	unknown5(int)
"routing_unit_effect_distance_flank"	5	5	5	10
"routing_unit_effect_distance_front"	5	5	5	10
"surprise_timeout"	5	5	5	10
"total_casualties_penalty_40"	5	5	5	10
"total_casualties_penalty_60"	5	5	5	10
"total_casualties_penalty_80"	5	5	5	10
"total_casualties_penalty_90"	5	5	5	10
"ume_concerned_army_destruction"	5	5	5	10
"ume_concerned_attacked_by_artillery"	5	5	5	10
"ume_concerned_flanks_exposed_single"	5	5	5	10
"ume_concerned_attacked_by_projectile"	5	5	5	10
"ume_concerned_exhausted"	5	5	5	10
"ume_concerned_flanks_exposed_multiple"	5	5	5	10
"ume_concerned_general_dead"	5	5	5	10
"ume_concerned_general_died_recently"	5	5	5	10
"ume_concerned_general_fled_recently"	5	5	5	10
"ume_concerned_horses_frightened"	5	5	5	10
"ume_concerned_panic"	5	5	5	10
"ume_concerned_surprised"	5	5	5	10
"ume_concerned_tired"	5	5	5	10
"waver_base_timeout"	5	5	5	10
"ume_concerned_unit_frightened"	5	5	5	10
"ume_concerned_very_tired"	5	5	5	10
"ume_encouraged_flanks_secure"	5	5	5	10
"ume_encouraged_inspired"	5	5	5	10
"ume_encouraged_on_the_hill"	5	5	5	10
"ums_broken_threshold_lower"	5	5	5	10
"ums_broken_threshold_upper"	5	5	5	10
"ums_confident_threshold_lower"	5	5	5	10
"ums_confident_threshold_upper"	5	5	5	10
"ums_eager_threshold_lower"	5	5	5	10
"ums_eager_threshold_upper"	5	5	5	10
"ums_impetuous_threshold_lower"	5	5	5	10
"ums_shaken_threshold_lower"	5	5	5	10
"ums_shaken_threshold_upper"	5	5	5	10
"ums_steady_threshold_lower"	5	5	5	10
"ums_steady_threshold_upper"	5	5	5	10
"ums_wavering_threshold_lower"	5	5	5	10
"ums_wavering_threshold_upper"	5	5	5	10
"was_attacked_in_flank"	5	5	5	10
"was_attacked_in_front"	5	5	5	10
"was_attacked_in_rear"	5	5	5	10
"recent_casualties_shock_threshold"	5	5	5	10
"blood_bonus_12"	5	5	5	10
"blood_bonus_5"	5	5	5	10
"blood_bonus_7"	5	5	5	10
"broken_finish_base_timeout"	5	5	5	10
"charge_bonus"	5	5	5	10
"charge_timeout"	5	5	5	10
"defensive_fort"	5	5	5	10
"extended_casualties_penalty_10"	5	5	5	10
"extended_casualties_penalty_15"	5	5	5	10
"extended_casualties_penalty_33"	5	5	5	10
"extended_casualties_penalty_50"	5	5	5	10
"extended_casualties_penalty_80"	5	5	5	10
"fear_effect_range"	5	5	5	10
"fighting_cavalry"	5	5	5	10
"morale_base"	5	5	5	10
"recent_casualties_penalty_10"	5	5	5	10
"recent_casualties_penalty_15"	5	5	5	10
"recent_casualties_penalty_33"	5	5	5	10
"recent_casualties_penalty_50"	5	5	5	10
"recent_casualties_penalty_6"	5	5	5	10
"total_casualties_penalty_20"	5	5	5	10
