version 1, schema campaign_difficulty_handicap_effects_tables
Difficulty(int)	True__x0023__Player_x0020_False__x0023__AI(boolean)	Effect_IDRef(string)	Magnitude(float)
2	false	"policing_cost_mod"	0
1	false	"policing_cost_mod"	0
0	false	"recruitment_cost_mod_land_all"	0
0	false	"agent_cap_eastern_scholar"	0
0	false	"agent_cap_gentleman"	0
0	false	"agent_cap_missionary"	0
0	false	"building_cost_mod_farms"	0
0	false	"building_cost_mod_happiness"	0
0	false	"building_cost_mod_industry"	0
0	false	"building_cost_mod_mines"	0
0	false	"building_cost_mod_plantations"	0
0	false	"mod_pop_growth"	0
0	false	"Movement_Points_All"	0
0	false	"personal_security"	0
0	false	"policing_cost_mod"	0
0	false	"pop_maxpop_modifier"	0
0	false	"repression_character"	0
0	false	"subterfuge_counterspying"	0
1	false	"building_cost_mod_all"	0
1	false	"policing_cost_mod"	0
1	false	"pop_maxpop_modifier"	0
1	false	"research_rate_mod"	30
1	false	"agent_cap_eastern_scholar"	0
1	false	"agent_cap_gentleman"	0
1	false	"agent_cap_missionary"	0
1	false	"building_cost_mod_farms"	0
1	false	"building_cost_mod_happiness"	0
1	false	"building_cost_mod_industry"	0
1	false	"building_cost_mod_mines"	0
1	false	"building_cost_mod_plantations"	0
1	false	"mod_pop_growth"	0
1	false	"Movement_Points_All"	0
1	false	"naval_recruitment_points"	0
1	false	"personal_security"	0
1	false	"recruitment_cost_mod_land_all"	0
1	false	"recruitment_cost_mod_naval_all"	0
1	false	"recruitment_points"	0
1	false	"repression_character"	0
1	false	"subterfuge_counterspying"	0
2	false	"agent_cap_eastern_scholar"	0
2	false	"agent_cap_gentleman"	0
2	false	"agent_cap_missionary"	0
2	false	"building_cost_mod_farms"	0
2	false	"building_cost_mod_happiness"	0
2	false	"building_cost_mod_industry"	0
2	false	"building_cost_mod_mines"	0
2	false	"building_cost_mod_plantations"	0
2	false	"mod_pop_growth"	0
2	false	"Movement_Points_All"	0
2	false	"naval_recruitment_points"	0
2	false	"personal_security"	0
2	false	"policing_cost_mod"	0
2	false	"pop_maxpop_modifier"	0
2	false	"recruitment_cost_mod_land_all"	0
2	false	"recruitment_cost_mod_naval_all"	0
2	false	"recruitment_points"	0
2	false	"repression_character"	0
2	false	"subterfuge_counterspying"	0
2	false	"gdp_mod_all"	40
1	false	"gdp_mod_all"	25
0	false	"gdp_mod_all"	15
-1	false	"gdp_mod_all"	7
2	false	"research_rate_mod"	40
0	false	"research_rate_mod"	20
-1	false	"research_rate_mod"	15
-2	true	"gdp_mod_all"	-20
-1	true	"gdp_mod_all"	-15
0	true	"gdp_mod_all"	-7
-1	false	"upkeep_cost_mod_land_all"	-12
0	false	"upkeep_cost_mod_land_all"	-17
1	false	"upkeep_cost_mod_land_all"	-28
2	false	"upkeep_cost_mod_land_all"	-38
-1	false	"upkeep_cost_mod_naval_all"	-12
0	false	"upkeep_cost_mod_naval_all"	-17
1	false	"upkeep_cost_mod_naval_all"	-28
2	false	"upkeep_cost_mod_naval_all"	-38
