version 1, schema building_factionwide_effects_junctions_tables, guid 0408d4dd-2077-4c6b-a0ce-73e430aea41d
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"GEM_Buddhist_1_Buddhist_Sanctuary"	"gem_agent_cap_monk"	1
"GEM_Buddhist_2_Buddhist_Temple"	"gem_agent_cap_monk"	1
"GEM_Buddhist_3_Buddhist_Monastery"	"gem_agent_cap_monk"	1
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"gem_agent_cap_monk"	1
"GEM_Clan_1_Shinden"	"gem_agent_cap_dancer"	1
"GEM_Clan_2_Mandokoro"	"gem_agent_cap_dancer"	1
"GEM_Clan_3_Province_Magistrate"	"gem_agent_cap_dancer"	1
"GEM_Clan_4_Fujiwara_Palace"	"gem_agent_cap_dancer"	1
"GEM_Clan_4_Fujiwara_Palace"	"gem_tech_admin_cost_mod"	20
"GEM_Clan_4_Minamoto_Palace"	"gem_agent_cap_dancer"	1
"GEM_Clan_4_Minamoto_Palace"	"gem_tech_admin_cost_mod"	20
"GEM_Clan_4_Taira_Palace"	"gem_agent_cap_dancer"	1
"GEM_Clan_4_Taira_Palace"	"gem_tech_admin_cost_mod"	20
"GEM_Economy_1_Barter"	"gem_agent_cap_inspector"	1
"GEM_Economy_2_Food_Stores"	"gem_agent_cap_inspector"	1
"GEM_Economy_2_Market"	"gem_agent_cap_inspector"	1
"GEM_Economy_3_Goods_Exchange"	"gem_agent_cap_inspector"	1
"GEM_Economy_3_Granary"	"gem_agent_cap_inspector"	1
"GEM_Economy_4_Grain_Warehouse"	"gem_agent_cap_inspector"	1
"GEM_Economy_4_Merchant_Guild"	"gem_agent_cap_inspector"	1
"GEM_Intellectual_1_School"	"research_points"	3
"GEM_Intellectual_2_Calligraphy_School"	"research_points"	6
"GEM_Intellectual_3_Provincial_Academy"	"research_points"	10
"GEM_Intellectual_4_Confucian_Academy"	"research_points"	20
"GEM_Region_Specialty_Intellectual_1_State_Academy"	"research_points"	20
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	"gem_agent_cap_scout"	1
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	"gem_agent_cap_scout"	1
"GEM_Region_Specialty_Ninja_3_Smuggling_Network"	"gem_agent_cap_scout"	2
"SHO_Buddhist_1_Temple"	"agent_cap_monk"	1
"SHO_Buddhist_1_Temple"	"research_points_bonus_civil"	3
"SHO_Buddhist_2_Monastery"	"agent_cap_monk"	1
"SHO_Buddhist_2_Monastery"	"research_points_bonus_civil"	5
"SHO_Buddhist_3_Temple_Complex"	"agent_cap_monk"	1
"SHO_Buddhist_3_Temple_Complex"	"research_points_bonus_civil"	10
"SHO_Buddhist_4_Legendary_Temple"	"agent_cap_monk"	1
"SHO_Buddhist_4_Legendary_Temple"	"research_points_bonus_civil"	15
