version 1, schema unit_to_unit_abilities_junctions_tables
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"12_lber_land_cannon_persian"	"gabionade"
"18_lber_land_cannon_persian"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_caucasian"	"gabionade"
"24_lber_land_cannon_(demi_cannon)_persian"	"gabionade"
"24_lber_land_cannon_persian"	"gabionade"
"4_inch_mortar_persian"	"gabionade"
"8_inch_mortar_persian"	"gabionade"
"9_lber_land_cannon_(saker)_caucasian"	"gabionade"
"9_lber_land_cannon_(saker)_persian"	"gabionade"
"east_afghan_sherbacha"	"wedge_formation"
"east_afghan_sherbacha"	"diamond_formation"
"east_ethnic_musketeers_bargir_nerfed"	"square_formation"
"east_ethnic_musketmen_islamic_musketeers"	"square_formation"
"east_ethnic_musketmen_jazayerchi"	"chevaux_de_frise"
"east_ethnic_musketmen_jazayerchi"	"earthworks"
"east_ethnic_musketmen_tofangchi"	"square_formation"
"east_ethnic_musketmen_tufekci"	"square_formation"
"east_ethnic_musketmen_tufekci_garrison"	"square_formation"
"east_ethnic_hillmen_musketeers_caucasian"	"fire_volley"
"east_ethnic_hillmen_musketeers_caucasian"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_caucasian_garrison"	"fire_volley"
"east_ethnic_hillmen_musketeers_caucasian_garrison"	"light_infantry_behaviour"
"east_ethnic_hillmen_musketeers_jezail"	"fire_volley"
"east_ethnic_hillmen_musketeers_jezail"	"light_infantry_behaviour"
"east_ethnic_warriors_barbary_pirates_with_grenades"	"fire_volley"
"east_guard_cavalry_qurchi"	"diamond_formation"
"east_guard_cavalry_qurchi"	"wedge_formation"
"east_guard_cavalry_silahdar"	"diamond_formation"
"east_guard_cavalry_silahdar"	"wedge_formation"
"east_heavy_cavalry_mirza"	"diamond_formation"
"east_heavy_cavalry_mirza"	"wedge_formation"
"east_heavy_cavalry_savar"	"diamond_formation"
"east_heavy_cavalry_savar"	"wedge_formation"
"east_heavy_cavalry_sowar"	"diamond_formation"
"east_heavy_cavalry_sowar"	"wedge_formation"
"east_irregular_cavalry_circassian"	"diamond_formation"
"east_irregular_cavalry_circassian"	"wedge_formation"
"east_lancers_berber"	"diamond_formation"
"east_lancers_berber"	"wedge_formation"
"east_lancers_deli"	"diamond_formation"
"east_lancers_deli"	"wedge_formation"
"east_lancers_oglans"	"diamond_formation"
"east_lancers_oglans"	"wedge_formation"
"east_light_cavalry_berber"	"diamond_formation"
"east_light_cavalry_berber"	"wedge_formation"
"east_light_cavalry_jigits"	"diamond_formation"
"east_light_cavalry_jigits"	"wedge_formation"
"east_light_cavalry_nogai"	"diamond_formation"
"east_light_cavalry_nogai"	"wedge_formation"
"east_pikemen_gholam"	"pike_square_formation"
"east_pikemen_gholam"	"pike_wall_formation"
"east_pikemen_sadrosho"	"pike_square_formation"
"east_pikemen_sadrosho"	"pike_wall_formation"
"east_sikh_infantry_musketeers_nerfed"	"square_formation"
"euro_line_infantry_russia_suvorov"	"chevaux_de_frise"
"euro_line_infantry_russia_suvorov"	"earthworks"
"euro_line_infantry_russia_suvorov"	"fire_and_advance"
"euro_line_infantry_russia_suvorov"	"rank_fire"
"euro_line_infantry_russia_suvorov"	"square_formation"
"euro_line_infantry_russia_trained"	"chevaux_de_frise"
"euro_line_infantry_russia_trained"	"earthworks"
"euro_line_infantry_russia_trained"	"fire_and_advance"
"euro_line_infantry_russia_trained"	"rank_fire"
"euro_line_infantry_russia_trained"	"square_formation"
"glekhebi"	"chevaux_de_frise"
"glekhebi"	"earthworks"
"gorodskiye_streltsy_musket"	"chevaux_de_frise"
"gorodskiye_streltsy_musket"	"earthworks"
"janissaries_anatolian"	"chevaux_de_frise"
"janissaries_anatolian"	"earthworks"
"janissaries_anatolian_kupa"	"chevaux_de_frise"
"janissaries_anatolian_kupa"	"earthworks"
"mameluks_buffed"	"diamond_formation"
"mameluks_buffed"	"wedge_formation"
"pirates_with_grenades"	"fire_volley"
