version 1, schema campaign_ai_character_skill_tree_manager_agent_junctions_tables, guid 097e0e52-afbd-49a0-ab2d-538bc608fffb
unknown1(string)	unknown2(string)	unknown3(string)
"bos_geisha_skills"	"default"	"ashigaru"
"bos_general_skills"	"default"	"ashigaru"
"bos_ishinshishi_skills"	"default"	"ashigaru"
"bos_shinobi_skills"	"default"	"ashigaru"
"bos_shinsengumi_skills"	"default"	"ashigaru"
"bos_veteran_skills"	"default"	"ashigaru"
"geisha_skills"	"default"	"ashigaru"
"gem_dancer_skills"	"default"	"ashigaru"
"gem_general_skills"	"default"	"ashigaru"
"gem_inspector_skills"	"default"	"ashigaru"
"gem_monk_skills"	"default"	"ashigaru"
"gem_spy_skills"	"default"	"ashigaru"
"general_skills"	"general_ashigaru"	"ashigaru"
"metsuke_skills"	"default"	"ashigaru"
"missionary_skills"	"default"	"ashigaru"
"monk_skills"	"default"	"ashigaru"
"ninja_skills"	"default"	"ashigaru"
"bos_geisha_skills"	"default"	"default"
"bos_general_skills"	"default"	"default"
"bos_ishinshishi_skills"	"default"	"default"
"bos_shinobi_skills"	"default"	"default"
"bos_shinsengumi_skills"	"default"	"default"
"bos_veteran_skills"	"default"	"default"
"geisha_skills"	"default"	"default"
"gem_dancer_skills"	"default"	"default"
"gem_general_skills"	"default"	"default"
"gem_inspector_skills"	"default"	"default"
"gem_monk_skills"	"default"	"default"
"gem_spy_skills"	"default"	"default"
"general_skills"	"default"	"default"
"metsuke_skills"	"default"	"default"
"missionary_skills"	"default"	"default"
"monk_skills"	"default"	"default"
"ninja_skills"	"default"	"default"
"bos_geisha_skills"	"default"	"horseman"
"bos_general_skills"	"default"	"horseman"
"bos_ishinshishi_skills"	"default"	"horseman"
"bos_shinobi_skills"	"default"	"horseman"
"bos_shinsengumi_skills"	"default"	"horseman"
"bos_veteran_skills"	"default"	"horseman"
"geisha_skills"	"default"	"horseman"
"gem_dancer_skills"	"default"	"horseman"
"gem_general_skills"	"default"	"horseman"
"gem_inspector_skills"	"default"	"horseman"
"gem_monk_skills"	"default"	"horseman"
"gem_spy_skills"	"default"	"horseman"
"general_skills"	"general_horseman"	"horseman"
"metsuke_skills"	"default"	"horseman"
"missionary_skills"	"default"	"horseman"
"monk_skills"	"default"	"horseman"
"ninja_skills"	"default"	"horseman"
"bos_geisha_skills"	"default"	"ikko"
"bos_general_skills"	"default"	"ikko"
"bos_ishinshishi_skills"	"default"	"ikko"
"bos_shinobi_skills"	"default"	"ikko"
"bos_shinsengumi_skills"	"default"	"ikko"
"bos_veteran_skills"	"default"	"ikko"
"geisha_skills"	"default"	"ikko"
"gem_dancer_skills"	"default"	"ikko"
"gem_general_skills"	"default"	"ikko"
"gem_inspector_skills"	"default"	"ikko"
"gem_monk_skills"	"default"	"ikko"
"gem_spy_skills"	"default"	"ikko"
"general_skills"	"default"	"ikko"
"ikko_general_skills"	"default"	"ikko"
"ikko_monk_skills"	"default"	"ikko"
"metsuke_skills"	"default"	"ikko"
"missionary_skills"	"default"	"ikko"
"ninja_skills"	"default"	"ikko"
"bos_geisha_skills"	"default"	"ninja"
"bos_general_skills"	"default"	"ninja"
"bos_ishinshishi_skills"	"default"	"ninja"
"bos_shinobi_skills"	"default"	"ninja"
"bos_shinsengumi_skills"	"default"	"ninja"
"bos_veteran_skills"	"default"	"ninja"
"geisha_skills"	"default"	"ninja"
"gem_dancer_skills"	"default"	"ninja"
"gem_general_skills"	"default"	"ninja"
"gem_inspector_skills"	"default"	"ninja"
"gem_monk_skills"	"default"	"ninja"
"gem_spy_skills"	"default"	"ninja"
"general_skills"	"general_ninja"	"ninja"
"metsuke_skills"	"default"	"ninja"
"missionary_skills"	"default"	"ninja"
"monk_skills"	"default"	"ninja"
"ninja_skills"	"default"	"ninja"
"bos_geisha_skills"	"default"	"pirate"
"bos_general_skills"	"default"	"pirate"
"bos_ishinshishi_skills"	"default"	"pirate"
"bos_shinobi_skills"	"default"	"pirate"
"bos_shinsengumi_skills"	"default"	"pirate"
"bos_veteran_skills"	"default"	"pirate"
"geisha_skills"	"default"	"pirate"
"gem_dancer_skills"	"default"	"pirate"
"gem_general_skills"	"default"	"pirate"
"gem_inspector_skills"	"default"	"pirate"
"gem_monk_skills"	"default"	"pirate"
"gem_spy_skills"	"default"	"pirate"
"general_skills"	"general_pirate"	"pirate"
"metsuke_skills"	"default"	"pirate"
"missionary_skills"	"default"	"pirate"
"monk_skills"	"default"	"pirate"
"ninja_skills"	"default"	"pirate"
"bos_geisha_skills"	"default"	"poet"
"bos_general_skills"	"default"	"poet"
"bos_ishinshishi_skills"	"default"	"poet"
"bos_shinobi_skills"	"default"	"poet"
"bos_shinsengumi_skills"	"default"	"poet"
"bos_veteran_skills"	"default"	"poet"
"geisha_skills"	"default"	"poet"
"gem_dancer_skills"	"default"	"poet"
"gem_general_skills"	"default"	"poet"
"gem_inspector_skills"	"default"	"poet"
"gem_monk_skills"	"default"	"poet"
"gem_spy_skills"	"default"	"poet"
"general_skills"	"general_poet"	"poet"
"metsuke_skills"	"default"	"poet"
"missionary_skills"	"default"	"poet"
"monk_skills"	"default"	"poet"
"ninja_skills"	"default"	"poet"
"bos_geisha_skills"	"default"	"strategist"
"bos_general_skills"	"default"	"strategist"
"bos_ishinshishi_skills"	"default"	"strategist"
"bos_shinobi_skills"	"default"	"strategist"
"bos_shinsengumi_skills"	"default"	"strategist"
"bos_veteran_skills"	"default"	"strategist"
"geisha_skills"	"default"	"strategist"
