version 1, schema battle_type_unit_to_faction_presets_tables, guid 56b23fcf-24ee-41cb-8433-aa92e610067f
unknown1(string)	unknown2(int)	Unit_IDRef(string)	unknown3(int)
"1209"	91	"Gen_Taisho"	0
"1211"	93	"Gen_Taisho"	0
"1213"	95	"Gen_Taisho"	0
"1215"	103	"Gen_Taisho"	0
"1217"	105	"Gen_Taisho"	0
"1219"	107	"Gen_Taisho"	0
"1221"	97	"Heavy_Ship_Heavy_Bune"	0
"1223"	99	"Heavy_Ship_Heavy_Bune"	0
"1225"	101	"Heavy_Ship_Heavy_Bune"	0
"1227"	109	"Heavy_Ship_Heavy_Bune"	0
"1229"	111	"Heavy_Ship_Heavy_Bune"	0
"1231"	113	"Heavy_Ship_Heavy_Bune"	0
