version 1, schema videos_subtitles_junctions_tables
unknown1(string)	unknown2(int)	unknown3(int)	unknown4(string)
"NCS_01_Tut_Intro.bik"	85	214	"NCS_01_Tut_Intro.bik_01"
"NCS_01_Tut_Intro.bik"	235	325	"NCS_01_Tut_Intro.bik_02"
"NCS_01_Tut_Intro.bik"	379	610	"NCS_01_Tut_Intro.bik_03"
"NCS_01_Tut_Intro.bik"	650	850	"NCS_01_Tut_Intro.bik_04"
"NCS_01_Tut_Intro.bik"	905	1002	"NCS_01_Tut_Intro.bik_05"
"NCS_01_Tut_Intro.bik"	1025	1330	"NCS_01_Tut_Intro.bik_06"
"NCS_02_Tut_Outro.bik"	50	244	"NCS_02_Tut_Outro.bik_01"
"NCS_02_Tut_Outro.bik"	276	446	"NCS_02_Tut_Outro.bik_02"
"NCS_02_Tut_Outro.bik"	497	646	"NCS_02_Tut_Outro.bik_03"
"NCS_02_Tut_Outro.bik"	680	910	"NCS_02_Tut_Outro.bik_04"
"NCS_03_Ita_Intro.bik"	100	319	"NCS_03_Ita_Intro.bik_01"
"NCS_03_Ita_Intro.bik"	390	595	"NCS_03_Ita_Intro.bik_02"
"NCS_03_Ita_Intro.bik"	615	823	"NCS_03_Ita_Intro.bik_03"
"NCS_03_Ita_Intro.bik"	950	1065	"NCS_03_Ita_Intro.bik_04"
"NCS_03_Ita_Intro.bik"	1256	1334	"NCS_03_Ita_Intro.bik_05"
"NCS_03_Ita_Intro.bik"	1410	1450	"NCS_03_Ita_Intro.bik_06"
"NCS_03_Ita_Intro.bik"	1477	1550	"NCS_03_Ita_Intro.bik_07"
"NCS_03_Ita_Intro.bik"	1580	1670	"NCS_03_Ita_Intro.bik_08"
"NCS_03_Ita_Intro.bik"	1681	1855	"NCS_03_Ita_Intro.bik_09"
"NCS_03_Ita_Intro.bik"	1891	2149	"NCS_03_Ita_Intro.bik_10"
"NCS_03_Ita_Intro.bik"	2170	2293	"NCS_03_Ita_Intro.bik_11"
"NCS_03_Ita_Intro.bik"	2311	2455	"NCS_03_Ita_Intro.bik_12"
"NCS_04_Ita_Outro.bik"	30	230	"NCS_04_Ita_Outro.bik_01"
"NCS_04_Ita_Outro.bik"	243	385	"NCS_04_Ita_Outro.bik_02"
"NCS_04_Ita_Outro.bik"	410	689	"NCS_04_Ita_Outro.bik_03"
"NCS_04_Ita_Outro.bik"	757	899	"NCS_04_Ita_Outro.bik_04"
"NCS_04_Ita_Outro.bik"	927	1214	"NCS_04_Ita_Outro.bik_05"
"NCS_05_Egy_Intro.bik"	45	180	"NCS_05_Egy_Intro.bik_01"
"NCS_05_Egy_Intro.bik"	197	343	"NCS_05_Egy_Intro.bik_02"
"NCS_05_Egy_Intro.bik"	375	719	"NCS_05_Egy_Intro.bik_03"
"NCS_05_Egy_Intro.bik"	797	1070	"NCS_05_Egy_Intro.bik_04"
"NCS_05_Egy_Intro.bik"	1105	1321	"NCS_05_Egy_Intro.bik_05"
"NCS_05_Egy_Intro.bik"	1340	1540	"NCS_05_Egy_Intro.bik_06"
"NCS_05_Egy_Intro.bik"	1545	1716	"NCS_05_Egy_Intro.bik_07"
"NCS_05_Egy_Intro.bik"	1730	2000	"NCS_05_Egy_Intro.bik_08"
"NCS_06_Egy_Outro.bik"	50	342	"NCS_06_Egy_Outro.bik_01"
"NCS_06_Egy_Outro.bik"	420	544	"NCS_06_Egy_Outro.bik_02"
"NCS_06_Egy_Outro.bik"	561	730	"NCS_06_Egy_Outro.bik_03"
"NCS_06_Egy_Outro.bik"	773	945	"NCS_06_Egy_Outro.bik_04"
"NCS_06_Egy_Outro.bik"	970	1017	"NCS_06_Egy_Outro.bik_05"
"NCS_07_Eur_Intro.bik"	15	50	"NCS_07_Eur_Intro.bik_01"
"NCS_07_Eur_Intro.bik"	65	470	"NCS_07_Eur_Intro.bik_02"
"NCS_07_Eur_Intro.bik"	478	718	"NCS_07_Eur_Intro.bik_03"
"NCS_07_Eur_Intro.bik"	748	970	"NCS_07_Eur_Intro.bik_04"
"NCS_07_Eur_Intro.bik"	1040	1195	"NCS_07_Eur_Intro.bik_05"
"NCS_07_Eur_Intro.bik"	1213	1465	"NCS_07_Eur_Intro.bik_06"
"NCS_08_Eur_Outro.bik"	25	104	"NCS_08_Eur_Outro.bik_01"
"NCS_08_Eur_Outro.bik"	122	209	"NCS_08_Eur_Outro.bik_02"
"NCS_08_Eur_Outro.bik"	220	367	"NCS_08_Eur_Outro.bik_03"
"NCS_08_Eur_Outro.bik"	410	752	"NCS_08_Eur_Outro.bik_04"
"NCS_08_Eur_Outro.bik"	785	1008	"NCS_08_Eur_Outro.bik_05"
"NCS_09_Waterloo.bik"	110	249	"NCS_09_Waterloo.bik_01"
"NCS_09_Waterloo.bik"	265	510	"NCS_09_Waterloo.bik_02"
"NCS_09_Waterloo.bik"	525	858	"NCS_09_Waterloo.bik_03"
"NCS_09_Waterloo.bik"	880	970	"NCS_09_Waterloo.bik_04"
"NCS_09_Waterloo.bik"	1020	1180	"NCS_09_Waterloo.bik_05"
"NCS_09_Waterloo.bik"	1195	1280	"NCS_09_Waterloo.bik_06"
"NCS_09_Waterloo.bik"	1370	1620	"NCS_09_Waterloo.bik_07"
"NCS_09_Waterloo.bik"	1677	2058	"NCS_09_Waterloo.bik_08"
"NCS_09_Waterloo.bik"	2083	2430	"NCS_09_Waterloo.bik_09"
"NCS_09_Waterloo.bik"	2499	2812	"NCS_09_Waterloo.bik_10"
"NCS_09_Waterloo.bik"	2823	3082	"NCS_09_Waterloo.bik_11"
"NCS_09_Waterloo.bik"	3110	3415	"NCS_09_Waterloo.bik_12"
"NCS_09_Waterloo.bik"	3434	3897	"NCS_09_Waterloo.bik_13"
"NCS_09_Waterloo.bik"	3915	4065	"NCS_09_Waterloo.bik_14"
"NCS_10_Win.bik"	45	289	"NCS_10_Win.bik_01"
"NCS_10_Win.bik"	315	541	"NCS_10_Win.bik_02"
"NCS_10_Win.bik"	565	902	"NCS_10_Win.bik_03"
"NCS_10_Win.bik"	1070	1333	"NCS_10_Win.bik_04"
"NCS_10_Win.bik"	1363	1630	"NCS_10_Win.bik_05"
"NCS_11_Lose.bik"	35	199	"NCS_11_Lose.bik_01"
"NCS_11_Lose.bik"	227	368	"NCS_11_Lose.bik_02"
"NCS_11_Lose.bik"	389	851	"NCS_11_Lose.bik_03"
"NCS_11_Lose.bik"	900	1224	"NCS_11_Lose.bik_04"
"NCS_11_Lose.bik"	1273	1525	"NCS_11_Lose.bik_05"
"NHB_01_Arcole.bik"	100	170	"NHB_01_Arcole.bik_01"
"NHB_01_Arcole.bik"	185	320	"NHB_01_Arcole.bik_02"
"NHB_01_Arcole.bik"	330	570	"NHB_01_Arcole.bik_03"
"NHB_01_Arcole.bik"	593	810	"NHB_01_Arcole.bik_04"
"NHB_02_Pyramids.bik"	30	165	"NHB_02_Pyramids.bik_01"
"NHB_02_Pyramids.bik"	180	437	"NHB_02_Pyramids.bik_02"
"NHB_02_Pyramids.bik"	455	890	"NHB_02_Pyramids.bik_03"
"NHB_03_Nile.bik"	110	320	"NHB_03_Nile.bik_01"
"NHB_03_Nile.bik"	350	845	"NHB_03_Nile.bik_02"
"NHB_04_Austerlitz.bik"	90	315	"NHB_04_Austerlitz.bik_01"
"NHB_04_Austerlitz.bik"	330	515	"NHB_04_Austerlitz.bik_02"
"NHB_04_Austerlitz.bik"	540	832	"NHB_04_Austerlitz.bik_03"
"NHB_05_Trafalgar.bik"	100	260	"NHB_05_Trafalgar.bik_01"
"NHB_05_Trafalgar.bik"	280	560	"NHB_05_Trafalgar.bik_02"
"NHB_05_Trafalgar.bik"	580	830	"NHB_05_Trafalgar.bik_03"
"NHB_06_Borodino.bik"	100	225	"NHB_06_Borodino.bik_01"
"NHB_06_Borodino.bik"	250	450	"NHB_06_Borodino.bik_02"
"NHB_06_Borodino.bik"	475	847	"NHB_06_Borodino.bik_03"
"NHB_07_Dresden.bik"	60	360	"NHB_07_Dresden.bik_01"
"NHB_07_Dresden.bik"	390	615	"NHB_07_Dresden.bik_02"
"NHB_07_Dresden.bik"	640	850	"NHB_07_Dresden.bik_03"
"NHB_08_Ligny.bik"	98	202	"NHB_08_Ligny.bik_01"
"NHB_08_Ligny.bik"	230	515	"NHB_08_Ligny.bik_02"
"NHB_08_Ligny.bik"	540	804	"NHB_08_Ligny.bik_03"
"NHB_09_Waterloo.bik"	105	495	"NHB_09_Waterloo.bik_01"
"NHB_09_Waterloo.bik"	529	850	"NHB_09_Waterloo.bik_02"
"NHB_SE_01_Lodi.bik"	25	265	"NHB_SE_01_Lodi.bik_01"
"NHB_SE_01_Lodi.bik"	285	775	"NHB_SE_01_Lodi.bik_02"
"NHB_SE_01_Lodi.bik"	800	885	"NHB_SE_01_Lodi.bik_03"
