version 1, schema slots_tables
Slot_ID(string)	Agrar_town_x0020__x0028__x003F__x0029_(boolean)	Industrial_town_x0020__x0028__x003F__x0029_(boolean)	Port_x0020__x0028__x003F__x0029_(boolean)	unknown4(boolean)
"caribbean"	false	false	false	true
"corn"	true	false	false	true
"cuba"	false	false	false	true
"egypt"	false	false	false	true
"fish"	false	false	false	true
"fort"	false	false	false	false
"fur"	false	false	false	true
"gems"	false	false	false	true
"gold"	false	false	false	true
"india_highlands"	false	false	false	true
"iron"	false	false	false	true
"port"	false	false	true	false
"rice"	true	false	false	true
"settlement"	false	false	false	false
"settlement_army-admin"	false	false	false	false
"settlement_culture"	false	false	false	false
"settlement_fortification"	false	false	false	false
"settlement_government"	false	false	false	false
"settlement_minor"	false	false	false	false
"settlement_navy-admin"	false	false	false	false
"settlement_ordnance"	false	false	false	false
"settlement_road"	false	false	false	false
"sheep"	true	false	false	true
"silver"	false	false	false	true
"southern_usa"	false	false	false	true
"timber"	false	false	false	true
"town"	false	true	false	false
"town-metal"	false	true	false	false
"town-textile"	false	true	false	false
"tropical_humid"	false	false	false	true
"wheat"	true	false	false	true
"wine"	false	false	false	true
