version 1, schema technology_faction_junctions_tables
Tech_IDRef(string)	Faction_IDRef(string)
"enlightenment_anti_clericism"	"khanate_khiva"
"industry_textile_cotton_gin"	"khanate_khiva"
"industry_textile_spinning_frame"	"khanate_khiva"
"military_army_advanced_skirmishing"	"khanate_khiva"
"military_army_airguns"	"austria"
"military_army_european_doctrine"	"ottomans"
"military_army_screw_breach"	"britain"
"military_navy_mortar_ship_design"	"khanate_khiva"
"military_navy_pocket_chronometer"	"khanate_khiva"
"military_ordnance_explosive_rockets"	"austria"
"military_ordnance_explosive_rockets"	"bavaria"
"military_ordnance_explosive_rockets"	"britain"
"military_ordnance_explosive_rockets"	"courland"
"military_ordnance_explosive_rockets"	"denmark"
"military_ordnance_explosive_rockets"	"france"
"military_ordnance_explosive_rockets"	"genoa"
"military_ordnance_explosive_rockets"	"georgia"
"military_ordnance_explosive_rockets"	"greece"
"military_ordnance_explosive_rockets"	"hannover"
"military_ordnance_explosive_rockets"	"hessen"
"military_ordnance_explosive_rockets"	"holstein_gottorp"
"military_ordnance_explosive_rockets"	"hungary"
"military_ordnance_explosive_rockets"	"ireland"
"military_ordnance_explosive_rockets"	"maratha"
"military_ordnance_explosive_rockets"	"mecklenburg"
"military_ordnance_explosive_rockets"	"mughal"
"military_ordnance_explosive_rockets"	"naples_sicily"
"military_ordnance_explosive_rockets"	"netherlands"
"military_ordnance_explosive_rockets"	"norway"
"military_ordnance_explosive_rockets"	"papal_states"
"military_ordnance_explosive_rockets"	"piedmont_savoy"
"military_ordnance_explosive_rockets"	"poland_lithuania"
"military_ordnance_explosive_rockets"	"portugal"
"military_ordnance_explosive_rockets"	"prussia"
"military_ordnance_explosive_rockets"	"russia"
"military_ordnance_explosive_rockets"	"saxony"
"military_ordnance_explosive_rockets"	"scotland"
"military_ordnance_explosive_rockets"	"spain"
"military_ordnance_explosive_rockets"	"sweden"
"military_ordnance_explosive_rockets"	"swiss_confederation"
"military_ordnance_explosive_rockets"	"united_states"
"military_ordnance_explosive_rockets"	"venice"
"military_ordnance_explosive_rockets"	"westphalia"
"military_ordnance_explosive_rockets"	"wurttemberg"
"enlightenment_abolition_of_slavery"	"afghanistan"
"enlightenment_abolition_of_slavery"	"american_rebels"
"enlightenment_abolition_of_slavery"	"amerind_rebels"
"enlightenment_abolition_of_slavery"	"austria"
"enlightenment_abolition_of_slavery"	"austrian_rebels"
"enlightenment_abolition_of_slavery"	"barbary_rebels"
"enlightenment_abolition_of_slavery"	"barbary_states"
"enlightenment_abolition_of_slavery"	"bavaria"
"enlightenment_abolition_of_slavery"	"britain"
"enlightenment_abolition_of_slavery"	"british_rebels"
"enlightenment_abolition_of_slavery"	"british_settler_rebels"
"enlightenment_abolition_of_slavery"	"chechenya_dagestan"
"enlightenment_abolition_of_slavery"	"cherokee"
"enlightenment_abolition_of_slavery"	"colombia"
"enlightenment_abolition_of_slavery"	"cossack_rebels"
"enlightenment_abolition_of_slavery"	"courland"
"enlightenment_abolition_of_slavery"	"crimean_khanate"
"enlightenment_abolition_of_slavery"	"denmark"
"enlightenment_abolition_of_slavery"	"dutch_rebels"
"enlightenment_abolition_of_slavery"	"european_settler_rebels"
"enlightenment_abolition_of_slavery"	"france"
"enlightenment_abolition_of_slavery"	"french_rebels"
"enlightenment_abolition_of_slavery"	"french_settler_rebels"
"enlightenment_abolition_of_slavery"	"genoa"
"enlightenment_abolition_of_slavery"	"georgia"
"enlightenment_abolition_of_slavery"	"greece"
"enlightenment_abolition_of_slavery"	"greek_rebels"
"enlightenment_abolition_of_slavery"	"hannover"
"enlightenment_abolition_of_slavery"	"hessen"
"enlightenment_abolition_of_slavery"	"holstein_gottorp"
"enlightenment_abolition_of_slavery"	"hungary"
"enlightenment_abolition_of_slavery"	"huron"
"enlightenment_abolition_of_slavery"	"india_settler_rebels"
"enlightenment_abolition_of_slavery"	"inuit"
"enlightenment_abolition_of_slavery"	"ireland"
"enlightenment_abolition_of_slavery"	"iroquoi"
"enlightenment_abolition_of_slavery"	"italian_rebels"
"enlightenment_abolition_of_slavery"	"khanate_khiva"
"enlightenment_abolition_of_slavery"	"knights_stjohn"
"enlightenment_abolition_of_slavery"	"louisiana"
"enlightenment_abolition_of_slavery"	"mamelukes"
"enlightenment_abolition_of_slavery"	"maratha"
"enlightenment_abolition_of_slavery"	"maratha_rebels"
"enlightenment_abolition_of_slavery"	"mecklenburg"
"enlightenment_abolition_of_slavery"	"mexico"
"enlightenment_abolition_of_slavery"	"middle_east_settler_rebels"
"enlightenment_abolition_of_slavery"	"morocco"
"enlightenment_abolition_of_slavery"	"mughal"
"enlightenment_abolition_of_slavery"	"mughal_rebels"
"enlightenment_abolition_of_slavery"	"mysore"
"enlightenment_abolition_of_slavery"	"naples_sicily"
"enlightenment_abolition_of_slavery"	"netherlands"
"enlightenment_abolition_of_slavery"	"new_spain"
"enlightenment_abolition_of_slavery"	"norway"
"enlightenment_abolition_of_slavery"	"ottoman_rebels"
"enlightenment_abolition_of_slavery"	"ottomans"
"enlightenment_abolition_of_slavery"	"papal_states"
"enlightenment_abolition_of_slavery"	"persian_rebels"
"enlightenment_abolition_of_slavery"	"piedmont_savoy"
"enlightenment_abolition_of_slavery"	"pirates"
"enlightenment_abolition_of_slavery"	"plains"
"enlightenment_abolition_of_slavery"	"poland_lithuania"
"enlightenment_abolition_of_slavery"	"portugal"
"enlightenment_abolition_of_slavery"	"portugese_rebels"
"enlightenment_abolition_of_slavery"	"powhatan"
"enlightenment_abolition_of_slavery"	"prussia"
"enlightenment_abolition_of_slavery"	"prussian_rebels"
"enlightenment_abolition_of_slavery"	"pueblo"
"enlightenment_abolition_of_slavery"	"punjab"
"enlightenment_abolition_of_slavery"	"quebec"
"enlightenment_abolition_of_slavery"	"russia"
"enlightenment_abolition_of_slavery"	"safavids"
"enlightenment_abolition_of_slavery"	"saxony"
"enlightenment_abolition_of_slavery"	"scandinavian_rebels"
"enlightenment_abolition_of_slavery"	"scotland"
"enlightenment_abolition_of_slavery"	"sikh_rebels"
"enlightenment_abolition_of_slavery"	"slavic_rebels"
"enlightenment_abolition_of_slavery"	"spain"
"enlightenment_abolition_of_slavery"	"spanish_rebels"
"enlightenment_abolition_of_slavery"	"spanish_settler_rebels"
"enlightenment_abolition_of_slavery"	"sweden"
"enlightenment_abolition_of_slavery"	"swiss_confederation"
"enlightenment_abolition_of_slavery"	"thirteen_colonies"
"enlightenment_abolition_of_slavery"	"tuscany"
"enlightenment_abolition_of_slavery"	"united_states"
"enlightenment_abolition_of_slavery"	"venice"
"enlightenment_abolition_of_slavery"	"virginia"
"enlightenment_abolition_of_slavery"	"virginia_colonists"
"enlightenment_abolition_of_slavery"	"westphalia"
"enlightenment_abolition_of_slavery"	"wurttemberg"
"enlightenment_citizenship"	"afghanistan"
"enlightenment_citizenship"	"american_rebels"
"enlightenment_citizenship"	"amerind_rebels"
"enlightenment_citizenship"	"austria"
"enlightenment_citizenship"	"austrian_rebels"
"enlightenment_citizenship"	"barbary_rebels"
"enlightenment_citizenship"	"barbary_states"
"enlightenment_citizenship"	"bavaria"
"enlightenment_citizenship"	"britain"
"enlightenment_citizenship"	"british_rebels"
"enlightenment_citizenship"	"british_settler_rebels"
"enlightenment_citizenship"	"chechenya_dagestan"
"enlightenment_citizenship"	"cherokee"
"enlightenment_citizenship"	"colombia"
"enlightenment_citizenship"	"cossack_rebels"
"enlightenment_citizenship"	"courland"
"enlightenment_citizenship"	"crimean_khanate"
"enlightenment_citizenship"	"denmark"
"enlightenment_citizenship"	"dutch_rebels"
"enlightenment_citizenship"	"european_settler_rebels"
"enlightenment_citizenship"	"france"
"enlightenment_citizenship"	"french_rebels"
"enlightenment_citizenship"	"french_settler_rebels"
"enlightenment_citizenship"	"genoa"
"enlightenment_citizenship"	"georgia"
"enlightenment_citizenship"	"greece"
"enlightenment_citizenship"	"greek_rebels"
"enlightenment_citizenship"	"hannover"
"enlightenment_citizenship"	"hessen"
"enlightenment_citizenship"	"holstein_gottorp"
"enlightenment_citizenship"	"hungary"
"enlightenment_citizenship"	"huron"
"enlightenment_citizenship"	"india_settler_rebels"
"enlightenment_citizenship"	"inuit"
"enlightenment_citizenship"	"ireland"
"enlightenment_citizenship"	"iroquoi"
"enlightenment_citizenship"	"italian_rebels"
"enlightenment_citizenship"	"khanate_khiva"
"enlightenment_citizenship"	"knights_stjohn"
"enlightenment_citizenship"	"louisiana"
"enlightenment_citizenship"	"mamelukes"
"enlightenment_citizenship"	"maratha"
"enlightenment_citizenship"	"maratha_rebels"
"enlightenment_citizenship"	"mecklenburg"
"enlightenment_citizenship"	"mexico"
"enlightenment_citizenship"	"middle_east_settler_rebels"
"enlightenment_citizenship"	"morocco"
"enlightenment_citizenship"	"mughal"
"enlightenment_citizenship"	"mughal_rebels"
"enlightenment_citizenship"	"mysore"
"enlightenment_citizenship"	"naples_sicily"
"enlightenment_citizenship"	"netherlands"
"enlightenment_citizenship"	"new_spain"
"enlightenment_citizenship"	"norway"
"enlightenment_citizenship"	"ottoman_rebels"
"enlightenment_citizenship"	"ottomans"
"enlightenment_citizenship"	"papal_states"
"enlightenment_citizenship"	"persian_rebels"
"enlightenment_citizenship"	"piedmont_savoy"
"enlightenment_citizenship"	"pirates"
"enlightenment_citizenship"	"plains"
"enlightenment_citizenship"	"poland_lithuania"
"enlightenment_citizenship"	"portugal"
"enlightenment_citizenship"	"portugese_rebels"
"enlightenment_citizenship"	"powhatan"
"enlightenment_citizenship"	"prussia"
"enlightenment_citizenship"	"prussian_rebels"
"enlightenment_citizenship"	"pueblo"
"enlightenment_citizenship"	"punjab"
"enlightenment_citizenship"	"quebec"
"enlightenment_citizenship"	"russia"
"enlightenment_citizenship"	"safavids"
"enlightenment_citizenship"	"saxony"
"enlightenment_citizenship"	"scandinavian_rebels"
"enlightenment_citizenship"	"scotland"
"enlightenment_citizenship"	"sikh_rebels"
"enlightenment_citizenship"	"slavic_rebels"
"enlightenment_citizenship"	"spain"
"enlightenment_citizenship"	"spanish_rebels"
"enlightenment_citizenship"	"spanish_settler_rebels"
"enlightenment_citizenship"	"sweden"
"enlightenment_citizenship"	"swiss_confederation"
"enlightenment_citizenship"	"thirteen_colonies"
"enlightenment_citizenship"	"tuscany"
"enlightenment_citizenship"	"united_states"
"enlightenment_citizenship"	"venice"
"enlightenment_citizenship"	"virginia"
"enlightenment_citizenship"	"virginia_colonists"
"enlightenment_citizenship"	"westphalia"
"enlightenment_citizenship"	"wurttemberg"
"enlightenment_classical_economics"	"afghanistan"
"enlightenment_classical_economics"	"american_rebels"
"enlightenment_classical_economics"	"amerind_rebels"
"enlightenment_classical_economics"	"austria"
"enlightenment_classical_economics"	"austrian_rebels"
"enlightenment_classical_economics"	"barbary_rebels"
"enlightenment_classical_economics"	"barbary_states"
"enlightenment_classical_economics"	"bavaria"
"enlightenment_classical_economics"	"britain"
"enlightenment_classical_economics"	"british_rebels"
"enlightenment_classical_economics"	"british_settler_rebels"
"enlightenment_classical_economics"	"chechenya_dagestan"
"enlightenment_classical_economics"	"cherokee"
"enlightenment_classical_economics"	"colombia"
"enlightenment_classical_economics"	"cossack_rebels"
"enlightenment_classical_economics"	"courland"
"enlightenment_classical_economics"	"crimean_khanate"
"enlightenment_classical_economics"	"denmark"
"enlightenment_classical_economics"	"dutch_rebels"
"enlightenment_classical_economics"	"european_settler_rebels"
"enlightenment_classical_economics"	"france"
"enlightenment_classical_economics"	"french_rebels"
"enlightenment_classical_economics"	"french_settler_rebels"
"enlightenment_classical_economics"	"genoa"
"enlightenment_classical_economics"	"georgia"
"enlightenment_classical_economics"	"greece"
"enlightenment_classical_economics"	"greek_rebels"
"enlightenment_classical_economics"	"hannover"
"enlightenment_classical_economics"	"hessen"
"enlightenment_empiricism"	"spanish_rebels"
"enlightenment_empiricism"	"spanish_settler_rebels"
"enlightenment_empiricism"	"sweden"
"enlightenment_empiricism"	"swiss_confederation"
"enlightenment_empiricism"	"thirteen_colonies"
"enlightenment_empiricism"	"tuscany"
"enlightenment_empiricism"	"united_states"
"enlightenment_empiricism"	"venice"
"enlightenment_empiricism"	"virginia"
"enlightenment_empiricism"	"virginia_colonists"
"enlightenment_empiricism"	"westphalia"
"enlightenment_empiricism"	"wurttemberg"
"enlightenment_free_trade_doctrine"	"afghanistan"
"enlightenment_free_trade_doctrine"	"american_rebels"
"enlightenment_free_trade_doctrine"	"amerind_rebels"
"enlightenment_free_trade_doctrine"	"austria"
"enlightenment_free_trade_doctrine"	"austrian_rebels"
"enlightenment_free_trade_doctrine"	"barbary_rebels"
"enlightenment_free_trade_doctrine"	"barbary_states"
"enlightenment_free_trade_doctrine"	"bavaria"
"enlightenment_free_trade_doctrine"	"britain"
"enlightenment_free_trade_doctrine"	"british_rebels"
"enlightenment_free_trade_doctrine"	"british_settler_rebels"
"enlightenment_free_trade_doctrine"	"chechenya_dagestan"
"enlightenment_free_trade_doctrine"	"cherokee"
"enlightenment_free_trade_doctrine"	"colombia"
"enlightenment_free_trade_doctrine"	"cossack_rebels"
"enlightenment_free_trade_doctrine"	"courland"
"enlightenment_free_trade_doctrine"	"crimean_khanate"
"enlightenment_free_trade_doctrine"	"denmark"
"enlightenment_free_trade_doctrine"	"dutch_rebels"
"enlightenment_free_trade_doctrine"	"european_settler_rebels"
"enlightenment_free_trade_doctrine"	"france"
"enlightenment_free_trade_doctrine"	"french_rebels"
"enlightenment_free_trade_doctrine"	"french_settler_rebels"
"enlightenment_free_trade_doctrine"	"genoa"
"enlightenment_free_trade_doctrine"	"georgia"
"enlightenment_free_trade_doctrine"	"greece"
"enlightenment_free_trade_doctrine"	"greek_rebels"
"enlightenment_free_trade_doctrine"	"hannover"
"enlightenment_free_trade_doctrine"	"hessen"
"enlightenment_free_trade_doctrine"	"holstein_gottorp"
"enlightenment_free_trade_doctrine"	"hungary"
