version 1, schema warscape_rigid_lod_tables
Random_Index(string)	Model_filepath(string)	LodID(string)	Filename_x0020_WA_ID(string)
"-2146994534"	"RigidModels\\Buildings\\fort_ottoman_small\\fort_ottoman_small_piece04_destruct03_lod03.rigid_model"	"3_2"	"fort_ottoman_small_piece04_destruct03"
"-2146334743"	"RigidModels\\Buildings\\fort_indian_small\\fort_indian_small_piece05_destruct02_lod01.rigid_model"	"3_1"	"fort_indian_small_piece05_destruct02"
"-2146150397"	"RigidModels\\Buildings\\napoleon_shed04\\napoleon_shed04_piece01_destruct01_lod01.rigid_model"	"2_1"	"napoleon_shed04_piece01_destruct01"
"-2141887428"	"RigidModels\\Buildings\\northern_africa_building10\\northern_africa_building10_piece01_destruct02_lod03.rigid_model"	"3_2"	"northern_africa_building10_piece01_destruct02"
"-2141090328"	"RigidModels\\Buildings\\indian_large_fort_armoury02\\indian_large_fort_armoury02_piece02_destruct02_lod03.rigid_model"	"3_2"	"indian_large_fort_armoury02_piece02_destruct02"
"-2139913782"	"RigidModels\\Buildings\\european_warehouse01\\european_warehouse01_piece01_destruct01_lod05.rigid_model"	"3_3"	"european_warehouse01_piece01_destruct01"
"-2138609938"	"RigidModels\\Buildings\\fort_euro_wooden\\fort_euro_wooden_piece02_destruct01_lod01.rigid_model"	"3_1"	"fort_euro_wooden_piece02_destruct01"
"-2137947206"	"RigidModels/CampaignBuildings/Buildings/EU/EU_resource_farm_lvl5_sheep.rigid_model"	"0"	"EU_resource_farm_lvl5_sheep"
"-2137788748"	"RigidModels\\Buildings\\european_warehouse02\\european_warehouse02_piece02_destruct01_lod03.rigid_model"	"3_2"	"european_warehouse02_piece02_destruct01"
"-2137721279"	"RigidModels\\Buildings\\west_euro_farmhouse\\west_euro_farmhouse_piece01_destruct02_lod01.rigid_model"	"3_1"	"west_euro_farmhouse_piece01_destruct02"
"-2137469454"	"RigidModels\\Buildings\\rocks2_type02\\rocks2_type02_piece01_destruct01_lod05.rigid_model"	"3_3"	"rocks2_type02_piece01_destruct01"
"-2134280584"	"RigidModels/CampaignBuildings/CampaignAgentIcons/All_agent_indicator_gentleman_home_enemy.rigid_model"	"0"	"All_agent_indicator_gentleman_home_enemy"
"-2134258737"	"RigidModels/CampaignBuildings/Buildings/IND/IND_town_ind_lvl1_metalworks.rigid_model"	"0"	"IND_town_ind_lvl1_metalworks"
"-2133486331"	"RigidModels\\Buildings\\south_euro_rural03\\south_euro_rural03_piece01_destruct02_lod01.rigid_model"	"2_1"	"south_euro_rural03_piece01_destruct02"
"-2133009974"	"RigidModels\\city_buildings\\us\\out_build_02.rigid_model"	"1_1"	"city_us_building_02"
"-2132471051"	"RigidModels\\Buildings\\indian_house01b\\indian_house01b_piece01_destruct01_lod02.rigid_model"	"5_2"	"indian_house01b_piece01_destruct01"
"-2130834140"	"RigidModels\\Buildings\\fort_euro_wooden\\fort_euro_wooden_piece03_destruct01_lod03.rigid_model"	"3_2"	"fort_euro_wooden_piece03_destruct01"
"-2130308862"	"RigidModels\\Buildings\\napoleon_filler_building07\\napoleon_filler_building07_piece01_destruct01_lod01.rigid_model"	"2_1"	"napoleon_filler_building07_piece01_destruct01"
"-2130219457"	"RigidModels/CampaignBuildings/Buildings/prestige/prestige_shaniwarwada.rigid_model"	"0"	"prestige_shaniwarwada"
"-2126880994"	"RigidModels\\Buildings\\fort_indian\\fort_indian_piece11_destruct02_lod03.rigid_model"	"3_2"	"fort_indian_piece11_destruct02"
"-2126440522"	"RigidModels\\Buildings\\ottoman_large_fort_armoury02\\ottoman_large_fort_armoury02_piece01_destruct03_lod03.rigid_model"	"3_2"	"ottoman_large_fort_armoury02_piece01_destruct03"
"-2126127090"	"RigidModels\\city_buildings\\east\\out_build_05.rigid_model"	"1_1"	"city_east_building_05"
"-2125197379"	"RigidModels\\CampaignBuildings\\Buildings\\OTT\\ott_tSecret1_gentlemens_club.rigid_model"	"0"	"ott_tSecret1_gentlemens_club"
