version 3, schema unit_stats_naval_tables
Unit_IDRef(string)	Morale(int)	Hull_Strength(int)	Crew_Size(int)	Admiral_Variant(optstring)	Cannon_Type_1(optstring)	Cannon_Type_2(optstring)	Cannon_Type_3(optstring)	Cannon_Type_4(optstring)	Cannon_Type_5(optstring)	Cannon_Type_6(optstring)	Cannon_Type_7(optstring)	Ship(string)	Admiral(string)	Cpt(optstring)	Lt(optstring)	Bosun(optstring)	Marines(int)	Seamen(int)	Gun_Crewmen(int)	Accuracy(int)	Reloading_Skill(int)	Technology(string)	unknown4(float)	unknown5(float)	unknown6(float)	unknown7(int)	unknown8(float)	unknown9(int)	unknown10(int)	unknown11(int)	General_Speed(int)	Turning_x0020_Speed_x003F_(float)	unknown13(float)	unknown14(float)	unknown15(int)	unknown16(int)	unknown17(int)	_x0023_0_x0020_degree_x0020_speed_coefficient(float)	_x0023_10-15_x0020_degree_x0020_speed_coefficient(float)	_x0023_25-30_x0020_degree_x0020_speed_coefficient(float)	_x0023_40-45_x0020_degree_x0020_speed_coefficient(float)	_x0023_50-55_x0020_degree_x0020_speed_coefficient(float)	_x0023_70-75_x0020_degree_x0020_speed_coefficient(float)	_x0023_90-95_x0020_degree_x0020_speed_coefficient(float)	_x0023_100-105_x0020_degree_x0020_speed_coefficient(float)	_x0023_120-125_x0020_degree_x0020_speed_coefficient(float)	_x0023_130-135_x0020_degree_x0020_speed_coefficient(float)	_x0023_140-145_x0020_degree_x0020_speed_coefficient(float)	_x0023_165-180_x0020_degree_x0020_speed_coefficient(float)	bound_x0020_by_waves(float)	pitch_x0020_by_waves(float)	Turn_rate_x0020_max_speed(float)	Turn_rate_x0020_2-3_speed(float)	Turn_rate_x0020_1-3_speed(float)	Turn_rate_x0020_4-15_speed(float)	Turn_rate_x0020_1-5_speed(float)	Turn_rate_x0020_2-15_speed(float)	Turn_rate_x0020_1-15_speed(float)	Turn_rate_x0020_0_speed(float)	unknown40(boolean)	unknown41(int)	unknown42(int)	unknown43(float)	unknown44(int)	unknown45(int)	unknown46(float)	unknown47(int)	unknown48(int)	unknown49(float)	unknown50(int)	unknown51(int)	unknown52(float)	unknown53(int)	unknown54(int)	unknown55(float)	unknown56(int)	unknown57(int)	unknown58(float)	unknown59(int)	unknown60(int)	unknown61(float)	unknown62(int)	unknown63(int)	unknown64(float)	unknown65(int)	unknown66(int)	unknown67(float)	unknown68(int)	unknown69(int)	unknown70(float)	unknown71(int)	unknown72(int)	unknown73(float)	unknown74(int)	unknown75(int)	unknown76(float)	unknown77(int)	unknown78(int)	unknown79(float)	unknown80(int)	unknown81(int)	unknown82(float)	unknown83(int)	unknown84(int)	unknown85(float)	unknown86(int)	unknown87(int)	unknown88(float)	unknown89(int)	unknown90(int)	unknown91(float)	unknown92(int)	unknown93(int)	unknown94(float)	unknown95(boolean)	unknown96(boolean)	Can_Trade(boolean)	Manoeuverability(string)	Hull_Strength_Shown(int)	unknown97(string)
"2_Decker_50"	9	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_18_pounder"	"naval_24_pounder"	nil	nil	"2deck50"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	24	24	96	40	15	"matchlock"	3	0.1	0.9	2000	1.1	90	70	9	14	0.9	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	76	0.8	3	135	0.8	3	253	0.95	3	105	0.8	3	253	0.95	1	9	0.1	3	253	0.95	3	145	0.8	3	145	0.8	3	145	0.8	1	160	0	1	200	0	1	250	0	1	136	0	3	145	0.8	1	136	0	1	136	0	1	42	0.95	false	false	false	"Low"	1160	"sail"
"2_Decker_64"	10	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_18_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	28	124	40	15	"matchlock"	3	0.1	0.9	2150	1.1	90	70	9	16	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	102	0.8	3	171	0.8	3	297	0.95	3	133	0.8	3	297	0.95	1	10	0.1	3	297	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	42	0.95	false	false	false	"Low"	1380	"sail"
"2_Decker_74"	10	14	160	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	144	40	15	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	127	0.8	3	198	0.8	4	330	0.95	3	154	0.8	4	330	0.95	1	12	0.1	4	330	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	42	0.95	false	false	false	"Low"	1830	"sail"
"2_Decker_80"	10	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	nil	"2deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	32	32	156	40	15	"matchlock"	3.5	0.1	0.8	2700	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	161	0.8	3	243	0.8	4	341	0.95	3	189	0.8	4	341	0.95	1	13	0.1	4	341	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	42	0.95	false	false	false	"Low"	1970	"sail"
"2_Decker_British_50_4th_Rate"	11	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_18_pounder"	"naval_24_pounder"	nil	nil	"2deck50"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	24	24	96	40	25	"matchlock"	3	0.1	0.9	2000	1.1	90	70	9	14	0.9	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	80	0.8	3	141	0.8	3	265	0.95	3	110	0.8	3	265	0.95	1	10	0.1	3	265	0.95	3	145	0.8	3	145	0.8	3	145	0.8	1	160	0	1	200	0	1	250	0	1	136	0	3	145	0.8	1	136	0	1	136	0	1	44	0.95	false	false	false	"Low"	1210	"sail"
"2_Decker_British_64_3rd_Rate"	12	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_18_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	28	124	40	25	"matchlock"	3	0.1	0.9	2150	1.1	90	70	9	16	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	107	0.8	3	179	0.8	3	311	0.95	3	139	0.8	3	311	0.95	1	11	0.1	3	311	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	44	0.95	false	false	false	"Low"	1430	"sail"
"2_Decker_British_74_3rd_Rate"	12	14	160	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	"naval_9_pounder"	"naval_9_pounder"	"naval_18_pounder"	"naval_32_pounder"	nil	"2deck74"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	30	30	144	40	25	"matchlock"	3.5	0.1	0.8	2580	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	133	0.8	3	207	0.8	4	346	0.95	3	161	0.8	4	346	0.95	1	12	0.1	4	346	0.95	3	160	0.8	3	160	0.8	3	160	0.8	1	180	0	1	225	0	1	281	0	1	153	0	3	160	0.8	1	153	0	1	153	0	1	44	0.95	false	false	false	"Low"	1900	"sail"
"2_Decker_British_80_3rd_Rate"	12	14	160	"3rd_rate_admiral"	"naval_9_pounder"	"naval_9_pounder"	nil	"naval_12_pounder"	"naval_24_pounder"	"naval_32_pounder"	nil	"2deck80"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	32	32	156	40	25	"matchlock"	3.5	0.1	0.8	2700	1	95	75	8	16	0.9	21	0.8	138	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.260124921798706	4.685625076293945	5.7475	6.943124771118164	6.281875133514404	5.1425	3.8115	1.3	true	3	169	0.8	3	255	0.8	4	358	0.95	3	198	0.8	4	358	0.95	1	13	0.1	4	358	0.95	3	165	0.8	3	165	0.8	3	165	0.8	1	190	0	1	237	0	1	296	0	1	161	0	3	165	0.8	1	161	0	1	161	0	1	44	0.95	false	false	false	"Low"	2060	"sail"
"2_Decker_Dutch_50"	9	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_18_pounder"	"naval_24_pounder"	nil	nil	"2deck50"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	24	24	96	40	15	"matchlock"	3	0.1	0.9	2000	1.1	90	70	9	14	0.9	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	76	0.8	3	135	0.8	3	253	0.95	3	105	0.8	3	253	0.95	1	9	0.1	3	253	0.95	3	145	0.8	3	145	0.8	3	145	0.8	1	160	0	1	200	0	1	250	0	1	136	0	3	145	0.8	1	136	0	1	136	0	1	42	0.95	false	false	false	"Low"	1160	"sail"
"2_Decker_Dutch_64"	10	10	120	"3rd_rate_admiral"	"naval_6_pounder"	"naval_6_pounder"	nil	"naval_6_pounder"	"naval_18_pounder"	"naval_24_pounder"	nil	"2deck64"	"test_admiral"	"test_naval_captain"	"test_naval_lieutenant"	"test_naval_bosun"	26	28	124	40	15	"matchlock"	3	0.1	0.9	2150	1.1	90	70	9	16	1.1	20	0.9	140	25	130	0.85	0.9	0.95	0.9	0.85	0.8	0.75	0.7	0.65	0.59	0.48	0.38	0.17	0.12	2.53575	4.96125	6.05	7.27375	6.6125	5.445	4.114	1.4	true	3	102	0.8	3	171	0.8	3	297	0.95	3	133	0.8	3	297	0.95	1	10	0.1	3	297	0.95	3	155	0.8	3	155	0.8	3	155	0.8	1	170	0	1	212	0	1	265	0	1	144	0	3	155	0.8	1	144	0	1	144	0	1	42	0.95	false	false	false	"Low"	1380	"sail"
