version 1, schema trigger_effects_tables
unknown1(string)	unknown2(string)	Trait_IDRef(string)	unknown4(int)	unknown5(int)
"-2023132687"	"C_Minister_Created_Trigger"	"C_Feck_Vice"	15	1
"-1889859136"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Mr_Waverley"	1	1
"-1756045094"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Witty"	1	1
"-1715337746"	"C_Leader_Or_Heir_Female_Created_Trigger"	"C_Leader_Natural_King"	1	3
"-1620585512"	"C_Minister_Created_Trigger"	"C_Minister_Entertainer"	5	3
"-1590689077"	"C_Minister_Created_Trigger"	"C_Sausage_Vice"	10	1
"-1541941473"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Clever_Stick"	1	1
"-1428059876"	"C_Admiral_Blockade_Runner_Good_Trigger"	"C_Admiral_Blockade_Runner_Good"	1	100
"-1379715391"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Natural_King"	1	1
"-1376854313"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Natural_President"	1	1
"-1363745342"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Huntin_Shootin_Fishin"	1	1
"-1338594700"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Dullard"	1	1
"-1271810602"	"C_Admiral_Created_Trigger"	"C_Admiral_Born_Sailor"	1	3
"-1213309731"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Uncouth"	1	1
"-1037587480"	"C_Leader_Or_Heir_Female_Created_Trigger"	"C_Leader_Dullard"	1	3
"-851549464"	"C_Admiral_Coward_Trigger"	"C_Admiral_Coward"	1	100
"-833223118"	"C_Minister_Created_Trigger"	"C_Feck_Vice"	10	1
"-678406515"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Personal_Piety"	1	1
"-665253531"	"C_Admiral_Created_Trigger"	"C_Admiral_Sobriety"	5	2
"-381504637"	"C_Gent_Created_Trigger"	"C_Gent_Research_Agriculture"	1	2
"-293637783"	"C_Admiral_Created_Trigger"	"C_Personal_Piety"	5	1
"-235776564"	"C_Leader_Or_Heir_Male_Created_Trigger"	"C_Leader_Mad"	1	1
"1"	"C_General_Created_Trigger"	"C_General_Born_Soldier"	1	1
"148820340"	"C_Admiral_Created_Trigger"	"C_Admiral_Slacker"	2	2
"179766933"	"C_Minister_Created_Trigger"	"C_Feck_Vice"	4	1
"194268409"	"C_Minister_Created_Trigger"	"C_Minister_Unjust"	1	4
"224606655"	"C_Rake_Created_Trigger"	"C_Rake_Im_A_Laydee"	1	2
"242815358"	"C_Minister_Corrupt_Trigger"	"C_Minister_Corrupt"	1	1
