version 1, schema trees_climates_jct_tables
Tree_IDRef(string)	Tree(string)	unknown2(int)
"lc_am_desert"	"lc_am_desert-American_Holly_shrub"	1
"lc_am_desert"	"lc_am_desert-Arizona_Bush_shrub"	1
"lc_am_desert"	"lc_am_desert-Broom_Snakeweed_shrub"	1
"lc_am_desert"	"lc_am_desert-Hazel_Arid_shrub"	1
"lc_am_desert"	"lc_am_desert-Nettle_tree"	1
"lc_am_desert"	"lc_am_desert-Scarlet_Oak_tree"	1
"lc_am_desert"	"lc_am_desert-Thicket_shrub"	1
"lc_am_desert"	"lc_am_desert-Yucca_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-American_holly_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-Arizona_bush_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-Broom_Snakeweed_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-Hazel_Arid_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-Thicket_shrub"	1
"lc_am_great_plains"	"lc_am_great_plains-Yucca_shrub"	1
"lc_am_jungle"	"lc_am_jungle-Balsa_tree"	1
"lc_am_jungle"	"lc_am_jungle-Bamboo_Cluster_tree"	1
"lc_am_jungle"	"lc_am_jungle-Banana_Tree_shrub"	1
"lc_am_jungle"	"lc_am_jungle-Caribbean_Pine_tree"	1
"lc_am_jungle"	"lc_am_jungle-Cecropia_tree"	1
"lc_am_jungle"	"lc_am_jungle-Cinnamon_Fern_shrub"	1
"lc_am_jungle"	"lc_am_jungle-Jungle_Brush_shrub"	1
"lc_am_jungle"	"lc_am_jungle-Kapok_tree"	1
"lc_am_jungle"	"lc_am_jungle-Queen_Palm_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Broom_Snakeweed_shrub"	1
"lc_am_s_arid"	"lc_am_s_arid-Dead_Tree_1_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Dead_Tree_2_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Honey_Mesquite_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Low_Brush_shrub"	1
"lc_am_s_arid"	"lc_am_s_arid-Manzanita_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Sorrel_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Sweet_Gum_tree"	1
"lc_am_s_arid"	"lc_am_s_arid-Thicket_shrub"	1
"lc_am_se_usa"	"lc_am_se_usa-Bald_cypress_tree"	1
"lc_am_se_usa"	"lc_am_se_usa-Banyan_tree"	1
"lc_am_se_usa"	"lc_am_se_usa-Caribbean_Pine_tree"	1
"lc_am_se_usa"	"lc_am_se_usa-Carolina_Buckthorn_shrub"	1
