version 1, schema effect_bonus_value_building_chain_junctions_tables
Effect_IDRef(string)	effect_bonus(string)	Building_x0020_Chain(string)
"building_cost_mod_all"	"mod_cost"	"army-admin"
"building_cost_mod_all"	"mod_cost"	"coffee"
"building_cost_mod_all"	"mod_cost"	"corn"
"building_cost_mod_all"	"mod_cost"	"cotton"
"building_cost_mod_all"	"mod_cost"	"culture"
"building_cost_mod_all"	"mod_cost"	"education"
"building_cost_mod_all"	"mod_cost"	"fort"
"building_cost_mod_all"	"mod_cost"	"furs"
"building_cost_mod_all"	"mod_cost"	"gems"
"building_cost_mod_all"	"mod_cost"	"gold"
"building_cost_mod_all"	"mod_cost"	"government"
"building_cost_mod_all"	"mod_cost"	"government_minor"
"building_cost_mod_all"	"mod_cost"	"happiness"
"building_cost_mod_all"	"mod_cost"	"industry-metal"
"building_cost_mod_all"	"mod_cost"	"industry-pottery"
"building_cost_mod_all"	"mod_cost"	"industry-textile"
"building_cost_mod_all"	"mod_cost"	"iron"
"building_cost_mod_all"	"mod_cost"	"navy-admin"
"building_cost_mod_all"	"mod_cost"	"ordnance"
"building_cost_mod_all"	"mod_cost"	"port-fish"
"building_cost_mod_all"	"mod_cost"	"port-navy"
"building_cost_mod_all"	"mod_cost"	"port-trade"
"building_cost_mod_all"	"mod_cost"	"rel_catholic"
"building_cost_mod_all"	"mod_cost"	"rel_hindu"
"building_cost_mod_all"	"mod_cost"	"rel_islam"
"building_cost_mod_all"	"mod_cost"	"rel_orthodox"
"building_cost_mod_all"	"mod_cost"	"rel_protestant"
"building_cost_mod_all"	"mod_cost"	"rice"
"building_cost_mod_all"	"mod_cost"	"roads"
"building_cost_mod_all"	"mod_cost"	"settlement_fortifications"
"building_cost_mod_all"	"mod_cost"	"sheep"
"building_cost_mod_all"	"mod_cost"	"silver"
"building_cost_mod_all"	"mod_cost"	"spices"
"building_cost_mod_all"	"mod_cost"	"sugar"
"building_cost_mod_all"	"mod_cost"	"tea"
"building_cost_mod_all"	"mod_cost"	"timber"
"building_cost_mod_all"	"mod_cost"	"tobacco"
"building_cost_mod_all"	"mod_cost"	"tribal_barracks"
"building_cost_mod_all"	"mod_cost"	"tribal_corn"
"building_cost_mod_all"	"mod_cost"	"tribal_culture"
"building_cost_mod_all"	"mod_cost"	"tribal_government"
"building_cost_mod_all"	"mod_cost"	"tribal_happiness"
"building_cost_mod_all"	"mod_cost"	"tribal_wheat"
"building_cost_mod_all"	"mod_cost"	"wheat"
"building_cost_mod_all"	"mod_cost"	"wine"
"building_cost_mod_farms"	"mod_cost"	"corn"
"building_cost_mod_farms"	"mod_cost"	"rice"
"building_cost_mod_farms"	"mod_cost"	"sheep"
"building_cost_mod_farms"	"mod_cost"	"wheat"
"building_cost_mod_farms"	"mod_cost"	"wine"
"building_cost_mod_happiness"	"mod_cost"	"culture"
"building_cost_mod_happiness"	"mod_cost"	"happiness"
"building_cost_mod_industry"	"mod_cost"	"industry-metal"
"building_cost_mod_industry"	"mod_cost"	"industry-pottery"
"building_cost_mod_industry"	"mod_cost"	"industry-textile"
"building_cost_mod_industry_metal"	"mod_cost"	"industry-metal"
"building_cost_mod_mines"	"mod_cost"	"gems"
"building_cost_mod_mines"	"mod_cost"	"gold"
"building_cost_mod_mines"	"mod_cost"	"iron"
"building_cost_mod_mines"	"mod_cost"	"silver"
"building_cost_mod_plantations"	"mod_cost"	"coffee"
"building_cost_mod_plantations"	"mod_cost"	"cotton"
"building_cost_mod_plantations"	"mod_cost"	"spices"
"building_cost_mod_plantations"	"mod_cost"	"sugar"
"building_cost_mod_plantations"	"mod_cost"	"tea"
"building_cost_mod_plantations"	"mod_cost"	"tobacco"
"gdp_mod_farms"	"mod_gdp"	"corn"
"gdp_mod_farms"	"mod_gdp"	"rice"
"gdp_mod_farms"	"mod_gdp"	"sheep"
"gdp_mod_farms"	"mod_gdp"	"wheat"
"gdp_mod_farms"	"mod_gdp"	"wine"
"gdp_mod_farms_livestock"	"mod_gdp"	"sheep"
"gdp_mod_farms_wheat"	"mod_gdp"	"wheat"
"gdp_mod_industry_all"	"mod_gdp"	"industry-metal"
"gdp_mod_industry_all"	"mod_gdp"	"industry-pottery"
"gdp_mod_industry_all"	"mod_gdp"	"industry-textile"
"gdp_mod_industry_metals"	"mod_gdp"	"industry-metal"
"gdp_mod_industry_textiles"	"mod_gdp"	"industry-textile"
"gdp_mod_mines"	"mod_gdp"	"gems"
"gdp_mod_mines"	"mod_gdp"	"gold"
"gdp_mod_mines"	"mod_gdp"	"iron"
"gdp_mod_mines"	"mod_gdp"	"silver"
"gdp_mod_plantations"	"mod_gdp"	"coffee"
"gdp_mod_plantations"	"mod_gdp"	"cotton"
"gdp_mod_plantations"	"mod_gdp"	"spices"
"gdp_mod_plantations"	"mod_gdp"	"sugar"
"gdp_mod_plantations"	"mod_gdp"	"tea"
"gdp_mod_plantations"	"mod_gdp"	"tobacco"
"gdp_mod_ports"	"mod_gdp"	"port-fish"
"gdp_mod_ports"	"mod_gdp"	"port-trade"
"tw_growth_mod_metals"	"mod_tw_growth"	"industry-metal"
"tw_growth_mod_port_trade"	"mod_tw_growth"	"port-trade"
"tw_growth_mod_textiles"	"mod_tw_growth"	"industry-textile"
"building_cost_mod_all"	"mod_cost"	"tribal"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_barracks"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_coffee"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_corn"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_cotton"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_culture"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_furs"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_gems"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_gold"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_government"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_happiness"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_industry_metal"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_industry_textile"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_iron"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_pioneer"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_port-fish"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_prospector"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_sheep"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_silver"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_sugar"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_tobacco"
"building_cost_mod_all"	"mod_cost"	"tribal_playable_wheat"
"building_cost_mod_farms"	"mod_cost"	"tribal_playable_corn"
"building_cost_mod_farms"	"mod_cost"	"tribal_playable_sheep"
"building_cost_mod_farms"	"mod_cost"	"tribal_playable_wheat"
"building_cost_mod_happiness"	"mod_cost"	"tribal_playable_culture"
"building_cost_mod_happiness"	"mod_cost"	"tribal_playable_happiness"
"building_cost_mod_industry"	"mod_cost"	"tribal_playable_industry_metal"
"building_cost_mod_industry"	"mod_cost"	"tribal_playable_industry_textile"
"building_cost_mod_industry_metal"	"mod_cost"	"tribal_playable_industry_metal"
"building_cost_mod_plantations"	"mod_cost"	"tribal_playable_coffee"
"building_cost_mod_plantations"	"mod_cost"	"tribal_playable_cotton"
"building_cost_mod_plantations"	"mod_cost"	"tribal_playable_sugar"
"building_cost_mod_plantations"	"mod_cost"	"tribal_playable_tobacco"
"gdp_mod_farms"	"mod_gdp"	"tribal_corn"
"gdp_mod_farms"	"mod_gdp"	"tribal_playable_corn"
"gdp_mod_farms"	"mod_gdp"	"tribal_playable_sheep"
"gdp_mod_farms"	"mod_gdp"	"tribal_playable_wheat"
"gdp_mod_fisheries"	"mod_gdp"	"port-fish"
"gdp_mod_fisheries"	"mod_gdp"	"tribal_playable_port-fish"
"gdp_mod_industry_all"	"mod_gdp"	"tribal_playable_industry_metal"
"gdp_mod_industry_all"	"mod_gdp"	"tribal_playable_industry_textile"
"gdp_mod_industry_metals"	"mod_gdp"	"tribal_playable_industry_metal"
"gdp_mod_industry_textiles"	"mod_gdp"	"tribal_playable_industry_textile"
"gdp_mod_mines"	"mod_gdp"	"tribal_playable_gold"
"gdp_mod_mines"	"mod_gdp"	"tribal_playable_iron"
"gdp_mod_mines"	"mod_gdp"	"tribal_playable_silver"
"gdp_mod_ports"	"mod_gdp"	"tribal_playable_port-fish"
"mod_commodity_fur_production"	"mod_commodity_production"	"furs"
"mod_commodity_fur_production"	"mod_commodity_production"	"tribal_playable_furs"
