version 1, schema diplomacy_attitudes_tables, guid 7577782c-2de7-4654-a837-d325cca3b6f9
Cause(string)	Limit(int)	Change_Per_Turn(int)	Change_Once(int)
"abandoned_ally_in_war"	0	2	-25
"abused_military_access"	0	2	-30
"alliance"	40	-3	100
"alliance_broken"	0	2	-40
"alliance_refuse_war_of_agression"	0	2	-50
"allied_with_enemies"	0	1	-30
"annexed_territory"	0	1	0
"assassination"	0	2	-50
"backstabbing"	0	1	0
"betrayed_allegiance"	0	1	-40
"break_alliance"	0	-2	0
"break_trade"	0	-2	0
"cultural_alliance_broken"	0	3	-30
"daimyo_honour"	0	0	0
"government_type"	0	2	0
"hostages"	0	-5	100
"incited_revolt"	0	2	-40
"initial_modifier"	0	2	0
"marriage"	20	-2	100
"marriage_with_enemies"	0	2	-40
"peace"	0	2	120
"peace_dragged_by_ally"	0	2	60
"realm_divide"	-200	-5	-10
"realm_divide_boshin"	-200	-5	-100
"sabotage"	0	2	-20
"spying"	0	2	-20
"state_gift"	0	-5	120
"third_party_assassination"	0	1	-5
"third_party_incite"	0	1	-3
"third_party_sabotage"	0	1	-2
"third_party_spying"	0	1	-2
"threatened"	0	3	-30
"trade"	60	1	15
"trade_broken"	0	2	-20
"trade_embargoed"	0	-2	-40
"war"	-200	-2	-140
"war_against_enemies"	0	-1	15
"war_against_friends"	0	1	-30
"war_dragged_by_ally"	-130	-2	-70
