version 1, schema building_upgrades_junction_tables, guid 4cbdec64-e7d6-467c-9be0-18b82b6582b0
Building_IDRef(string)	Upgrade(string)
"GEM_Buddhist_1_Buddhist_Sanctuary"	"GEM_Buddhist_2_Buddhist_Temple"
"GEM_Buddhist_2_Buddhist_Temple"	"GEM_Buddhist_3_Buddhist_Monastery"
"GEM_Buddhist_3_Buddhist_Monastery"	"GEM_Buddhist_4_Famous_Buddhist_Temple"
"GEM_Buff_1_Encampment"	"GEM_Buff_2_Armoury"
"GEM_Buff_1_Encampment"	"GEM_Buff_2_Hunting_Lodge"
"GEM_Buff_1_Encampment"	"GEM_Buff_2_Proving_Grounds"
"GEM_Bushi_1_Bushi_Training_Grounds"	"GEM_Bushi_2_Bushi_School"
"GEM_Bushi_2_Bushi_School"	"GEM_Bushi_3_Bushi_Dojo"
"GEM_Bushi_3_Bushi_Dojo"	"GEM_Bushi_4_Legendary_Bushi_Dojo"
"GEM_Castle_1_Town"	"GEM_Castle_2_Stronghold"
"GEM_Castle_2_Stronghold"	"GEM_Castle_3_Fort"
"GEM_Castle_3_Fort"	"GEM_Castle_4_Castle"
"GEM_Clan_1_Shinden"	"GEM_Clan_2_Mandokoro"
"GEM_Clan_2_Mandokoro"	"GEM_Clan_3_Province_Magistrate"
"GEM_Clan_3_Province_Magistrate"	"GEM_Clan_4_Fujiwara_Palace"
"GEM_Clan_3_Province_Magistrate"	"GEM_Clan_4_Minamoto_Palace"
"GEM_Clan_3_Province_Magistrate"	"GEM_Clan_4_Taira_Palace"
"GEM_Economy_1_Barter"	"GEM_Economy_2_Food_Stores"
"GEM_Economy_1_Barter"	"GEM_Economy_2_Market"
"GEM_Economy_2_Food_Stores"	"GEM_Economy_3_Granary"
"GEM_Economy_2_Market"	"GEM_Economy_3_Goods_Exchange"
"GEM_Economy_3_Goods_Exchange"	"GEM_Economy_4_Merchant_Guild"
"GEM_Economy_3_Granary"	"GEM_Economy_4_Grain_Warehouse"
"GEM_Farming_1_Fields"	"GEM_Farming_2_Dry_Field_Agriculture"
"GEM_Farming_1_Fields"	"GEM_Farming_2_Pastures"
"GEM_Farming_2_Dry_Field_Agriculture"	"GEM_Farming_3_Rice_Paddies"
"GEM_Farming_2_Pastures"	"GEM_Farming_3_Horse_Breeders"
"GEM_Farming_3_Horse_Breeders"	"GEM_Farming_4_Warhorse_Studs"
"GEM_Farming_3_Rice_Paddies"	"GEM_Farming_4_Improved_Irrigation"
"GEM_Gov_1_Tadokoro"	"GEM_Gov_2_Muster_Field"
"GEM_Gov_1_Tadokoro"	"GEM_Gov_2_Training_Grounds"
"GEM_Gov_2_Muster_Field"	"GEM_Gov_3_Militia_Hall"
"GEM_Gov_2_Training_Grounds"	"GEM_Gov_3_Barracks"
"GEM_Gov_3_Barracks"	"GEM_Gov_4_Arsenal"
"GEM_Gov_3_Militia_Hall"	"GEM_Gov_4_Kondeidokoro"
"GEM_Infrastructure_1_Trails"	"GEM_Infrastructure_2_Roads"
"GEM_Infrastructure_2_Roads"	"GEM_Infrastucture_3_Post_stations"
"GEM_Infrastucture_3_Post_stations"	"GEM_Infrastucture_4_Imperial_Roads"
"GEM_Intellectual_1_School"	"GEM_Intellectual_2_Calligraphy_School"
"GEM_Intellectual_2_Calligraphy_School"	"GEM_Intellectual_3_Provincial_Academy"
"GEM_Intellectual_3_Provincial_Academy"	"GEM_Intellectual_4_Confucian_Academy"
"GEM_Koryu_1_Koryu_Training_Grounds"	"GEM_Koryu_2_Koryu_School"
"GEM_Koryu_2_Koryu_School"	"GEM_Koryu_3_Koryu_Dojo"
"GEM_Koryu_3_Koryu_Dojo"	"GEM_Koryu_4_Legendary_Koryu_Dojo"
"GEM_Port_1_Coastal_Village"	"GEM_Port_2_Harbour"
"GEM_Port_1_Coastal_Village"	"GEM_Port_2_Military_Port"
"GEM_Port_2_Harbour"	"GEM_Port_3_Trading_Port"
"GEM_Port_2_Military_Port"	"GEM_Port_3_Drydock"
"GEM_Region_Specialty_Craftwork_1_Artisans"	"GEM_Region_Specialty_Craftwork_2_Fletcher"
"GEM_Region_Specialty_Craftwork_1_Artisans"	"GEM_Region_Specialty_Craftwork_2_Washi_Mills"
"GEM_Region_Specialty_Craftwork_2_Fletcher"	"GEM_Region_Specialty_Craftwork_3_Master_Bowmaker"
"GEM_Region_Specialty_Craftwork_2_Washi_Mills"	"GEM_Region_Specialty_Craftwork_3_Lacquerware_Works"
"GEM_Region_Specialty_Gold_Mining_1_Placer_Gold_Min"	"GEM_Region_Specialty_Gold_Mining_2_Gold_Lodes"
"GEM_Region_Specialty_Gold_Mining_2_Gold_Lodes"	"GEM_Region_Specialty_Gold_Mining_3_Gold_Mine"
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"
"GEM_Region_Specialty_Holy_Site_1_Holy_Site"	"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"
"GEM_Region_Specialty_Holy_Site_2_Buddhist_Hermitag"	"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"
"GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuary"	"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"
"GEM_Region_Specialty_Iron_Mining_1_Iron_Sands"	"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"
"GEM_Region_Specialty_Iron_Mining_2_Small_Iron_Mine"	"GEM_Region_Specialty_Iron_Mining_3_Iron_Mine"
"GEM_Region_Specialty_Naval_1_Trade_Hamlet"	"GEM_Region_Specialty_Naval_2_Pirate_Cove"
"GEM_Region_Specialty_Naval_2_Pirate_Cove"	"GEM_Region_Specialty_Naval_3_Pirate_Den"
"GEM_Region_Specialty_Ninja_1_Isolated_Hamlet"	"GEM_Region_Specialty_Ninja_2_Senmin_Village"
"GEM_Region_Specialty_Ninja_2_Senmin_Village"	"GEM_Region_Specialty_Ninja_3_Smuggling_Network"
"GEM_Region_Specialty_Silk_1_Silk_Workshop"	"GEM_Region_Specialty_Silk_2_Silk_Spinner"
"GEM_Region_Specialty_Silk_2_Silk_Spinner"	"GEM_Region_Specialty_Silk_3_Master_Silk_Spinner"
