version 1, schema campaign_ai_technology_manager_path_junctions_tables, guid 3d5c2884-ba14-4660-b642-8fd41322c26e
unknown1(string)	unknown2(string)	unknown3(int)
"Civil_heavy"	"civil_tier1"	80
"Civil_heavy"	"civil_tier2"	50
"Civil_heavy"	"civil_tier3"	30
"Civil_heavy"	"military_tier1"	30
"Civil_heavy"	"military_tier2"	20
"Civil_heavy"	"military_tier3"	10
"Deep_civil"	"base"	100
"Deep_civil"	"bushido"	1
"Deep_civil"	"epic_architecture"	10
"Deep_civil"	"essence_of_spirit"	10
"Deep_civil"	"noh"	10
"Deep_civil"	"school_of_shinobi"	10
"Deep_civil"	"secret_police"	10
"Deep_civil"	"shih"	3
"Deep_civil"	"way of sea"	3
"Deep_civil"	"way of_bow"	3
"Deep_civil"	"way_of_chi"	9
"Deep_civil"	"way_of_fire"	3
"Deep_civil"	"way_of_money"	10
"Deep_civil"	"way_of_spear"	3
"Deep_civil"	"way_of_sword"	3
"Deep_military"	"base"	100
"Deep_military"	"bushido"	9
"Deep_military"	"epic_architecture"	3
"Deep_military"	"essence_of_spirit"	3
"Deep_military"	"noh"	3
"Deep_military"	"school_of_shinobi"	3
"Deep_military"	"secret_police"	3
"Deep_military"	"shih"	10
"Deep_military"	"way of sea"	10
"Deep_military"	"way of_bow"	10
"Deep_military"	"way_of_chi"	1
"Deep_military"	"way_of_fire"	10
"Deep_military"	"way_of_money"	3
"Deep_military"	"way_of_spear"	10
"Deep_military"	"way_of_sword"	10
"Deep_research_randomtree"	"base"	100
"Deep_research_randomtree"	"bushido"	1
"Deep_research_randomtree"	"epic_architecture"	10
"Deep_research_randomtree"	"essence_of_spirit"	10
"Deep_research_randomtree"	"noh"	10
"Deep_research_randomtree"	"school_of_shinobi"	10
"Deep_research_randomtree"	"secret_police"	10
"Deep_research_randomtree"	"shih"	10
"Deep_research_randomtree"	"way of sea"	10
"Deep_research_randomtree"	"way of_bow"	10
"Deep_research_randomtree"	"way_of_chi"	1
"Deep_research_randomtree"	"way_of_fire"	10
"Deep_research_randomtree"	"way_of_money"	10
"Deep_research_randomtree"	"way_of_spear"	10
"Deep_research_randomtree"	"way_of_sword"	10
"Military_heavy"	"base"	100
"Military_heavy"	"civil_tier1"	20
"Military_heavy"	"civil_tier2"	30
"Military_heavy"	"civil_tier3"	10
"Military_heavy"	"military_tier1"	80
"Military_heavy"	"military_tier2"	50
"Military_heavy"	"military_tier3"	30
"Ninja"	"base"	100
"Ninja"	"civil_tier3"	20
"Ninja"	"military_tier1"	50
"Ninja"	"military_tier2"	50
"Ninja"	"military_tier3"	50
"Ninja"	"ninja_tier1"	60
"Ninja"	"ninja_tier2"	60
"Pirate"	"base"	100
"Pirate"	"civil_tier1"	30
"Pirate"	"civil_tier2"	30
"Pirate"	"civil_tier3"	30
"Pirate"	"military_tier1"	35
"Pirate"	"military_tier2"	35
"Pirate"	"military_tier3"	35
"Pirate"	"way of sea"	60
"Religious_focused"	"base"	100
"Religious_focused"	"civil_tier1"	5
"Religious_focused"	"civil_tier2"	5
"Religious_focused"	"civil_tier3"	5
"Religious_focused"	"military_tier1"	5
"Religious_focused"	"military_tier2"	5
"Religious_focused"	"military_tier3"	5
"Religious_focused"	"religion_tier1"	100
"Religious_focused"	"religion_tier2"	100
"Religious_focused"	"religion_tier3"	100
"Religious_focused"	"teppo_tier1"	50
"Religious_focused"	"teppo_tier2"	50
"Religious"	"base"	100
"Religious"	"essence_of_spirit"	0
"Religious"	"general_civic_tier1"	60
"Religious"	"general_civic_tier2"	50
"Religious"	"general_civic_tier3"	50
"Religious"	"military_tier1"	50
"Religious"	"military_tier2"	50
"Religious"	"military_tier3"	50
"bos_aizu"	"bos_civil_charter_oath"	5
"bos_aizu"	"bos_civil_conversion"	20
"bos_aizu"	"bos_civil_foreign_veteran"	200
"bos_aizu"	"bos_civil_level_1"	5
"bos_aizu"	"bos_civil_old_income"	20
"bos_aizu"	"bos_level_2"	5
"bos_aizu"	"bos_military_artillery"	10
"bos_aizu"	"bos_military_defences"	20
