version 1, schema message_event_strings_tables
Event_IDRef(string)	Region_IDRef(string)	Message(string)	Message_Image(string)	Message_Type(string)	unknown1(boolean)	unknown2(boolean)	Message_Icon(string)	unknown3(string)
"abolition_slavery"	"egy_european"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"abolition_slavery"	"egy_middle_east"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"abolition_slavery"	"european"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"abolition_slavery"	"middle_east"	"abolition_1"	"abolition2.tga"	"standard"	false	true	"news.tga"	"abolition2.tga"
"admiral_appointed_from_ranks"	"egy_european"	"ad_appointed_1"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_from_ranks"	"egy_middle_east"	"ad_appointed_1"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"admiral_appointed_from_ranks"	"european"	"ad_appointed_1"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_from_ranks"	"middle_east"	"ad_appointed_1"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"admiral_appointed_political"	"egy_european"	"ad_appointed_2"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_political"	"egy_middle_east"	"ad_appointed_2"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"admiral_appointed_political"	"european"	"ad_appointed_2"	"admiral appointment.tga"	"standard"	false	false	"navy.tga"	"admiral appointment.tga"
"admiral_appointed_political"	"middle_east"	"ad_appointed_2"	"admiral appointment-otoman.tga"	"standard"	false	false	"navy.tga"	"admiral appointment-otoman.tga"
"agent_dies_natural_causes"	"egy_european"	"ag_natural_causes_1"	"small funeral-eu.tga"	"standard"	false	true	"gravestone.tga"	"small funeral-eu.tga"
"agent_dies_natural_causes"	"european"	"ag_natural_causes_1"	"small funeral-eu.tga"	"standard"	false	true	"gravestone.tga"	"small funeral-eu.tga"
"agent_dies_suspicious"	"egy_european"	"ag_suspicious_1"	"Assassination_Post_eu.tga"	"standard"	false	true	"gravestone.tga"	"pre_assassin_eu.tga"
"agent_dies_suspicious"	"european"	"ag_suspicious_1"	"Assassination_Post_eu.tga"	"standard"	false	true	"gravestone.tga"	"pre_assassin_eu.tga"
"agent_killed_with_army"	"egy_european"	"agent_killed_with_army"	"after batle eu.tga"	"standard"	false	false	"gravestone.tga"	"after batle eu.tga"
"agent_killed_with_army"	"egy_middle_east"	"agent_killed_with_army"	"after batle ottoman.tga"	"standard"	false	false	"gravestone.tga"	"after batle ottoman.tga"
"agent_killed_with_army"	"european"	"agent_killed_with_army"	"after batle eu.tga"	"standard"	false	false	"gravestone.tga"	"after batle eu.tga"
"agent_killed_with_army"	"middle_east"	"agent_killed_with_army"	"after batle ottoman.tga"	"standard"	false	false	"gravestone.tga"	"after batle ottoman.tga"
"agent_killed_with_army_infiltrated"	"egy_european"	"agent_killed_with_army_infiltrated"	"after batle eu.tga"	"standard"	false	false	"gravestone.tga"	"after batle eu.tga"
"agent_killed_with_army_infiltrated"	"egy_middle_east"	"agent_killed_with_army_infiltrated"	"after batle ottoman.tga"	"standard"	false	false	"gravestone.tga"	"after batle ottoman.tga"
"agent_killed_with_army_infiltrated"	"european"	"agent_killed_with_army_infiltrated"	"after batle eu.tga"	"standard"	false	false	"gravestone.tga"	"after batle eu.tga"
"agent_killed_with_army_infiltrated"	"middle_east"	"agent_killed_with_army_infiltrated"	"after batle ottoman.tga"	"standard"	false	false	"gravestone.tga"	"after batle ottoman.tga"
"agent_killed_with_navy"	"egy_european"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy"	"egy_middle_east"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy"	"european"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy"	"middle_east"	"agent_killed_with_navy"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"egy_european"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"egy_middle_east"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"european"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_killed_with_navy_infiltrated"	"middle_east"	"agent_killed_with_navy_infiltrated"	"fleet dest.tga"	"standard"	false	false	"gravestone.tga"	"fleet dest.tga"
"agent_recruited"	"egy_european"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agent_recruited"	"egy_middle_east"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agent_recruited"	"european"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agent_recruited"	"middle_east"	"ag_recruited_1"	"agent_hired.tga"	"agent_recruited"	false	true	"character.tga"	"agent_hired.tga"
"agricultural_tech_advance"	"egy_european"	"tech_agricultural_1"	"agriculture_eu.tga"	"technology_advances"	false	true	"tech.tga"	"agriculture_eu.tga"
"agricultural_tech_advance"	"european"	"tech_agricultural_1"	"agriculture_eu.tga"	"technology_advances"	false	true	"tech.tga"	"agriculture_eu.tga"
"alliance_broken"	"egy_european"	"alliance_broken_1"	"diplomacyneg_eu.tga"	"standard"	false	true	"news.tga"	"diplomacyneg_eu.tga"
"alliance_broken"	"european"	"alliance_broken_1"	"diplomacyneg_eu.tga"	"standard"	false	true	"news.tga"	"diplomacyneg_eu.tga"
"alliance_declared"	"egy_european"	"alliance_declared_1"	"diplomacypos_eu.tga"	"standard"	false	false	"news.tga"	"diplomacypos_eu.tga"
"alliance_declared"	"european"	"alliance_declared_1"	"diplomacypos_eu.tga"	"standard"	false	false	"news.tga"	"diplomacypos_eu.tga"
"ally_attacked"	"egy_european"	"battle_rout_1"	"biggest-army.tga.tga"	"ally_attacked"	true	true	"news.tga"	"biggest-army.tga.tga"
"ally_attacked"	"european"	"battle_rout_1"	"biggest-army.tga.tga"	"ally_attacked"	true	true	"news.tga"	"biggest-army.tga.tga"
"attrition_desert"	"egy_european"	"attrition_desert"	"nap_desert_attrition.tga"	"standard"	false	false	"attrition.tga"	"nap_desert_attrition.tga"
"attrition_desert"	"european"	"attrition_desert"	"nap_desert_attrition.tga"	"standard"	false	false	"attrition.tga"	"nap_desert_attrition.tga"
"attrition_winter"	"egy_european"	"attrition_winter"	"nap_winter_attrition.tga"	"standard"	false	false	"attrition.tga"	"nap_winter_attrition.tga"
"attrition_winter"	"european"	"attrition_winter"	"nap_winter_attrition.tga"	"standard"	false	false	"attrition.tga"	"nap_winter_attrition.tga"
"battlemap_allied_admiral_killed"	"egy_european"	"battle_ad_killed_3"	"Admiral_eu.tga"	"standard"	false	false	"battle_death.tga"	"admiral-eu.tga"
"battlemap_allied_admiral_killed"	"egy_middle_east"	"battle_ad_killed_3"	"admiral ottoman.tga"	"standard"	false	false	"battle_death.tga"	"admiral ottoman.tga"
"battlemap_allied_admiral_killed"	"european"	"battle_ad_killed_3"	"Admiral_eu.tga"	"standard"	false	false	"battle_death.tga"	"admiral-eu.tga"
"battlemap_allied_admiral_killed"	"middle_east"	"battle_ad_killed_3"	"admiral ottoman.tga"	"standard"	false	false	"battle_death.tga"	"admiral ottoman.tga"
"battlemap_allied_general_killed"	"egy_european"	"battle_ad_killed_1"	"Char_Killed_us.tga"	"standard"	false	false	"battle_death.tga"	"char killed2.tga"
"battlemap_allied_general_killed"	"egy_middle_east"	"battle_ad_killed_1"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death.tga"	"char killed-ottoman2.tga"
"battlemap_allied_general_killed"	"european"	"battle_ad_killed_1"	"Char_Killed_us.tga"	"standard"	false	false	"battle_death.tga"	"char killed2.tga"
"battlemap_allied_general_killed"	"middle_east"	"battle_ad_killed_1"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death.tga"	"char killed-ottoman2.tga"
"battlemap_allied_general_wounded"	"egy_european"	"battlemap_allied_general_wounded_text"	"nap_general_wounded_eu.tga"	"standard"	false	false	"character_wounded.tga"	"nap_general_wounded_eu.tga"
"battlemap_allied_general_wounded"	"egy_middle_east"	"battlemap_allied_general_wounded_text"	"nap_general_wounded_ot.tga"	"standard"	false	false	"character_wounded.tga"	"nap_general_wounded_ot.tga"
"battlemap_allied_general_wounded"	"european"	"battlemap_allied_general_wounded_text"	"nap_general_wounded_eu.tga"	"standard"	false	false	"character_wounded.tga"	"nap_general_wounded_eu.tga"
"battlemap_allied_general_wounded"	"middle_east"	"battlemap_allied_general_wounded_text"	"nap_general_wounded_ot.tga"	"standard"	false	false	"character_wounded.tga"	"nap_general_wounded_ot.tga"
"battlemap_building_captured"	"egy_european"	"battle_building_captured_1"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured"	"european"	"battle_building_captured_1"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured_allies"	"egy_european"	"battle_building_captured_2"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured_allies"	"european"	"battle_building_captured_2"	"captured.tga"	"standard"	false	false	"battle_building.tga"	"captured.tga"
"battlemap_building_captured_enemy"	"egy_european"	"battle_building_captured_3"	"captured.tga"	"standard"	false	false	"battle_building_enemy.tga"	"captured.tga"
"battlemap_building_captured_enemy"	"european"	"battle_building_captured_3"	"captured.tga"	"standard"	false	false	"battle_building_enemy.tga"	"captured.tga"
"battlemap_enemy_admiral_killed"	"egy_european"	"battle_ad_killed_2"	"Admiral_eu.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral-eu.tga"
"battlemap_enemy_admiral_killed"	"egy_middle_east"	"battle_ad_killed_2"	"admiral ottoman.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral ottoman.tga"
"battlemap_enemy_admiral_killed"	"european"	"battle_ad_killed_2"	"Admiral_eu.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral-eu.tga"
"battlemap_enemy_admiral_killed"	"middle_east"	"battle_ad_killed_2"	"admiral ottoman.tga"	"standard"	false	false	"battle_death_enemy.tga"	"admiral ottoman.tga"
"battlemap_enemy_general_killed"	"egy_european"	"battle_gen_killed_2"	"Char_Killed_us.tga"	"standard"	false	false	"battle_death_enemy.tga"	"char killed2.tga"
"battlemap_enemy_general_killed"	"egy_middle_east"	"battle_gen_killed_2"	"char killed-ottoman2.tga"	"standard"	false	false	"battle_death_enemy.tga"	"char killed-ottoman2.tga"
"battlemap_enemy_general_killed"	"european"	"battle_gen_killed_2"	"Char_Killed_us.tga"	"standard"	false	false	"battle_death_enemy.tga"	"char killed2.tga"
