version 1, schema building_culture_variants_tables
Building_IDRef(string)	Culture(string)	Battle_Model(optstring)	Campaign_Map_Model(optstring)	Campaign_Map_Model_2(optstring)	Localised_Description(optstring)	Icon__Info_Picture(optstring)
"fFort1_wooden_artillery_fort"	"egy_european"	"fort_euro_wooden"	"Fort_lvl3"	nil	"fFort1_wooden_artillery_fort_european"	"Fort_lvl3"
"fFort1_wooden_artillery_fort"	"european"	"fort_euro_wooden"	"Fort_lvl3"	nil	"fFort1_wooden_artillery_fort_european"	"Fort_lvl3"
"fFort2_western_artillery_fort"	"egy_middle_east"	"fort_ottoman_small"	"OTT_Fort_lvl4"	nil	"fFort2_western_artillery_fort_european"	"OTT_Fort_lvl4"
"fFort2_western_artillery_fort"	"european"	"fort_town"	"EU_Fort_lvl4"	nil	"fFort2_western_artillery_fort_european"	"EU_Fort_lvl4"
"fFort2_western_artillery_fort"	"middle_east"	"fort_ottoman_small"	"OTT_Fort_lvl4"	nil	"fFort2_western_artillery_fort_european"	"OTT_Fort_lvl4"
"fFort3_star_fort"	"egy_european"	"fort_ottoman"	"OTT_Fort_lvl5"	nil	"fFort3_star_fort_middle_east"	"OTT_Fort_lvl5"
"fFort3_star_fort"	"egy_middle_east"	"fort_ottoman"	"OTT_Fort_lvl5"	nil	"fFort3_star_fort_middle_east"	"OTT_Fort_lvl5"
"fFort3_star_fort"	"european"	"fort_star"	"EU_Fort_lvl5"	nil	"fFort3_star_fort_european"	"EU_Fort_lvl5"
"fFort3_star_fort"	"middle_east"	"fort_ottoman"	"OTT_Fort_lvl5"	nil	"fFort3_star_fort_middle_east"	"OTT_Fort_lvl5"
"pNavy1_shipyard"	"egy_european"	nil	"ott_pNavy1_shipyard"	nil	"pNavy1_shipyard_european"	"ott_pNavy1_shipyard"
"pNavy1_shipyard"	"egy_middle_east"	nil	"ott_pNavy1_shipyard"	nil	"pNavy1_shipyard_european"	"ott_pNavy1_shipyard"
"pNavy1_shipyard"	"european"	nil	"EU_pNavy1_shipyard"	nil	"pNavy1_shipyard_european"	"EU_pNavy1_shipyard"
"pNavy1_shipyard"	"middle_east"	nil	"ott_pNavy1_shipyard"	nil	"pNavy1_shipyard_european"	"ott_pNavy1_shipyard"
"pNavy2_dockyard"	"european"	nil	"EU_pNavy2_dockyard"	nil	"pNavy2_dockyard_european"	"EU_pNavy2_dockyard"
