version 1, schema _kv_fatigue_tables
Key(string)	Value(float)
"charging"	5
"combat"	10
"fatigue_resistant_delta"	-3
"gradient_shallow"	3
"gradient_shallow_movement_multiplier"	106
"gradient_steep"	5
"gradient_steep_movement_multiplier"	110
"gradient_very_steep"	10
"gradient_very_steep_movement_multiplier"	120
"idle"	-3
"idle_in_building"	-3
"idle_rain"	-2
"idle_snow"	-1
"limbering"	20
"ready"	0
"reloading"	150
"reloading_artillery"	150
"running"	15
"running_artillery_horse"	10
"running_cavalry"	2
"running_cavalry_light"	1
"shooting"	-100
"threshold_active"	500
"threshold_exhausted"	70000
"threshold_fresh"	0
"threshold_max"	71000
"threshold_tired"	7000
"threshold_very_tired"	35000
"threshold_winded"	3600
"tight_formation"	5
"under_fire_artillery"	20
"under_fire_small_arms"	12
"walking"	1
"walking_artillery"	20
"walking_horse_artillery"	5
"working"	60
