version 1, schema battle_entities_tables
Battle_x0020_Entity_x0020_ID(string)	class_validation(string)	type(string)	walk_speed(float)	run_speed(float)	acceleration(float)	deceleration(float)	charge_speed(float)	crawl_speed(float)	charge_distance_commence_run(float)	charge_distance_adopt_charge_pose(float)	charge_distance_pick_target(float)	radius(float)	shape(string)	radii_ratio(float)	mass(float)	height(float)	fire_arc_close(float)	fire_arc_loose(float)	turn_speed(float)	hit_points(int)
"ammo_caisson_large"	"artillery"	"ammo_caisson"	1.4	3.42	2	2	5.22	1	20	20	20	2	"ellipse"	0.25	900	2.5	30	45	45	50
"ammo_caisson_small"	"artillery"	"ammo_caisson"	1.55	3.6	2	2	5.85	1	20	20	20	2	"ellipse"	0.25	700	2.3	30	45	45	50
"artillery_fixed"	"artillery"	"artillery"	0	0	2	4	0	0	0	0	0	1.5	"ellipse"	0.5	2000	1.5	360	360	45	25
"artillery_light"	"artillery"	"artillery"	0.9	1.8	2	4	1.8	1	30	20	10	1.5	"ellipse"	0.5	1000	1.2	140	140	45	25
"artillery_medium"	"artillery"	"artillery"	0.63	1.35	2	4	1.35	0.7	30	20	10	1.5	"ellipse"	0.5	1500	1.3	140	140	45	25
"artillery_siege"	"artillery"	"artillery"	0.36	0.9	2	4	0.9	0.4	30	20	10	1.5	"ellipse"	0.5	2000	1.5	140	140	45	25
"camel"	"cavalry"	"camel"	2.16	6.3	2	6	8.1	2	40	30	25	2	"ellipse"	0.25	600	2.5	90	90	90	1
"elephant"	"cavalry"	"elephant"	1.8	4.5	2	4	6.3	2	40	30	25	2	"ellipse"	0.5	5000	3.5	30	45	90	3
"gun_train_2_horse"	"artillery"	"gun_train_2"	1.4	1.8	2	2	5.85	1	20	20	20	2	"dynamic_elipse"	0.25	700	2.3	30	45	45	300
"gun_train_6_horse"	"artillery"	"gun_train_6"	2.65	9	1.5	1.5	5.22	1	20	20	20	2	"dynamic_elipse"	0.25	900	2.5	30	45	45	300
"horse_heavy"	"cavalry"	"horse"	2.6	10	2.5	6	11.5	2	40	30	25	2	"ellipse"	0.25	900	2.5	90	90	20	1
"horse_light"	"cavalry"	"horse"	2.8	12	3.5	10	13	4	40	30	25	2	"ellipse"	0.25	450	2.2	90	90	60	1
"horse_medium"	"cavalry"	"horse"	2.7	11	3	8	12.25	3	40	30	25	2	"ellipse"	0.25	650	2.3	90	90	40	1
"infantry_euro_heavy"	"infantry"	"man"	1.25	3.15	2	5	3.9	0.5	20	15	10	0.35	"circle"	1	100	2	70	70	90	1
"infantry_euro_light"	"infantry"	"man"	1.55	4.05	3	6	5.15	1.2	20	15	10	0.35	"circle"	1	80	2	70	70	90	1
"infantry_euro_medium"	"infantry"	"man"	1.4	3.6	2.4	5	4.05	0.8	20	15	10	0.35	"circle"	1	90	2	70	70	90	1
"naval_cannon"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	1000	1.5	40	40	90	1
"naval_fixed"	"naval_artillery"	"artillery"	0	0	0	0	0	0	0	0	0	1	"ellipse"	0.5	700	2.3	40	40	0	1
"puckle"	"artillery"	"artillery"	1.8	3.6	2	2	5.85	1	20	20	10	1	"ellipse"	0.5	500	2	60	60	90	1
"puckle_carriage"	"artillery"	"ammo_caisson"	1.8	3.6	2	2	5.85	1	20	20	10	1	"ellipse"	0.5	500	2	60	60	90	1
